wl_id,wl_member,wl_moderator,wl_date,wl_reason,wl_points,wl_note_member,wl_note_mods,wl_mq,wl_rpa,wl_suspend,wl_acknowledged,wl_content_app,wl_content_id1,wl_content_id2,wl_expire_date,wl_content_module
25,329,49,2012-10-03T15:57:27Z,0,1,,"<p>shitposting, fashion fascism and condescension </p>",,P1D,,TRUE,,,,,
26,329,132,2012-10-03T16:23:06Z,0,0,,"<p>disagreeing =/= shitposting, you nigger</p>",,,,TRUE,,,,,
27,563,49,2012-10-12T19:00:53Z,0,0,,<p>for continuing to be a faggot</p>,,,,TRUE,,,,,
28,335,7,2012-11-22T23:14:47Z,0,0,,<p>my bad</p>,,,,TRUE,,,,,
29,2054,132,2012-11-27T20:35:30Z,0,0,,<p>spam</p>,,,,TRUE,,,,,
32,188,1,2012-12-05T04:25:56Z,0,0,,<p>Week in the concentration camp to cool off.</p>,,,,TRUE,,,,,
33,84,49,2012-12-29T18:31:57Z,0,0,"
<div class=""ipsEmbeddedVideo""><div><iframe width=""459"" height=""344"" src=""https://www.youtube.com/embed/7b7DgOeMnW4?feature=oembed"" frameborder=""0"" allowfullscreen=""true""></iframe></div></div>
<p>5 days for now, you will be released when you stop jewing alex and make truth of your word, <span style=""text-decoration:line-through;"">kike</span></p>
",<p>getting on my nerves again</p>,,,P5D,TRUE,,,,,
34,188,49,2012-12-30T18:31:08Z,0,0,,<p>it's been well more than a week. Unban him.</p>,,,,TRUE,,,,,
35,317,49,2012-12-31T07:22:03Z,0,1,"<p>you have a week, jewboy</p>","<p>for refusing to comply with einsatzrassefuhrer's demands, not having a sense of humour, and sticking his kike shmeckel where it doesn't belong</p>",,P7D,,TRUE,,,,,
36,317,49,2013-01-04T02:02:44Z,0,1,,<p>until we finish the vote to ban him</p>,,P10D,,TRUE,,,,,
37,317,49,2013-01-05T03:31:27Z,0,0,,<p>banned</p>,,PT215H,,TRUE,,,,,
217,14040,1,2017-03-20T08:30:13Z,0,1,"<p>
	You're new and you don't know this but: <u><strong>I never apologize.</strong></u> Don't try to pull that shit with me, I'll throw you out as a matter of principle. Restricted from posting till Thursday.
</p>",,,P2DT11H29M47S,,TRUE,forums,5241,182255,-1,forums-comment
39,2288,49,2013-02-03T16:25:36Z,0,1,,"<p>autism (pretense at logical argument while using strawmans himself) posting style reminds me of wib, though it is definitely not her</p>",,,P2D,TRUE,,,,,
41,2871,49,2013-02-11T03:37:35Z,0,0,,"<p>need i jest, sire?</p>",,,,TRUE,,,,,
42,3491,7,2013-02-26T17:37:41Z,0,0,,<p>for being a faggot. </p>,,P1D,,TRUE,,,,,
43,3498,49,2013-03-03T23:19:23Z,0,1,,<p>for 'god faggot' comment. this kid is literally retarded and cannot even formulate a proper ad hom</p>,,,,TRUE,,,,,
44,3023,49,2013-03-23T19:34:10Z,0,0,<p>you;re a faggot</p>,<p>aryan transautism</p>,,,,TRUE,,,,,
47,5590,16,2013-04-16T04:20:14Z,0,1,,<p>Being an ass.</p>,,P1D,,TRUE,,,,,
48,5590,49,2013-04-20T00:30:33Z,0,1,,<p>vladiqueer</p>,,,P3D,TRUE,,,,,
49,5779,49,2013-04-22T22:36:01Z,0,1,,<p>shitskin with an attitude</p>,,,P2D,TRUE,,,,,
52,6114,1,2013-05-28T12:35:37Z,0,0,,"<p>Don't get uppity, hipsterfag.</p>",,,,TRUE,,,,,
53,6126,132,2013-06-08T21:14:20Z,0,0,,<p>JIDF</p>,,,,TRUE,,,,,
54,6115,49,2013-06-25T00:03:44Z,0,1,,"<iframe frameborder=""0"" data-embedcontent=""""></iframe>",,P2D,,TRUE,,,,,
55,6150,16,2013-06-30T03:00:47Z,0,0,,<p>Being a bitch.</p>,,,,TRUE,,,,,
56,6150,16,2013-06-30T16:58:21Z,0,0,,<p>A shit.</p>,,,,TRUE,,,,,
57,6111,132,2013-07-03T01:29:51Z,0,0,,<p>Reason</p>,,,,TRUE,,,,,
58,53,16,2013-08-02T20:02:03Z,5,1,<p>Please stop double posting. Just edit your new content into the post you've already made.</p>,,,,,TRUE,core,,,0,messenger
215,13301,9288,2017-03-10T12:31:55Z,1,1,,,,-1,,TRUE,forums,7518,181060,-1,forums-comment
60,6199,49,2013-08-09T03:26:12Z,1,1,<p>shut your fucking face up you fucking cunt</p>,<p>fucking faggot dude</p>,,,,TRUE,core,,,0,messenger
219,14181,9668,2017-03-24T07:35:22Z,1,1,"<p>
	CANT STOP WONT STOP multiposting so youre getting a timeout, sit in a the corner and think about what youve done
</p>",,,PT22H24M38S,,TRUE,forums,7595,183020,-1,forums-comment
218,14181,9668,2017-03-24T06:05:01Z,1,1,"<p>
	You were told at least 3 times to stop multiposting and acknowledged it but continue anyways
</p>",,,,,TRUE,forums,7595,182975,-1,forums-comment
64,861,49,2013-08-26T01:00:30Z,2,1,<p>you posted interracial</p>,<p>clearly retarded or trying to prove an even more retarded point</p>,,,P2D,TRUE,core,,,0,messenger
65,6218,49,2013-08-28T16:05:31Z,2,1,<p>you are seriously a faggot</p>,<p>he is seriously a faggot</p>,,,P5D,TRUE,core,,,0,messenger
67,505,49,2013-08-30T18:59:04Z,0,0,<p>beta autism of the year. congradulations</p>,<p>need anything be said? fedora off gentlement</p>,,,,TRUE,core,,,0,messenger
68,6218,132,2013-09-04T08:20:31Z,0,1,<p>You're a literal shitposter.</p>,,,P1D,,TRUE,core,,,0,messenger
69,6218,132,2013-09-09T17:08:50Z,0,0,<p>Being too autistic to live.</p>,<p>Being too autistic to live. Also literal shitposting.</p>,,,,TRUE,core,,,0,messenger
70,6239,132,2013-09-10T20:21:37Z,0,0,<p>0/5</p>,,,,,TRUE,core,,,0,messenger
71,6240,132,2013-09-10T23:02:46Z,0,0,,,,,,TRUE,core,,,0,messenger
72,6240,132,2013-09-12T10:39:10Z,0,0,<p>No multiple accounts</p>,,,,,TRUE,core,,,0,messenger
73,6246,132,2013-09-12T11:29:50Z,0,0,,,,,,TRUE,core,,,0,messenger
74,6251,132,2013-09-16T13:42:05Z,1,1,,,,,,TRUE,core,,,0,messenger
75,6258,3,2013-10-02T16:54:29Z,0,1,"<p>You're a shitposting fed. If you wanna cry about us, make a topic in the opposition section, which you shall get accustomed to.</p>",<p>Whiny shitposter. Imprisoned.</p>,,,,TRUE,forums,69194,,0,forums
76,6258,3,2013-10-02T16:55:41Z,0,0,,,,,,TRUE,forums,69194,,0,forums
77,6272,16,2013-10-04T08:30:37Z,0,0,,<p>Autism but might be fun to read.</p>,,,,TRUE,core,,,0,messenger
78,6115,132,2013-10-09T07:38:02Z,0,1,<p>For being euphoric shitposter and uncontributive autist.</p>,<p>For being euphoric shitposter and uncontributive autist.</p>,,P2D,,TRUE,core,,,0,messenger
79,6279,132,2013-10-10T11:06:53Z,0,6000000,,,,,,TRUE,core,,,0,messenger
80,6279,132,2013-10-10T11:07:25Z,0,0,,,,,,TRUE,core,,,0,messenger
81,49,1,2013-10-17T05:39:41Z,0,0,,,,P12D,,TRUE,forums,70331,,0,forums
82,6217,132,2013-10-17T08:37:13Z,0,1,,,,,P3D,TRUE,core,,,0,messenger
240,9679,132,2017-08-25T05:15:04Z,5,1,,,,-1,-1,TRUE,,,,-1,
84,6302,132,2013-10-30T21:43:03Z,0,6000000,<p>For being too retarded to argue.</p>,,,,,TRUE,core,,,0,messenger
85,6304,132,2013-10-30T22:18:29Z,0,1,,,,,,TRUE,core,,,0,messenger
86,6307,132,2013-10-31T19:51:25Z,0,1,,,,,,TRUE,core,,,0,messenger
87,6310,132,2013-11-05T18:59:31Z,0,600000,,,,,,TRUE,core,,,0,messenger
88,6117,132,2013-11-21T20:31:07Z,0,1,"<p>Licence plates, not degeneration. That goes in the Stupid News. Once again.</p>",,,,,TRUE,core,,,0,messenger
123,6278,3,2013-12-06T23:02:04Z,0,1,<p>Anti-Germanic butthurtness; useless post</p>,,,,,TRUE,forums,73823,,0,forums
124,6554,132,2013-12-14T20:23:40Z,0,0,,,,,,TRUE,core,,,0,messenger
125,6773,3,2013-12-20T04:35:21Z,1,1,,<p>Troll</p>,,,,TRUE,forums,74825,,0,forums
126,6773,3,2013-12-20T04:35:56Z,1,1,,,,,,TRUE,forums,74825,,0,forums
127,6554,3,2013-12-20T23:06:39Z,0,0,,"<p>The guy has a dipshit opinion about Golden Dawn, but that doesn't warrant a restriction. Back into members he goes.</p>",,,,TRUE,forums,74694,,0,forums
128,6554,3,2013-12-20T23:07:30Z,0,0,,<p>Lel forgot to check box I always do that</p>,,,,TRUE,forums,74694,,0,forums
130,6278,1,2014-01-28T10:57:19Z,0,1,<p>Anti-Russian butthurtness; useless post</p>,"
<p>We're collecting a set.</p>
<p>Anti-Germanic butthurtness; useless post</p>
<p>Anti-Russian butthurtness; useless post</p>
",,,,TRUE,forums,77385,,0,forums
132,7428,132,2014-01-31T16:17:24Z,0,6000000,,,,,,TRUE,core,,,0,messenger
133,7428,132,2014-01-31T16:17:46Z,0,1,,,,,,TRUE,core,,,0,messenger
243,14796,132,2017-08-25T05:24:37Z,5,1,,,,-1,-1,TRUE,,,,-1,
244,13681,132,2017-08-25T05:27:44Z,2,1,,,,-1,-1,TRUE,,,,-1,
135,7350,16,2014-02-12T18:01:08Z,1,1,<p>Bullshit topics.</p>,"
<p>Bullshit topics.</p>
<p>If we're going to do bullshit posts, fine but topics really should require some form of effort. They clog up the ""newest thread"" section and just generally.</p>
<p>NO FUN ALLOWED.</p>
",,,,TRUE,core,,,0,messenger
136,7350,16,2014-02-16T06:43:53Z,1,1,"<p>Please at least make the topic tangentially related to the forum themes, this isn't /b/, or tumblr.</p>",<p>No comment.</p>,,P1D,,TRUE,core,,,0,messenger
137,7364,132,2014-02-22T00:39:18Z,0,1,<p>Take your fedora off and take it easy.</p>,,,,P2D,TRUE,core,,,0,messenger
138,7461,132,2014-03-02T00:01:12Z,0,1,,,,,,TRUE,forums,79973,,0,forums
139,7364,132,2014-03-14T15:13:27Z,0,1,,,,,,TRUE,core,,,0,messenger
140,7705,132,2014-05-07T18:24:18Z,0,1,,,,,,TRUE,core,,,0,messenger
141,7705,132,2014-05-08T04:52:42Z,0,1,,,,,,TRUE,core,,,0,messenger
142,7745,132,2014-05-23T16:08:22Z,0,1,,,,,,TRUE,core,,,0,messenger
143,49,1,2014-06-06T05:48:19Z,0,1,<p>No more forum drama.</p>,<p>Symbolic warning for a fresh start.</p>,,,,TRUE,forums,86963,,0,forums
144,7720,132,2014-07-13T00:03:47Z,0,6000000,,,,,,TRUE,forums,88855,,0,forums
145,49,132,2014-07-31T20:20:23Z,0,60000000,<p>Solely for being 1/5 trele</p>,,,,P14D,TRUE,core,,,0,messenger
146,8029,132,2014-10-07T08:02:26Z,0,609,,,,,,TRUE,core,,,0,messenger
147,8052,132,2014-10-22T09:31:21Z,0,609,<p>You're not even trying anymore</p>,,,,,TRUE,forums,94489,,0,forums
148,8151,132,2014-12-12T13:00:41Z,0,1,,,,,,TRUE,core,,,0,messenger
149,8314,132,2014-12-16T17:29:16Z,0,1,,,,,,TRUE,forums,99059,,0,forums
151,8264,3721,2014-12-31T07:47:36Z,0,0,"
<p>You'd do well to consider how this all went and adjust how you approach communicating your views to others accordingly.</p>
<blockquote data-ipsquote="""" class=""ipsQuote"" data-ipsquote-contentapp=""core"" data-ipsquote-contenttype=""modcp"" data-ipsquote-contentid=""151""><div>
<p><strong>III.</strong></p>
<p><strong>1. </strong>No ‘Sperging’. As in ‘Asperger’s syndrome’, an Autistic mental disorder characterized by extreme egocentricity and an inability to understand how to interact socially. This policy is to curtail and recognise the tendencies of users whose actions and motivations are outside our common goals, are deliberately of no benefit to anyone, and only serve to cause trouble. Regardless of whether it is motivated by narcissism, social alienation, cowardice, or stupidity we must control it, and it is the user’s responsibility to observe these following principles which will serve as a guide to ensure there will be no problems for you while you are here.</p>
</div></blockquote>
",<p>Uses tor; will probably be back.</p>,,,,TRUE,core,,,0,messenger
152,7851,3721,2015-01-01T10:53:37Z,0,0,,<p>0/10 execution</p>,,,,TRUE,core,,,0,messenger
155,9109,132,2015-01-27T23:42:38Z,0,6000000,,<p>just for being a general homo lol</p>,,,,TRUE,forums,103472,,0,forums
156,8165,3721,2015-02-15T20:54:24Z,0,1,,,,,,TRUE,core,,,0,messenger
157,8165,3721,2015-02-15T21:21:05Z,0,1,,,,,,TRUE,core,,,0,messenger
159,9240,1,2015-03-10T21:25:49Z,0,1,"
<p>NO MULTIPOSTING</p>
<p>NO QUOTING IMAGES FROM THE SAME PAGE</p>
<p>NO TISM</p>
",,,,,TRUE,forums,107708,,0,forums
160,7986,1,2015-03-11T05:37:45Z,0,0,<p>FUCKING PAY ATTENTION TO THE RULES OF POSTING IN A THREAD</p>,,,,,TRUE,forums,107723,,0,forums
162,7600,1,2015-03-11T05:38:23Z,0,0,<p>FUCKING PAY ATTENTION TO THE RULES OF POSTING IN A THREAD</p>,,,,,TRUE,forums,107729,,0,forums
163,6274,1,2015-03-11T05:38:41Z,0,1,<p>FUCKING PAY ATTENTION TO THE RULES OF POSTING IN A THREAD</p>,,,,,TRUE,forums,107731,,0,forums
164,9273,132,2015-03-11T21:32:31Z,0,1488,,,,,,TRUE,forums,107809,,0,forums
165,9174,132,2015-04-17T17:58:42Z,0,609,,,,,P8D,TRUE,forums,111377,,0,forums
166,7481,1,2015-05-22T16:53:24Z,0,1,<p>I felt like it</p>,,,,,TRUE,forums,113392,,0,forums
168,9512,9144,2015-06-06T05:59:51Z,0,1,"<p>I'm your master in here, pleb.</p>",,,,,TRUE,core,,,0,messenger
169,9335,1,2015-06-29T08:28:03Z,0,1,"<p>Stop quoting whole images from the same page, you've done it numerous times to date and not once took the hint from all the times your posts were edited.</p>",,,,,TRUE,forums,118862,,0,forums
170,9335,9144,2015-06-29T17:06:07Z,0,1,"<p>ffs. It's pretty simple, if there is an image in a post right above yours don't copy the fucking thing in your quote. Do it again and you'll find yourself on a vacation.</p>",,,,,TRUE,forums,118908,,0,forums
171,7346,1,2015-07-11T20:41:09Z,0,1,<p>Forum Drama Tism</p>,,,,P3D,TRUE,forums,119822,,0,forums
172,7481,1,2015-07-11T20:41:40Z,0,1,<p>Forum Drama Tism</p>,,,,P3D,TRUE,forums,119821,,0,forums
173,9558,9144,2015-07-20T16:27:52Z,0,1,<p>Oy vey.</p>,,,,,TRUE,forums,120379,,0,forums
174,9558,9144,2015-07-21T16:37:44Z,0,5999999,,,,,,TRUE,forums,120565,,0,forums
175,9567,9144,2015-07-31T22:02:58Z,0,1,<p>Being a fag</p>,,,,,TRUE,forums,121152,,0,forums
176,7600,1,2015-08-02T09:29:51Z,0,1,<p>Utterly retarded.</p>,,,P7D,,TRUE,forums,121458,,0,forums
177,9548,9144,2015-08-28T19:10:56Z,0,1,<p>Being an intense tist.</p>,,,,,TRUE,forums,123027,,0,forums
178,9174,9144,2015-08-30T14:23:46Z,0,1,"<p>Go and write ""I will stop dirtying our beautiful forum with multiposts"" fifty times.</p>",,,,,TRUE,forums,123266,,0,forums
241,9217,132,2017-08-25T05:15:34Z,5,1,,,,-1,-1,FALSE,,,,-1,
242,14300,132,2017-08-25T05:16:51Z,5,1,,,,-1,-1,TRUE,,,,-1,
180,7481,2170,2015-09-20T20:28:37Z,0,3,"<p>One count of treason, one count of subversive activism, one count of undermining the authority of the black corps.</p>",,,,,TRUE,forums,125194,,0,forums
181,7508,2170,2015-09-20T20:55:19Z,0,3,"
<p>Charges:</p>
<p>1. High treason</p>
<p>2. Subversive agitation</p>
<p>3. Undermining the moral authority of the adminship and black corps</p>
",,,,,TRUE,forums,125211,,0,forums
220,14181,9668,2017-03-26T05:50:05Z,1,1,"<p>
	Continuing to multipost what I can only assume is on purpose after 2 formal warnings and 4 verbal warnings
</p>",,,P3DT9M55S,,TRUE,forums,7595,183245,-1,forums-comment
183,9697,9144,2015-10-25T00:26:58Z,0,1,<p>Don't drop the soap.</p>,,,,,TRUE,forums,130450,,0,forums
184,9571,9144,2015-10-26T22:26:07Z,1,1,"
<p>Warning for you so I can keep track.</p>
<p>Stop et.</p>
",,,,,TRUE,forums,131130,,0,forums
185,9698,9144,2015-10-28T06:22:47Z,0,1,,,,,,TRUE,forums,131383,,0,forums
186,9636,9144,2015-11-10T05:01:14Z,0,1,<p>&gt;making me do work</p>,,,,,TRUE,forums,133122,,0,forums
187,7543,1,2015-11-30T22:08:33Z,0,1,"<p>Never post that kind of shit directly, provide link off-site.</p>",,,,,TRUE,forums,135820,,0,forums
188,9759,7962,2015-11-30T23:36:34Z,0,0,,,,,,TRUE,core,,,0,messenger
189,9748,7962,2015-11-30T23:38:13Z,0,0,,,,,,TRUE,core,,,0,messenger
190,9742,7962,2015-11-30T23:39:25Z,0,0,,,,,,TRUE,core,,,0,messenger
191,9751,7962,2015-11-30T23:40:36Z,0,0,,,,,,TRUE,core,,,0,messenger
192,9727,7962,2015-11-30T23:41:55Z,0,0,,,,,,TRUE,core,,,0,messenger
193,6269,958,2015-12-01T07:20:00Z,4,1,<p>Bringing up Schlesvig war. Is shit user because of that.</p>,,,,,TRUE,forums,135890,,0,forums
194,7543,958,2015-12-01T07:20:43Z,4,1,<p>Bullying Denmark is a crime against humanity.</p>,,,,,TRUE,forums,135889,,0,forums
195,958,1,2015-12-01T07:27:34Z,4,1,<p>Abusing your dank mod powers</p>,,,,,TRUE,forums,135892,,0,forums
196,9787,9144,2015-12-21T18:42:40Z,0,1,<p>Being a moderate cuckservative pleb</p>,,,,,TRUE,forums,138181,,0,forums
197,9787,7962,2015-12-21T18:43:44Z,0,0,,<p>Banned for being a racial alien and criminal subversive.</p>,,,,TRUE,core,,,0,messenger
198,9787,9144,2015-12-21T19:10:05Z,0,0,,,,,,TRUE,core,,,0,messenger
199,9503,9144,2016-01-08T01:17:53Z,0,0,<p>Because nobody expects the multipost inquisition.</p>,,,,,TRUE,forums,140427,,0,forums
200,9884,9144,2016-02-14T21:27:17Z,0,0,<p>Being a faggot.</p>,,,,,TRUE,forums,144534,,0,forums
201,9897,9144,2016-03-12T06:05:43Z,0,0,,,,,,TRUE,forums,144948,,0,forums
202,9958,1,2016-04-02T22:23:07Z,0,0,"<p>
	Gonna get yourself gassed next time.
</p>","<p>
	Posted interracial porn. Never trust a nigger eh?
</p>",,P3DT2H36M53S,,TRUE,forums,6281,149564,-1,forums-comment
203,10301,132,2016-04-21T00:53:14Z,2,1,,,,,-1,FALSE,forums,4842,152122,-1,forums-comment
204,11588,9144,2016-04-23T03:13:21Z,5,1,,,,-1,,FALSE,forums,6392,152013,-1,forums-comment
239,9571,132,2017-08-25T05:14:33Z,5,1,,,,-1,-1,FALSE,,,,-1,
207,13058,9144,2016-05-24T15:32:07Z,2,1,,,,,-1,FALSE,forums,6501,154560,-1,forums-comment
208,13067,9144,2016-05-26T19:57:03Z,5,1,,,,,-1,FALSE,forums,6515,154857,-1,forums-comment
209,13077,9288,2016-05-30T19:31:40Z,1,1,,,,,-1,FALSE,,,,-1,
210,13065,2170,2016-06-04T17:52:40Z,1,1,,,,,-1,FALSE,forums,6546,155826,-1,forums-comment
211,13005,1,2016-06-09T06:33:25Z,2,1,"<p>
	Corporate Fat Cats will be taxing your Rock'N'Roll posts from now on!
</p>",,-1,,,TRUE,forums,6566,156365,-1,forums-comment
212,7986,9288,2016-07-08T22:40:50Z,1,1,,,,,-1,FALSE,forums,6694,159784,-1,forums-comment
213,13347,9144,2016-09-03T20:41:30Z,2,1,,,,,-1,FALSE,forums,6885,164650,-1,forums-comment
221,14040,9668,2017-04-04T00:55:06Z,2,1,"<p>
	Going to assume it's aspergers if you are posting literal pictures of shit on the forum
</p>",,,PT10H4M54S,,TRUE,forums,7652,184705,-1,forums-comment
222,14181,9668,2017-04-06T06:12:39Z,1,1,"<p>
	Multiposting outside your sperg playpen. Timeout until Saturday
</p>",,,P1DT23H47M21S,,TRUE,forums,7654,185090,-1,forums-comment
223,14181,9668,2017-04-09T06:33:38Z,1,1,"<p>
	most retarded nigga on ironmarch
</p>",,,P2DT23H26M22S,,TRUE,forums,7678,185491,-1,forums-comment
224,9288,1,2017-04-30T14:06:08Z,2,1,,,,PT5H53M52S,,TRUE,forums,6957,188188,-1,forums-comment
225,13342,1,2017-05-07T12:53:25Z,2,1,,,,PT7H6M35S,,TRUE,forums,6957,188936,-1,forums-comment
226,13698,9668,2017-05-14T20:09:40Z,2,1,"<p>
	Shitposting, etc - you can do better 
</p>",,,,,TRUE,forums,7804,189836,-1,forums-comment
227,14105,9668,2017-06-06T00:03:31Z,2,1,"<p>
	take a break
</p>",,,P1DT5H56M29S,,TRUE,forums,7908,192471,-1,forums-comment
228,14105,1,2017-06-07T20:07:43Z,2,1,"<p>
	Stop making retarded threads or get gassed. First warning, suspension from posting for 4 days.
</p>",,,P3DT23H53M17S,,TRUE,forums,7933,192844,-1,forums-comment
229,13893,1,2017-06-12T23:15:29Z,2,1,"<p>
	No dumb shitpost threads. 4 days no posting, first warning.
</p>",,,P2DT20H44M31S,,TRUE,forums,7955,193425,-1,forums-comment
230,12524,1,2017-06-14T05:27:26Z,0,0,"
<p>
	WHICH PART OF <strong>ANY DISCUSSIONS OF RECENT EVENTS ARE <span style=""color:#ff0000;""><u>FORBIDDEN</u></span> ON THE FORUM UNTIL BRANDON RUSSEL IS FREE</strong> DID YOU NOT UNDERSTAND?
</p>

<p>
	<u><strong>Suspension from posting for a week.</strong></u>
</p>
",,,P6DT14H32M34S,,TRUE,forums,7968,193686,-1,forums-comment
231,9626,1,2017-06-22T22:38:45Z,1,1,"<p>
	No retarded shitposting threads.
</p>",,,P2DT21H21M15S,,TRUE,forums,8009,194773,-1,forums-comment
232,6113,9668,2017-06-24T03:14:41Z,0,1,"<p>
	No excuse to be quoting images when they appear on the same page now that I've told you at least 5 times to stop doing it - it takes half a second, it's not hard, don't be lazy 
</p>",,,P1DT2H45M19S,,TRUE,forums,743,194980,-1,forums-comment
233,14102,1,2017-06-28T18:55:36Z,2,1,"<p>
	Fucking warned you m8. Suspended from posting for 3 days.
</p>",,,P3DT1H4M24S,,TRUE,forums,6097,195642,-1,forums-comment
234,14178,1,2017-06-30T18:19:13Z,2,1,"<p>
	No shitposting shitthreads for shitheads, no exceptions for newfags. Suspended from posting till Monday.
</p>",,,P2DT1H40M47S,,TRUE,forums,8039,195866,-1,forums-comment
235,14637,9668,2017-06-30T22:37:06Z,1,1,"<p>
	Continuing to multipost and quote images on the same page after you were told multiple times not to
</p>",,,P1DT7H22M54S,,TRUE,forums,8020,195906,-1,forums-comment
236,14665,132,2017-07-06T23:06:29Z,2,1,,,,P1DT21H53M31S,,TRUE,,,,-1,
237,168,1,2017-07-27T07:35:16Z,0,0,"<p>
	How much of a fucking retard are you that your post has been repeatedly edited and you keep editing that shit back? Suspended till the end of the week, try it again and you'll be banned outright. Next time you feel like there's an issue of such nature don't post about it <strong>publicly</strong>, which is why your post was repeatedly edited <em>you fucking imbecile</em>.
</p>",,,P3DT12H24M44S,,FALSE,forums,8115,199109,-1,forums-comment
238,14568,9288,2017-07-27T19:06:26Z,1,1,"<p>
	First and last warning from me. Do that shit again and you're out.
</p>","<p>
	Shitting up perfectly good thread. Gave him 2 week suspension from posting
</p>",,P15DT14H53M34S,,TRUE,forums,7934,199207,-1,forums-comment
246,14201,13527,2017-10-06T19:33:47Z,0,0,"<p>
	Stop shitposting in intro threads, retard.
</p>","<p>
	Shitposting in intro threads
</p>",,,,TRUE,forums,8402,204619,-1,forums-comment
247,14651,132,2017-10-22T17:01:56Z,2,1,"<p>
	Wehrkraftzersetzung
</p>",,,P1DT3H58M4S,,TRUE,forums,4365,205119,-1,forums-comment
