rating_id,rating_for_member_id,rating_by_member_id,rating_ip_address,rating_value
145,298,84,75.88.124.138,5
146,108,164,68.109.227.92,5
147,72,279,173.254.216.68,5
148,279,298,173.75.42.123,5
149,37,164,68.109.227.92,5
150,37,84,75.90.63.112,1
151,246,298,173.75.42.123,5
152,9,279,171.25.193.20,5
153,296,298,173.75.42.123,1
154,271,13,89.99.119.178,1
155,298,108,174.252.105.54,5
156,158,279,146.185.23.179,5
215,348,84,71.31.108.115,1
158,108,279,31.172.30.3,5
159,53,72,112.205.76.27,5
160,67,279,86.145.219.84,5
161,4,279,31.172.30.4,5
162,279,84,75.89.26.116,1
163,279,168,76.218.21.149,5
164,7,298,74.98.229.154,5
165,168,279,199.19.111.135,5
166,4,67,174.92.218.43,5
167,317,279,93.182.129.84,5
168,319,293,65.130.13.87,5
169,8,293,65.130.13.87,5
170,130,317,99.187.156.44,5
171,164,317,99.187.156.44,5
172,293,84,71.31.106.113,1
173,271,67,174.93.146.219,1
174,271,298,74.98.229.154,1
175,84,279,31.172.30.2,1
176,84,4,86.4.47.94,1
177,271,4,86.4.47.94,1
178,138,7,31.185.202.63,5
179,49,7,31.185.202.63,5
180,271,279,89.253.105.39,1
181,279,164,68.109.227.92,5
182,287,317,99.187.156.44,5
183,323,317,99.187.156.44,1
184,25,317,99.187.156.44,5
185,64,35,98.220.119.183,1
187,323,298,108.32.48.101,5
188,158,293,65.130.103.27,5
313,945,317,198.86.53.67,5
190,4,293,65.130.103.27,5
191,279,293,65.130.103.27,5
192,329,279,31.172.30.2,5
193,7,168,76.218.21.149,5
194,49,168,76.218.21.149,5
195,72,298,108.32.48.101,5
196,37,298,108.32.48.101,5
197,204,298,108.32.48.101,5
198,279,337,176.31.118.165,5
199,298,337,176.31.118.165,5
200,336,35,98.220.119.183,5
201,2,108,208.33.154.138,5
202,9,168,76.218.21.149,5
203,130,8,50.15.82.214,5
205,161,168,76.218.21.149,5
206,335,298,173.75.31.128,5
207,336,329,174.96.38.22,1
208,49,298,173.75.31.128,5
209,158,298,173.75.31.128,5
210,53,298,173.75.31.128,5
211,336,67,174.93.144.78,1
212,67,298,173.75.31.128,5
213,84,298,173.75.31.128,1
214,329,84,75.91.85.109,5
216,348,72,112.205.14.93,5
217,358,84,75.91.97.25,1
218,84,125,77.38.156.66,1
219,358,125,77.38.156.66,5
220,7,336,173.45.219.44,1
221,293,336,173.45.219.44,1
222,279,25,212.226.75.16,1
223,348,108,208.33.154.138,5
224,293,348,85.243.75.158,4
225,158,348,85.243.75.158,5
226,72,348,85.243.75.158,4
227,279,348,85.243.75.158,5
228,139,298,173.75.31.128,5
312,72,317,198.86.53.67,1
230,35,298,173.75.31.128,5
231,2,84,151.213.165.173,1
232,346,298,173.75.31.128,1
233,91,317,99.187.156.44,5
234,348,372,31.172.30.1,5
235,336,372,81.170.186.175,1
236,336,298,173.75.31.128,1
237,139,207,78.61.4.251,5
238,9,108,208.33.154.138,5
239,372,298,173.75.31.128,5
240,130,372,77.247.181.162,5
241,72,372,89.150.68.94,5
242,372,168,76.218.21.149,5
243,64,125,77.38.156.66,1
244,293,274,184.9.99.80,5
245,317,298,173.75.43.65,1
246,25,298,173.75.43.65,5
247,64,298,173.75.43.65,1
248,346,274,184.9.99.80,1
249,2,164,68.109.227.92,5
250,164,2,69.244.118.189,5
251,493,298,71.182.206.236,1
273,317,372,146.185.23.179,1
254,146,298,71.182.206.236,5
255,495,298,71.182.206.236,5
256,138,125,77.38.156.66,5
257,446,298,173.75.43.114,1
274,317,7,87.115.29.133,5
275,317,1,77.37.146.69,5
261,563,372,74.120.13.132,5
262,563,298,74.109.240.168,1
264,563,2,69.244.118.189,2
265,72,2,69.244.118.189,1
309,960,861,75.44.146.22,5
267,54,164,68.109.227.92,5
269,663,164,68.109.227.92,5
270,293,298,108.32.48.101,5
311,960,329,174.96.38.22,5
278,132,168,76.218.21.149,5
279,422,168,76.218.21.149,5
280,279,72,112.205.61.25,5
317,1066,125,77.38.156.66,5
310,125,317,99.187.156.44,1
283,7,54,98.159.120.30,5
284,364,168,76.218.21.149,5
285,592,298,74.98.221.218,1
286,158,72,112.205.61.25,5
287,592,14,71.114.57.213,1
288,131,138,94.179.74.131,5
289,293,138,94.179.74.131,5
290,362,138,95.134.37.5,5
291,91,298,74.98.221.218,5
292,364,861,75.44.146.22,5
293,317,14,71.114.57.213,5
294,317,164,68.109.227.92,5
295,1,72,112.205.61.25,5
296,139,125,77.38.156.66,5
297,7,2,69.244.118.189,5
298,7,68,192.101.250.250,5
318,266,279,74.120.15.150,5
300,821,72,112.205.61.25,5
301,346,281,76.4.189.134,1
303,1014,0,24.7.65.31,5
304,960,54,98.159.121.180,1
305,1014,54,98.159.121.180,1
306,1014,298,173.75.41.174,1
307,1014,67,174.92.219.45,1
308,960,342,99.192.97.235,5
319,1080,945,82.145.211.85,1
320,1080,25,212.226.75.115,1
321,1109,958,212.10.146.211,5
322,1080,50,96.18.84.204,1
323,958,1109,87.54.53.66,5
324,279,125,77.38.156.66,5
325,358,298,74.98.230.80,5
524,6117,2306,88.193.135.245,4
513,2306,54,75.57.122.12,1
514,3721,288,213.130.246.228,5
330,1122,298,74.98.230.80,1
331,364,298,74.98.230.80,5
332,1122,67,174.93.150.13,1
333,1122,204,190.47.97.170,1
334,592,72,112.205.63.248,1
335,91,72,112.205.63.248,5
523,2820,6117,85.166.62.125,5
515,1080,3711,75.68.162.186,1
339,960,298,108.17.91.25,1
340,84,168,76.218.21.149,1
341,16,1558,83.233.70.12,4
516,5899,5343,201.21.26.221,1
346,50,317,198.86.53.67,5
347,1558,317,198.86.53.67,5
348,130,298,74.109.238.59,5
349,358,72,112.205.63.248,5
350,317,4,86.4.47.94,1
351,960,0,71.60.197.110,1
352,336,958,212.10.157.154,1
353,198,1558,83.233.70.12,3
354,2,1558,83.233.70.12,5
355,7,1558,83.233.70.12,5
357,84,50,96.18.86.187,1
358,288,168,76.218.21.149,5
359,1744,298,74.109.249.44,1
360,1744,1558,83.233.70.12,2
361,1744,168,76.218.21.149,5
362,1080,878,85.151.35.185,1
363,205,168,76.218.21.149,5
364,372,72,112.205.63.248,5
365,1080,2099,89.132.14.17,1
366,2,298,74.98.220.213,5
367,2113,298,74.98.220.213,1
368,2113,2099,89.132.14.17,4
369,333,2099,89.132.14.17,5
370,372,49,72.78.105.101,2
372,2075,67,174.92.216.69,1
373,2075,298,74.109.239.46,1
374,188,2099,89.132.14.17,5
375,132,2099,89.132.14.17,5
376,188,72,112.205.63.248,5
377,2099,72,112.205.63.248,5
378,960,1209,88.112.241.245,5
379,1558,1209,88.112.241.245,5
380,1209,84,174.131.54.144,5
381,2075,281,76.4.185.174,4
382,2075,49,72.78.105.101,5
383,1744,72,112.205.54.28,5
385,91,2099,89.134.1.146,5
386,1772,2099,89.134.1.146,5
387,1,2099,89.134.1.146,5
388,1104,2099,89.134.1.146,5
389,2183,2099,89.134.1.146,1
390,1080,281,76.4.185.174,1
391,1109,2099,89.134.1.146,5
392,53,49,72.78.105.101,5
393,2183,1558,83.233.70.12,1
394,35,125,77.38.156.66,5
395,283,2099,89.132.36.40,5
396,2099,1209,88.112.241.245,5
397,2220,2099,89.132.36.40,5
398,495,2099,89.132.36.40,5
399,2037,84,174.131.48.88,5
400,2256,84,174.131.69.68,1
401,2243,84,174.131.69.68,5
402,239,1558,83.233.70.12,4
403,72,2099,89.132.36.40,5
404,7,2099,89.132.36.40,5
405,2183,298,72.77.81.191,1
407,72,0,24.18.10.10,5
409,2288,84,64.134.153.151,1
410,2288,298,74.98.227.14,5
411,2288,1558,83.233.70.12,1
412,2288,2275,86.184.64.108,5
413,2275,84,174.131.118.200,1
415,2275,372,83.249.210.240,5
416,2275,298,74.98.227.14,5
417,2288,372,83.249.210.240,5
1056,6151,6168,69.247.76.60,5
419,372,0,24.18.10.10,5
420,132,0,24.18.10.10,5
421,84,0,24.18.10.10,1
522,158,5343,201.21.26.221,5
423,84,2099,89.135.196.153,5
1055,7346,4151,67.61.146.136,5
425,84,861,75.44.146.22,5
426,50,0,24.18.10.10,5
427,164,0,24.18.10.10,4
428,315,84,174.131.76.27,1
429,288,2099,89.135.196.153,5
430,144,72,112.205.54.28,5
431,288,0,74.110.5.100,1
432,2288,0,74.110.5.100,5
433,84,0,74.110.5.100,1
434,2099,0,74.110.5.100,5
435,49,0,74.110.5.100,1
436,108,0,74.110.5.100,5
521,2271,6113,74.110.11.129,4
438,84,108,208.33.154.138,5
439,315,2099,89.135.196.153,5
440,288,298,108.32.76.98,1
520,84,6113,74.110.11.129,1
519,16,6113,74.110.1.101,5
443,4,317,99.187.156.44,1
444,2319,35,98.220.125.175,5
445,35,0,71.186.250.100,1
446,266,49,72.78.105.101,1
447,84,0,71.193.154.155,1
518,6102,6113,74.110.6.238,5
449,2288,279,178.63.97.34,5
450,317,2099,89.135.198.226,5
451,279,0,74.110.32.101,5
452,1986,0,71.193.154.155,5
453,266,2099,89.132.51.109,5
454,49,1558,83.233.70.12,5
455,317,1558,83.233.70.12,1
456,878,35,50.151.185.150,3
457,64,72,112.205.71.85,1
458,1986,125,77.38.156.66,5
460,84,1558,83.233.70.12,3
461,2113,132,91.153.87.155,5
462,1986,0,74.110.13.128,1
463,2075,288,171.25.193.235,5
464,2623,2275,86.180.151.88,1
465,2306,1558,83.233.70.12,5
466,2256,2678,80.2.155.48,1
467,2275,2678,80.2.155.48,1
468,2678,2275,86.183.44.201,1
469,2678,288,199.36.123.117,1
470,7,2275,86.176.76.249,5
471,188,1209,88.112.241.245,5
472,84,2275,86.176.76.249,1
473,161,857,122.49.166.82,5
474,315,72,112.205.78.176,5
475,2809,35,50.151.185.150,5
476,84,1986,81.228.214.125,5
477,281,857,49.176.4.142,4
478,2027,35,50.151.185.150,5
479,188,49,72.78.105.101,2
480,85,857,115.166.26.169,4
1054,54,1558,83.233.70.5,1
482,3318,49,72.78.105.101,1
483,3318,878,85.151.35.185,1
484,3318,274,173.86.146.151,1
485,274,1209,84.250.199.15,5
486,3498,35,50.151.185.150,1
487,3498,958,212.10.149.192,1
488,112,132,91.153.87.155,5
489,1,68,70.199.106.132,5
490,3498,1109,84.238.30.135,1
517,3498,6111,108.254.68.218,5
492,3721,35,50.151.185.150,5
493,54,3721,107.15.41.197,5
494,3721,54,110.77.235.197,5
495,2075,2,69.244.118.189,5
496,3498,1558,83.233.70.12,1
497,3491,1558,83.233.70.12,4
498,1209,1558,83.233.70.12,4
499,2871,281,184.6.64.28,1
501,1986,1209,88.193.101.124,5
502,5113,1109,84.238.30.135,1
503,2075,958,188.228.43.35,5
504,288,958,62.44.134.34,5
505,5562,1558,83.233.70.12,1
506,5082,1209,88.193.101.124,1
507,5562,2075,77.244.254.230,1
508,132,29,211.181.125.131,5
509,5562,2306,85.23.37.80,1
510,104,281,173.197.23.210,5
511,288,2,69.244.118.189,5
525,288,6117,88.88.138.216,5
527,5590,6113,71.186.242.213,5
528,293,6117,85.166.63.196,5
529,6117,132,80.186.214.205,1
530,2306,132,80.186.214.205,5
531,132,6117,85.166.63.196,1
532,336,6117,85.166.63.196,1
533,3498,281,184.6.68.107,1
534,3,6117,85.166.63.196,5
535,2345,6117,85.166.63.196,5
536,2750,6117,85.166.62.28,5
537,6117,5333,77.88.97.99,5
538,5333,6117,85.166.62.28,5
539,821,5343,179.219.252.22,5
540,6115,6117,85.166.62.28,5
541,2075,6113,71.186.248.223,1
542,2082,281,184.6.68.107,4
543,288,72,112.205.26.106,5
544,2392,6113,71.186.238.44,5
545,6149,1109,84.238.88.52,1
546,5333,6149,77.98.100.181,1
547,130,6149,77.98.100.181,1
548,44,6149,77.98.100.181,1
549,54,6149,77.98.100.181,1
550,288,6149,77.98.100.181,1
551,158,6149,77.98.100.181,1
552,6165,6149,77.98.100.181,5
553,6149,6165,184.6.158.66,5
554,6102,6122,76.104.26.181,1
555,5973,6165,184.6.158.66,5
556,6122,6113,74.110.34.72,5
557,6144,0,108.129.76.241,5
558,56,6117,85.164.243.17,5
559,25,6117,85.164.243.17,5
561,2306,6117,85.164.243.17,5
562,1,821,128.97.201.246,5
563,132,7,31.185.146.30,5
564,16,68,70.194.6.63,5
565,288,2820,99.255.163.15,5
566,6117,25,85.76.13.23,1
567,132,25,85.76.13.23,5
568,132,6174,84.236.113.94,5
569,821,1772,183.171.178.218,5
571,9,130,24.92.125.209,5
572,67,353,187.58.230.180,5
573,6174,2099,84.236.113.94,5
574,91,1066,81.109.72.16,5
575,7,1066,81.109.72.16,5
576,132,0,184.189.88.11,5
578,7,6117,83.109.166.112,5
579,288,2082,86.158.214.120,4
580,132,6168,68.199.109.203,5
581,2820,288,204.12.235.20,5
582,1558,6168,68.199.109.203,5
586,4339,288,173.254.216.69,5
587,2306,6168,68.199.109.203,5
588,1986,6117,85.166.62.56,5
589,6190,6117,85.166.62.56,1
590,6117,6149,77.98.100.181,5
591,6199,1558,83.233.70.12,1
592,5805,132,85.156.216.118,1
593,49,6149,77.98.100.181,1
594,6176,1558,83.233.70.12,1
595,4873,6113,74.110.6.191,4
596,1772,125,77.38.156.66,5
597,130,6113,71.186.247.223,5
598,16,6117,85.166.62.56,5
599,1730,0,108.7.10.185,4
600,6168,6117,85.164.241.113,5
601,2220,6168,68.199.109.203,5
603,3491,6117,85.166.62.56,5
604,5779,6117,85.166.62.56,5
605,288,0,108.7.10.185,5
606,6117,6168,68.199.109.203,5
607,6168,1558,83.233.70.12,3
608,6173,6117,85.166.62.56,5
609,7,6168,68.199.109.203,5
610,335,6168,68.199.109.203,1
611,6149,0,81.145.247.185,5
612,2820,0,94.212.10.41,4
613,2075,6155,47.55.59.95,1
614,288,283,46.177.4.201,5
615,2,2082,86.137.204.23,4
616,3721,1558,83.233.70.12,5
617,2288,6115,200.207.23.135,5
618,821,6115,200.207.23.135,5
619,2256,6115,177.9.93.49,4
620,1104,132,91.153.87.155,5
621,5343,353,87.205.113.37,4
622,821,505,204.237.95.167,5
623,6218,6149,77.98.100.181,1
624,6208,6117,85.164.240.161,5
625,505,6117,85.164.240.161,1
626,5343,6115,201.43.247.131,5
627,132,2750,74.167.131.53,3
628,6096,6115,201.68.32.43,5
629,6096,6149,77.98.100.181,1
631,6096,6117,85.164.240.161,1
633,336,6168,68.199.109.203,1
634,333,6113,71.186.247.186,1
635,134,958,212.10.146.107,3
636,6168,25,88.112.42.148,1
637,25,6168,68.199.109.203,1
638,3721,6168,68.199.109.203,5
639,16,6168,68.199.109.203,1
640,505,6168,68.199.109.203,5
641,991,6168,68.199.109.203,5
642,6254,6149,86.174.90.60,1
643,6096,281,162.225.110.137,1
644,2082,6168,68.199.109.203,5
645,4873,6168,68.199.109.203,5
646,37,6244,24.99.147.135,5
647,132,125,77.38.156.66,5
648,6209,25,88.112.42.148,1
649,132,2,69.244.118.189,5
650,35,6168,68.199.109.203,5
651,287,6168,68.199.109.203,5
652,6168,132,91.153.87.155,5
653,6258,6168,68.199.109.203,1
654,2,6168,68.199.109.203,5
655,6258,281,184.6.104.224,1
656,3318,6168,68.199.109.203,1
657,1080,6168,68.199.109.203,1
658,6258,7,146.90.187.222,1
659,6113,2220,122.128.202.151,5
660,6217,25,85.76.131.231,1
661,49,6168,68.199.109.203,1
662,274,6168,68.199.109.203,5
663,6258,168,50.147.33.118,5
664,140,6209,5.68.186.69,5
665,4,6168,68.199.109.203,5
666,6176,25,85.76.131.74,1
667,333,281,184.6.104.224,5
668,960,168,50.147.10.107,5
669,6134,6149,86.174.90.60,5
670,91,6149,86.174.90.60,1
671,6272,6168,68.199.109.203,1
672,6272,1558,83.233.70.12,2
673,6272,6117,83.109.164.247,1
674,6266,6134,88.208.236.144,1
675,323,6117,83.109.164.247,1
676,323,6134,88.208.236.144,1
677,319,54,98.159.123.217,5
678,6279,6117,83.109.164.247,1
679,49,0,71.190.252.62,5
680,6279,6168,68.199.109.203,1
681,6155,6168,68.199.109.203,5
682,287,6117,83.109.164.247,1
683,6278,281,184.6.104.224,5
684,505,6113,71.186.239.199,3
686,6117,0,79.97.81.202,4
687,1,49,68.80.249.225,1
689,6217,6113,71.186.252.190,4
690,49,861,75.44.146.22,1
691,6302,6117,83.109.164.247,1
692,6266,25,88.112.42.148,1
694,6145,5343,179.219.252.22,5
696,2075,6168,68.199.109.203,5
697,6155,25,88.112.42.148,1
698,6106,6117,83.109.167.29,5
699,4,2392,98.204.5.133,5
700,288,6168,68.199.109.203,5
701,4873,0,72.239.81.189,5
702,333,0,72.239.81.189,5
703,6115,0,72.239.81.189,5
884,7901,7508,80.212.45.162,1
705,6117,0,72.239.81.189,5
706,1,0,72.239.81.189,5
707,204,29,216.131.118.147,5
708,6113,0,173.177.229.39,5
710,6359,6322,109.99.127.206,5
711,6144,35,50.151.185.150,5
712,6431,6168,68.199.109.203,5
713,6244,25,85.76.11.143,1
714,54,168,50.147.10.107,5
715,6217,6155,47.55.59.95,1
716,1986,6168,68.199.109.203,5
717,6235,288,91.213.8.43,4
718,333,274,173.86.146.8,5
719,287,5343,179.219.241.6,5
720,6254,25,85.76.66.2,1
721,6359,25,85.76.66.2,1
722,6359,6117,83.109.167.169,5
723,287,25,88.112.42.148,1
724,6554,6168,68.199.109.203,1
725,6554,6322,109.99.127.206,1
726,3491,6244,24.99.147.135,5
727,6322,2220,122.128.199.10,5
728,132,6554,50.36.64.44,1
730,4873,0,143.95.37.70,5
731,6773,6322,109.99.127.206,1
732,130,6168,68.199.109.203,5
733,6280,6168,68.199.109.203,5
734,960,7,174.50.150.59,5
735,960,5343,179.219.237.220,4
736,6322,6168,68.199.109.203,5
741,6168,960,71.88.104.160,5
738,64,6168,68.199.109.203,1
739,6269,6113,74.77.50.234,4
740,7325,6322,109.99.127.206,5
746,6176,6168,68.199.109.203,1
747,353,6168,68.199.109.203,5
748,138,7364,93.72.239.159,5
750,6198,6168,68.199.109.203,5
751,188,7364,93.72.239.159,5
752,7364,6322,109.99.127.206,5
753,7364,125,77.38.156.66,1
754,188,6322,109.99.127.206,5
755,49,0,89.142.247.0,5
757,125,0,87.99.72.90,5
758,7,6149,77.98.100.181,1
759,53,6322,109.99.127.206,5
760,6231,7364,93.72.239.159,1
762,6292,6168,68.199.109.203,5
763,296,6168,68.199.109.203,1
764,6269,6168,68.199.109.203,5
765,44,1558,83.233.70.12,1
767,2820,1558,83.233.70.12,5
768,6235,1558,83.233.70.12,5
769,2183,6168,68.199.109.203,1
770,7346,6168,68.199.109.203,1
771,6190,6168,68.199.109.203,5
772,2889,7427,219.90.154.102,5
773,7424,274,184.9.100.10,5
774,288,2170,69.165.201.90,5
775,7364,274,184.9.100.10,4
776,4151,274,184.9.100.10,5
778,7350,319,174.49.125.14,5
779,6280,25,85.76.180.130,1
780,6231,5343,179.219.224.249,5
781,14,6168,68.199.109.203,1
782,2275,6168,68.199.109.203,1
783,6247,6168,68.199.109.203,5
784,7461,6168,68.199.109.203,1
785,6244,6168,68.199.109.203,5
786,6235,0,212.3.60.120,5
787,6297,6168,68.199.109.203,5
788,6266,6168,68.199.109.203,5
789,805,6168,68.199.109.203,5
790,188,6168,68.199.109.203,1
791,29,6168,68.199.109.203,5
792,1,0,82.41.224.234,5
793,7461,7508,88.91.29.88,1
794,7364,6168,68.199.109.203,1
795,6271,6113,72.45.212.90,5
797,7567,1558,83.233.70.12,1
798,7575,7508,80.212.46.150,5
799,208,7508,80.212.46.150,1
800,7567,6168,68.199.109.203,1
802,6249,6113,72.45.212.90,5
803,7575,1558,83.233.70.12,5
804,7607,7508,88.91.29.88,1
805,7481,6168,68.199.109.203,5
806,7607,1209,84.250.213.167,1
807,7616,1558,83.233.70.12,4
809,6122,7616,84.236.118.86,5
810,7427,7616,84.236.92.133,5
811,6254,1558,83.233.70.12,5
812,6174,7616,84.236.112.55,5
813,132,1558,83.233.70.12,5
814,6292,6244,71.56.50.167,5
815,7496,1558,83.233.70.12,1
816,188,125,77.38.156.66,1
817,188,7508,80.212.160.170,1
818,188,7636,47.20.224.112,2
819,188,3,76.121.89.171,1
820,288,1558,83.233.70.12,5
821,68,1558,83.233.70.12,5
822,7405,0,176.254.23.110,5
823,6231,7346,5.104.224.195,5
824,85,326,109.147.228.87,2
825,6274,6113,72.45.212.90,5
826,132,7346,24.30.17.202,5
827,7602,1558,83.233.70.12,1
828,7543,6168,68.199.109.203,5
829,7607,6168,68.199.109.203,1
830,6231,6306,50.7.1.146,4
831,7635,0,90.176.222.161,5
833,7588,6321,65.26.125.141,4
834,5265,1558,83.233.70.12,4
835,335,1558,83.233.70.12,4
836,7705,7636,47.20.224.112,1
837,7481,7636,47.20.224.112,1
838,7705,6168,68.199.109.203,1
840,7481,0,109.201.138.211,5
841,6274,6168,68.199.109.203,5
885,7851,6168,69.247.76.60,5
843,6207,6113,72.45.212.90,4
844,7543,7686,79.78.114.17,5
845,6209,1558,83.233.70.12,2
846,49,7730,97.85.143.240,5
847,6278,6168,68.199.109.203,1
848,7543,1558,83.233.70.12,5
849,353,1558,83.233.70.12,5
851,288,131,72.133.234.43,5
852,16,6278,84.20.235.46,5
853,288,6278,84.20.235.46,5
855,6231,7508,80.212.45.159,5
856,9,6168,68.199.109.203,1
857,7508,1558,83.233.70.12,5
860,6269,168,50.147.10.107,5
861,6359,6168,68.199.109.203,5
862,505,7719,69.250.178.128,3
1332,1558,9503,72.169.97.144,1
867,28,0,87.118.91.140,5
868,7846,1558,83.233.70.12,5
869,7776,1558,83.233.70.12,5
871,7851,2296,149.5.39.205,1
872,335,7636,47.20.224.112,2
873,44,49,71.225.22.89,5
874,333,7882,79.136.38.177,5
875,49,7508,80.212.45.162,1
876,49,7636,47.20.224.112,1
877,7504,6274,98.234.240.158,4
878,6249,6168,69.247.76.60,5
880,6249,25,88.112.42.148,1
883,6249,7636,47.20.224.112,4
887,7636,1209,88.193.125.68,5
888,7636,130,68.174.0.142,3
889,6217,7346,73.184.61.60,5
890,7776,7636,47.20.224.112,1
891,130,7636,47.20.224.112,4
892,3,7636,47.20.224.112,4
893,288,7846,108.8.9.118,5
894,7346,7846,108.8.9.118,5
895,2306,7846,108.8.9.118,5
896,7481,7846,108.8.9.118,5
897,7643,7846,108.8.9.118,5
898,6278,7846,108.8.9.118,5
899,132,7846,68.83.218.132,5
900,49,7846,108.8.9.118,1
901,4151,7846,108.8.9.118,5
902,6359,7846,108.8.9.118,5
903,168,7846,108.8.9.118,5
904,2392,7846,108.8.9.118,5
906,3721,335,146.135.8.196,5
907,1,0,82.41.224.234,5
1330,9852,9304,142.197.109.23,5
909,4873,7846,108.8.9.118,5
910,7903,7846,108.8.9.118,5
911,6274,7846,108.8.9.118,5
912,6113,7846,108.8.9.118,5
913,274,7846,108.8.9.118,5
914,7757,7846,108.8.9.118,5
915,158,4873,174.4.182.100,5
916,288,7875,86.44.146.9,5
917,7635,7636,47.20.224.112,3
918,16,0,82.41.224.234,5
919,7846,0,82.41.224.234,5
920,281,7846,108.8.9.118,5
922,132,0,82.41.224.234,4
923,7846,0,24.105.250.159,5
924,7846,7636,47.20.224.112,3
925,7719,6113,72.88.123.111,4
926,287,7636,47.20.224.112,4
927,246,7636,47.20.224.112,1
929,49,50,72.24.102.160,1
930,6254,6113,108.55.40.211,3
931,7481,0,82.41.224.234,5
932,288,1209,88.193.125.68,5
933,7946,1558,83.233.70.12,1
934,7846,0,24.105.250.159,5
