comment_id,comment_eid,comment_mid,comment_date,comment_text,comment_append_edit,comment_edit_time,comment_edit_name,comment_ip_address,comment_author
25,131,13946,2017-02-06T22:47:18Z,"<p>
	Free Saint Anders!
</p>",FALSE,0,,2001:4640:7c7b:0:8f9:cc46:ce70:1d41,Wolfsschanze
26,131,13945,2017-02-13T15:21:12Z,"
<p>
	Happy Birthday Anders Breivik!
</p>

<p>
	Free Saint Anders!
</p>
",FALSE,0,,2a02:c7d:bb0c:7f00:c96b:2566:a573:7b00,Conroy
27,131,13692,2017-02-14T02:22:22Z,"<p>
	Happy birthday Saint Anders, may the 77 marxists burn in hell.
</p>",FALSE,0,,67.8.39.179,Gabriel
28,141,14003,2017-03-11T04:29:16Z,"
<div class=""ipsEmbeddedVideo"">
	<div>
		<iframe allowfullscreen=""true"" frameborder=""0"" height=""270"" src=""https://www.youtube.com/embed/videoseries?list=PLF0mO6hTuLzkDQVq9cQqWaLCey9yiB_0H"" width=""480""></iframe>
	</div>
</div>

<p>
	 
</p>
",FALSE,0,,50.176.145.214,Clemson
29,140,9679,2017-03-23T15:36:33Z,"<p>
	<img alt=""2438388.jpg"" class=""ipsImage"" height=""750"" src=""http://hss-prod.hss.aol.com/hss/storage/midas/f91bdb53a50fd4fe1d97fe0cc32e3681/201438666/2438388.jpg"" width=""635"" /></p>",FALSE,0,,99.6.21.105,Vinokura
30,150,13532,2017-03-28T21:45:59Z,"<p>
	Reds Removed
</p>",FALSE,0,,162.194.145.231,The Whiteraven
31,150,14072,2017-04-02T01:17:59Z,"<p>
	dead commies lol
</p>",FALSE,0,,2001:558:6045:9f:5f2:a1f4:d524:f3af,Fascist of California
32,147,13698,2017-04-13T16:03:58Z,"<p>
	Real human bean
</p>",FALSE,0,,217.23.11.70,Eternal Gael
33,147,13532,2017-04-13T21:22:59Z,"
<p style=""text-align:center;"">
	HEIL HITLER!
</p>

<p style=""text-align:center;"">
	<img alt=""adolf-hitler-portrait-04.jpg"" class=""ipsImage"" src=""https://nseuropa.files.wordpress.com/2015/04/adolf-hitler-portrait-04.jpg"" /></p>

<p style=""text-align:center;"">
	<img alt=""hitler.jpg"" class=""ipsImage"" src=""https://vickibeyers.files.wordpress.com/2013/02/hitler.jpg"" /></p>

<p style=""text-align:center;"">
	HERO OF GERMANY AND EUROPE FOREVER!
</p>
",FALSE,0,,2602:30a:2c29:1e70:c985:9c65:8017:424d,The Whiteraven
34,147,13771,2017-04-14T00:29:35Z,"
<p>
	<strong>HEIL HITLER!</strong>
</p>

<p>
	I think I'm going to try and do something in his honor for next week.
</p>

<p>
	Esoteric Hitlerism general is going to explode soon.
</p>
",FALSE,0,,184.16.126.33,BloodEagle
35,147,13167,2017-04-15T21:23:30Z,"<p>
	To the greatest man of all time and an inspiration to millions Sieg Heil!
</p>",FALSE,0,,68.34.66.97,Totenkopfverbände
36,147,14265,2017-04-17T18:05:50Z,"<p>
	Men Against Time<img alt=""nazis_01.jpg"" class=""ipsImage"" height=""666"" src=""https://www.onelargeprawn.co.za/wp-content/uploads/2009/nazis_01.jpg"" width=""1000"" /></p>",FALSE,0,,201.37.163.180,Thomas Busse
37,147,14300,2017-04-17T22:34:57Z,"
<p>
	May his spirit live on with us.
</p>

<p>
	<img alt=""adolf-hitler-e28093-speech-at-the-openin"" class=""ipsImage"" src=""https://nseuropa.files.wordpress.com/2017/03/adolf-hitler-e28093-speech-at-the-opening-of-the-international-automobile-exhibition.jpg"" /></p>

<p>
	Heil Hitler!
</p>

<p>
	 
</p>

<p>
	 
</p>
",FALSE,0,,66.82.162.76,Sol
38,147,13880,2017-04-18T03:50:55Z,"<p>
	Bulgarian children carrying a portrait of an Austrian painter. <br /><br /><img alt=""FcVakF2.jpg"" class=""ipsImage"" src=""http://i.imgur.com/FcVakF2.jpg"" /></p>",FALSE,0,,89.253.136.92,Подземникъ
39,147,14273,2017-04-20T14:53:13Z,"
<p>
	<img alt=""lPPBRSX.png"" class=""ipsImage"" src=""http://i.imgur.com/lPPBRSX.png"" /><img alt=""076dyPr.jpg"" class=""ipsImage"" src=""http://i.imgur.com/076dyPr.jpg"" /></p>

<p>
	Truly a Man against time, may he never be forgotten.
</p>
",FALSE,0,,2a02:c7d:9204:a500:64c9:d824:f79c:286c,Severian
40,147,13769,2017-04-20T15:21:39Z,"
<p>
	<img alt=""Image result for adolf hitler color photo"" src=""https://ichef.bbci.co.uk/images/ic/640x360/p031t9k0.jpg"" /></p>

<p>
	Happy Birthday to the Fuhrer!
</p>
",FALSE,0,,86.183.55.8,English_Metalhead
41,147,12524,2017-04-20T15:38:54Z,"
<p>
	Fröhlich Geburtstag Onkel Adolf!
</p>

<p>
	<img src=""http://2.bp.blogspot.com/_srOhGcGHvik/SUkP_TU9jqI/AAAAAAAABsU/QGGNOgZGzW0/s400/hitlercake.jpg"" alt=""hitlercake.jpg"" /></p>
",FALSE,0,,174.30.48.54,Capitoline
42,147,14140,2017-04-21T00:10:54Z,"
<p>
	To the greatest man of our Race to walk upon this Earth, the Man Against Time, the defiant Leader of a Folk in unison. <strong>Hail Hitler!</strong> 
</p>

<p>
	<img alt=""1vue2fi.jpg"" class=""ipsImage"" height=""682"" src=""http://i.imgur.com/1vue2fi.jpg"" width=""1000"" /></p>
",FALSE,0,,135.84.127.179,SuburbanPride_14
43,159,9679,2017-04-23T08:40:37Z,"<p>
	<img alt=""293723_380425125373332_298370821_n.jpg"" class=""ipsImage"" src=""https://3.bp.blogspot.com/-zJqko7b3NJE/ULaioV3KYFI/AAAAAAAADnw/WnQd29LlVxE/s1600/293723_380425125373332_298370821_n.jpg"" /></p>",FALSE,0,,66.169.97.70,Vinokura
44,160,13342,2017-04-26T14:02:19Z,"<p>
	Martyr of Fascist Friendshipism! <img alt="":windmill:"" data-emoticon="""" src=""<fileStore.core_Emoticons>/emoticons/windmill.png"" title="":windmill:"" /></p>",FALSE,0,,31.46.153.19,Vasiszta
45,149,13692,2017-04-28T20:21:51Z,"<p>
	Viva il Duce!
</p>",FALSE,0,,68.205.82.157,Gabriel
46,149,13771,2017-04-29T01:18:57Z,"
<p>
	<strong>AVE IL DUCE!</strong>
</p>

<p>
	<img alt=""DylHpWP.jpg"" class=""ipsImage"" src=""http://i.imgur.com/DylHpWP.jpg"" /></p>
",FALSE,0,,184.16.173.175,BloodEagle
47,149,13950,2017-04-29T18:01:34Z,"<p>
	Although he had a wicked opinion on Slavs, I respect the man and admire his political theory.
</p>",FALSE,1493489716,South,89.172.248.121,South
48,148,13950,2017-04-29T22:51:25Z,"<p>
	Rest in peace you Pole hating kraut
</p>",FALSE,0,,89.172.248.121,South
49,148,13771,2017-04-30T04:01:26Z,"
<p>
	Rest in Peace, Fuhrer.
</p>

<p>
	<img alt=""MIXfqDy.jpg"" class=""ipsImage"" height=""562"" src=""http://i.imgur.com/MIXfqDy.jpg"" width=""1000"" /></p>
",FALSE,0,,184.16.109.35,BloodEagle
50,148,13461,2017-04-30T16:50:48Z,"
<p style=""text-align:center;"">
	""Hitler is a spiritual vessel, a demi-divinity; even better, a myth.""
</p>

<p style=""text-align:center;"">
	 
</p>

<p style=""text-align:center;"">
	Rest in peace, greatest man who ever walked the earth.
</p>

<p style=""text-align:center;"">
	 
</p>

<p style=""text-align:center;"">
	<img alt=""tumblr_n8k4itkXca1rjssvvo1_1280.png"" class=""ipsImage"" height=""750"" src=""http://68.media.tumblr.com/4d277d121e99894f57faae85262b5b47/tumblr_n8k4itkXca1rjssvvo1_1280.png"" width=""742"" /></p>
",FALSE,0,,68.98.169.180,FascistKurd
51,148,13769,2017-04-30T21:25:49Z,"
<p>
	<strong>""One day my spirit shall rise from the grave and the world will know I was right""</strong>
</p>

<p>
	<strong>RIP Fuhrer </strong><img alt="":windmill:"" data-emoticon="""" src=""<fileStore.core_Emoticons>/emoticons/windmill.png"" title="":windmill:"" /></p>

<p>
	 
</p>
",FALSE,0,,86.183.55.8,English_Metalhead
52,148,13307,2017-04-30T22:39:41Z,"
<p>
	""That last, great individual– an absolute harmonious blending of the sharpest of all opposites; equally sun and lightning– is the one whom the faithful of all religions and the bearers of practically all cultures await; the one of whom Adolf Hitler (knowingly or unknowingly) said in 1928: ""I am not he; but while nobody comes forward to prepare the way for him, I do so.""
</p>

<p>
	 
</p>

<p>
	Praise to Him, the one before the last.
</p>

<p>
	The greatest son of Europe.
</p>

<p>
	Sieg Heil!
</p>
",FALSE,0,,70.79.20.246,Blood and Adventure
53,148,13698,2017-04-30T23:22:53Z,"<p>
	F
</p>",FALSE,0,,173.44.55.203,Eternal Gael
54,1,13661,2017-05-01T09:39:07Z,"<p>
	Sad Story with his family.
</p>",FALSE,0,,68.42.231.149,Black Israelite
55,165,13532,2017-05-10T03:12:21Z,"<p>
	'Tis the day for burning porn and communist books.
</p>",FALSE,0,,2602:30a:2c29:1e70:759d:cd53:addd:fd22,The Whiteraven
56,165,13167,2017-05-10T11:54:36Z,"<p>
	A day for burning the degenerate past of the Weimar republic away, Sieg heil!
</p>",FALSE,0,,2600:1007:b018:80e0:157f:fd70:12d2:8adb,Schwarzmarsch
57,255,13692,2017-05-23T20:57:47Z,"<p>
	Their spirits will rise from the grave and march along with us to victory. SIEG HEIL.
</p>",FALSE,0,,68.205.82.157,Gabriel
58,255,13215,2017-05-24T14:43:55Z,"<p>
	RIP brothers. Your sacrifice is not in vain. 
</p>",FALSE,0,,68.147.86.27,Celtic88Hun
59,255,14300,2017-05-24T14:59:24Z,"<p>
	RIP
</p>",FALSE,1495721309,Sol,66.82.162.73,Sol
60,4,6144,2017-05-29T02:30:32Z,"
<p>
	He was one of the great intellects of all time.  The Decline of the West should be in everyone's library
</p>

<p>
	 
</p>
",FALSE,0,,72.200.209.135,calvinist-fascist
61,19,13167,2017-05-30T01:24:02Z,"<p>
	Fuck this guy
</p>",FALSE,0,,2601:40b:c201:959:2984:2f3f:1b55:abdd,Schwarzmarsch
62,19,14300,2017-05-30T05:11:30Z,"<p>
	What a fag.
</p>",FALSE,0,,66.82.162.74,Sol
63,19,14452,2017-05-30T13:49:50Z,"<p>
	Strasser is a faggot, barely worth remembering 
</p>",FALSE,0,,76.1.111.146,Pádraig
64,36,14407,2017-05-30T14:36:59Z,"<p>
	Killed for hating degeneracy, what a shame. Rest in Peace.
</p>",FALSE,0,,50.205.217.114,Cultor
65,36,14404,2017-05-31T10:15:10Z,"
<p>
	So, was Sima a bad person?
</p>

<p>
	 
</p>

<p>
	It's hard to pick a side on the dispute between the two though Antonescu seems to have been a far better ally to the Axis powers than Sima would have been. Things, perhaps, could have been different though if the internal conflict between the two never existed in the first place.
</p>
",FALSE,0,,198.245.60.8,Virgil
66,19,9668,2017-05-31T19:30:03Z,"<p>
	^ angry spergs
</p>",FALSE,0,,172.103.195.66,Николајевић
67,19,13893,2017-05-31T21:03:38Z,"<p>
	Perfect brother don't exi--
</p>",FALSE,0,,31.22.189.162,LITOS
68,19,13167,2017-06-01T02:39:40Z,"
<blockquote class=""ipsQuote"" data-ipsquote="""" data-ipsquote-contentapp=""calendar"" data-ipsquote-contentclass=""calendar_Event"" data-ipsquote-contentcommentid=""66"" data-ipsquote-contentid=""19"" data-ipsquote-contenttype=""calendar"" data-ipsquote-timestamp=""1496259003"" data-ipsquote-userid=""9668"" data-ipsquote-username=""Николајевић"">
	<div class=""ipsQuote_citation"">
		6 hours ago, Николајевић said:
	</div>

	<div class=""ipsQuote_contents"">
		<p>
			^ angry spergs
		</p>
	</div>
</blockquote>

<p>
	Night of the long knives was the best night of my life
</p>
",FALSE,0,,2601:40b:c201:959:9dba:2a47:f506:e9c6,Schwarzmarsch
69,19,9668,2017-06-01T02:54:15Z,"
<blockquote class=""ipsQuote"" data-ipsquote="""" data-ipsquote-contentapp=""calendar"" data-ipsquote-contentclass=""calendar_Event"" data-ipsquote-contentcommentid=""68"" data-ipsquote-contentid=""19"" data-ipsquote-contenttype=""calendar"" data-ipsquote-timestamp=""1496284780"" data-ipsquote-userid=""13167"" data-ipsquote-username=""Schwarzmarsch"">
	<div class=""ipsQuote_citation"">
		Just now, Schwarzmarsch said:
	</div>

	<div class=""ipsQuote_contents"">
		<p>
			Night of the long knives was the best night of my life
		</p>
	</div>
</blockquote>

<p>
	C O O L 
</p>
",FALSE,0,,172.103.195.66,Николајевић
70,183,14140,2017-06-07T22:29:16Z,"
<p>
	Rest In Peace
</p>

<div class=""ipsEmbeddedVideo"">
	<div>
		<iframe allowfullscreen=""true"" frameborder=""0"" height=""344"" src=""https://www.youtube.com/embed/1wzsqCYyRGI?feature=oembed"" width=""459""></iframe>
	</div>
</div>

<p>
	 
</p>
",FALSE,0,,138.197.175.223,SuburbanPride_14
71,186,13826,2017-07-06T03:51:50Z,"
<p>
	Glorious event. One of my favorite Ukrainian paintings, followed by 'Reply of the Zaporozhian Cossacks to Sultan Mehmed IV of the Ottoman Empire' by Ilya Repin.<br />
	 
</p>

<p>
	""Zaporozhian Cossacks to the Turkish Sultan!
</p>

<p>
	O sultan, Turkish devil and damned devil's kith and kin, secretary to Lucifer himself. What the devil kind of knight are thou, that canst not slay a hedgehog with your naked arse? The devil shits, and your army eats. Thou shalt not, thou son of a whore, make subjects of Christian sons; we have no fear of your army, by land and by sea we will battle with thee, fuck thy mother.
</p>

<p>
	Thou Babylonian scullion, Macedonian wheelwright, brewer of Jerusalem, goat-fucker of Alexandria, swineherd of Greater and Lesser Egypt, pig of Armenia, Podolian thief, catamite of Tartary, hangman of Kamyanets, and fool of all the world and underworld, an idiot before God, grandson of the Serpent, and the crick in our dick. Pig's snout, mare's arse, slaughterhouse cur, unchristened brow, screw thine own mother!
</p>

<p>
	So the Zaporozhians declare, you lowlife. You won't even be herding pigs for the Christians. Now we'll conclude, for we don't know the date and don't own a calendar; the moon's in the sky, the year with the Lord, the day's the same over here as it is over there; for this kiss our arse!""
</p>

<p>
	 
</p>

<p>
	<img alt=""1920px-Ilja_Jefimowitsch_Repin_-_Reply_o"" class=""ipsImage"" height=""591"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Ilja_Jefimowitsch_Repin_-_Reply_of_the_Zaporozhian_Cossacks_-_Yorck.jpg/1920px-Ilja_Jefimowitsch_Repin_-_Reply_of_the_Zaporozhian_Cossacks_-_Yorck.jpg"" width=""1000"" /></p>
",FALSE,0,,177.5.17.154,Austral
72,197,13826,2017-07-18T17:55:12Z,"<p>
	Main Kampf is correct, as there now exists the... alt Kampf
</p>",FALSE,0,,201.11.58.166,Austral
73,204,14309,2017-07-19T12:56:26Z,"
<p>
	<img alt=""017b78e566a78c02e7646e05ac9107f1"" class=""ipsImage"" src=""http://cdn.newsapi.com.au/image/v1/017b78e566a78c02e7646e05ac9107f1"" /></p>

<p>
	#JeSuisBreivik
</p>
",FALSE,0,,92.52.56.149,Ostromir
74,204,13307,2017-07-23T00:20:48Z,"
<p>
	<img alt=""Breivik_twenty.jpg"" class=""ipsImage"" src=""https://images.encyclopediadramatica.rs/e/e2/Breivik_twenty.jpg"" /></p>

<p>
	Happy July 22nd everyone.
</p>

<p>
	Keep a smile on your face today for ""Fags in bodybags"" Breivik!
</p>
",FALSE,0,,24.80.47.200,Blood and Adventure
75,204,14136,2017-07-23T04:15:27Z,"<p>
	Let's get a statue for this man asap. 
</p>",FALSE,0,,2602:306:8010:ea60:2cad:f9cc:9c0e:abe0,NekromanticNord
76,36,13861,2017-07-24T10:59:04Z,"
<blockquote class=""ipsQuote"" data-ipsquote="""" data-ipsquote-contentapp=""calendar"" data-ipsquote-contentclass=""calendar_Event"" data-ipsquote-contentcommentid=""65"" data-ipsquote-contentid=""36"" data-ipsquote-contenttype=""calendar"" data-ipsquote-timestamp=""1496225710"" data-ipsquote-userid=""14404"" data-ipsquote-username=""Virgil"">
	<div class=""ipsQuote_citation"">
		On 5/31/2017 at 0:15 PM, Virgil said:
	</div>

	<div class=""ipsQuote_contents"">
		<p>
			So, was Sima a bad person?
		</p>

		<p>
			 
		</p>

		<p>
			It's hard to pick a side on the dispute between the two though Antonescu seems to have been a far better ally to the Axis powers than Sima would have been. Things, perhaps, could have been different though if the internal conflict between the two never existed in the first place.
		</p>
	</div>
</blockquote>

<p>
	It's a really touchy subject that I wish I knew more about as a Romanian. But there seem to be a very diverse range of opinions from Sima being only ""a puppet of Hitler"" to Antonescu being ""power hungry"" 
</p>

<p>
	 
</p>
",FALSE,0,,213.127.236.9,The Captain
79,249,14382,2017-07-25T23:36:47Z,"<p>
	Happy birthday, Mr. Mason!
</p>",FALSE,0,,88.88.161.18,ᛏᛁᚹᚨᛉ
87,46,14407,2017-07-29T17:34:01Z,"<p>
	Vincere!
</p>",FALSE,0,,71.200.162.107,Cultor
88,46,6113,2017-07-29T18:45:25Z,"
<p>
	<img src=""https://68.media.tumblr.com/07e93449556eddb8a8f0cb2f901a4c27/tumblr_ona1o7SZ301uebhuxo2_400.jpg"" alt=""tumblr_ona1o7SZ301uebhuxo2_400.jpg"" /></p>

<p>
	<img src=""https://68.media.tumblr.com/565ac320a3cac9a89b92c3e0f0335e5c/tumblr_on9c3mSKWO1r2qr2so1_540.jpg"" alt=""tumblr_on9c3mSKWO1r2qr2so1_540.jpg"" /></p>

<p>
	<img src=""https://68.media.tumblr.com/2d3ab97cce87e89cb74554ff056cab6a/tumblr_oj1zrtodHj1uebhuxo1_540.jpg"" alt=""tumblr_oj1zrtodHj1uebhuxo1_540.jpg"" /></p>
",FALSE,0,,2604:6000:6dc7:4c00:f15d:c650:85c3:f10f,Aquila
85,46,14382,2017-07-29T15:56:17Z,"<p>
	Salve!
</p>",FALSE,0,,88.88.161.18,ᛏᛁᚹᚨᛉ
86,46,14572,2017-07-29T15:58:47Z,"<p>
	Ave Victoriam, il Duce!
</p>",FALSE,0,,2604:6000:1503:81a3:b5f7:22c7:a9e4:7c62,Yankee Patriarch
83,264,11691,2017-07-26T20:25:43Z,"<p>
	Good job <span style=""text-decoration:line-through;"">Lazy</span> Slowy
</p>",FALSE,1501100775,Totenkopfaffe Herr Nilsson,176.10.249.64,Totenkopfaffe Herr Nilsson
84,209,14309,2017-07-28T18:27:46Z,"
<p>
	<img alt=""41594c97f2747a048f8ea13a3e0f9f4d.jpg"" class=""ipsImage"" src=""http://www.ruzomberok.sk/_Data/Cache/img_jpg/41594c97f2747a048f8ea13a3e0f9f4d.jpg"" /></p>

<p>
	""I´m ""Slovak Hitler"". I will make order here like Hitler in germany.""
</p>

<p>
	-Andrej Hlinka
</p>

<p>
	So bad he died before creation of free Slovak state. He would be fine Leader-President.
</p>
",FALSE,1501266625,Ostromir,92.52.56.149,Ostromir
89,46,13771,2017-07-30T01:04:26Z,"
<div class=""ipsEmbeddedVideo"">
	<div>
		<iframe allowfullscreen=""true"" frameborder=""0"" height=""270"" src=""https://www.youtube.com/embed/YlgCWc9fynM?feature=oembed"" width=""480""></iframe>
	</div>
</div>

<p>
	 
</p>

<div class=""ipsEmbeddedVideo"">
	<div>
		<iframe allowfullscreen=""true"" frameborder=""0"" height=""270"" src=""https://www.youtube.com/embed/0I71VX5RyGA?feature=oembed"" width=""480""></iframe>
	</div>
</div>

<p>
	 
</p>
",FALSE,0,,184.16.220.136,BloodEagle
90,257,14404,2017-08-08T19:11:10Z,"
<p>
	<em>Swastika, Ontario</em>
</p>

<p>
	 
</p>

<p>
	I know where I'm moving.
</p>
",FALSE,0,,176.10.107.180,Virgil
91,57,14300,2017-08-13T05:39:45Z,"<p>
	RIP. Truly one of the greatest NS Revolutionaries to exist.
</p>",FALSE,0,,66.82.162.74,золь
92,207,14309,2017-08-13T11:16:39Z,"
<p>
	We got a legend about what happened with his body(currently at unknown location since last months of ww2) :
</p>

<div class=""ipsSpoiler"" data-ipsspoiler="""">
	<div class=""ipsSpoiler_header"">
		<span>Spoiler</span>
	</div>

	<div class=""ipsSpoiler_contents"">
		<p>
			In the ending days of war, Alexander Mach with help of some German soldiers relocated his body and then it just dissapeared(propably he did that because he didn't wanted it being mocked or destroyed by soviets). Rumors says that only three people(priests) know where it is and when one of them is going to die 2 remaining tells secret to another one. They always make oath where they promise that they will tell secret to public, only when Slovakia becomes Slovak and catholic again.
		</p>

		<p>
			<img alt=""image.ashx?w=632&amp;h=307&amp;f=Hlinka_63589831"" class=""ipsImage"" height=""307"" src=""http://cms.parlamentnelisty.sk/image.ashx?w=632&amp;h=307&amp;f=Hlinka_635898316147080303.jpg&amp;id=15233"" width=""632"" /></p>

		<p>
			<em>Hlinkas funeral</em>
		</p>

		<p>
			 
		</p>
	</div>
</div>

<p>
	 
</p>
",FALSE,0,,92.52.56.161,Ostromir
93,58,13532,2017-08-13T22:21:28Z,"<p>
	Bless Hess
</p>",FALSE,0,,2602:30a:2c29:1e70:716f:330e:b272:47ee,The Whiteraven
94,58,9694,2017-08-13T22:28:18Z,"
<p>
	Joy Division had a song about him.
</p>

<p>
	<a href=""https://en.wikipedia.org/wiki/Warsaw_%28song%29"" rel=""external nofollow"">https://en.wikipedia.org/wiki/Warsaw_(song)</a>
</p>

<div class=""ipsEmbeddedVideo"">
	<div>
		<iframe allowfullscreen=""true"" frameborder=""0"" height=""270"" src=""https://www.youtube.com/embed/serIf92zTDc?feature=oembed"" width=""480""></iframe>
	</div>
</div>

<p>
	 
</p>
",FALSE,0,,70.78.216.99,angry
95,70,13771,2017-08-19T02:32:29Z,"
<p>
	RIP. Nietzsche's philosophy was pretty influential for me, with the concept of self-overcoming and persistent struggle towards the Ubermensch. The two and the others helped me warm up to Fascism, despite me being a stupid commie at the time.
</p>

<p>
	Even though he contributed to Titanism, I still gotta give props to him.
</p>

<p>
	<img alt=""f03aTLz.jpg"" class=""ipsImage"" height=""401"" src=""http://i.imgur.com/f03aTLz.jpg"" width=""500"" /></p>
",FALSE,0,,184.16.190.117,BloodEagle
96,59,14404,2017-08-24T20:15:33Z,"<p>
	GLR was taken too early. I wish we were able to see what would have become of him and his movement had he not been murdered.
</p>",FALSE,0,,185.170.42.18,Virgil
97,59,9690,2017-08-24T22:55:36Z,"<p>
	Let's make sure he didn't die in vain
</p>",FALSE,0,,184.90.34.30,GrandGiant
