id,class,content_id,perm_id,num_reports,num_comments,first_report_by,first_report_date,last_updated,author
112,IPS\forums\Topic\Post,155107,100,1,0,13005,2016-05-27T03:47:10Z,2016-05-27T03:47:10Z,9704
113,IPS\forums\Topic\Post,155237,121,1,0,13005,2016-05-29T02:37:09Z,2016-05-29T02:37:09Z,13063
114,IPS\forums\Topic\Post,155332,100,1,0,13005,2016-05-30T18:37:35Z,2016-05-30T18:37:35Z,13077
115,IPS\forums\Topic\Post,155513,112,1,1,12524,2016-05-31T23:20:13Z,2016-05-31T23:39:24Z,13005
116,IPS\forums\Topic\Post,155826,100,1,0,8192,2016-06-04T16:35:27Z,2016-06-04T16:35:27Z,13065
117,IPS\forums\Topic\Post,156282,121,1,0,13093,2016-06-09T00:53:45Z,2016-06-09T00:53:45Z,13093
118,IPS\forums\Topic\Post,156281,121,1,0,13093,2016-06-09T00:54:02Z,2016-06-09T00:54:02Z,13093
119,IPS\forums\Topic\Post,158190,121,1,0,9549,2016-06-24T03:53:28Z,2016-06-24T03:53:28Z,13127
120,IPS\forums\Topic\Post,158174,121,1,0,9549,2016-06-24T03:53:50Z,2016-06-24T03:53:50Z,13127
121,IPS\forums\Topic\Post,159896,94,1,0,9666,2016-07-10T00:47:56Z,2016-07-10T00:47:56Z,13144
122,IPS\forums\Topic\Post,160646,122,1,1,9622,2016-07-15T10:17:46Z,2016-07-15T10:52:17Z,9622
123,IPS\forums\Topic\Post,149874,121,1,0,10792,2016-07-25T09:57:48Z,2016-07-25T09:57:48Z,10792
124,IPS\forums\Topic\Post,163861,121,1,0,13338,2016-08-16T16:56:10Z,2016-08-16T16:56:10Z,13338
126,IPS\forums\Topic\Post,168436,70,1,0,13366,2016-10-12T08:52:16Z,2016-10-12T08:52:16Z,13366
127,IPS\forums\Topic\Post,169325,121,1,0,4873,2016-10-25T16:37:50Z,2016-10-25T16:37:50Z,9720
128,IPS\forums\Topic\Post,169693,15,1,0,13539,2016-10-29T16:17:37Z,2016-10-29T16:17:37Z,13539
129,IPS\forums\Topic\Post,169807,99,1,0,13575,2016-10-30T19:44:38Z,2016-10-30T19:44:38Z,13575
130,IPS\forums\Topic\Post,170161,15,1,0,9534,2016-11-02T18:04:18Z,2016-11-02T18:04:18Z,13106
131,IPS\forums\Topic\Post,170354,111,1,0,13540,2016-11-04T04:14:14Z,2016-11-04T04:14:14Z,13540
132,IPS\forums\Topic\Post,146980,121,2,3,9939,2016-12-12T17:17:07Z,2016-12-16T02:44:52Z,9939
133,IPS\forums\Topic\Post,147022,121,2,2,9939,2016-12-12T17:17:35Z,2016-12-16T15:10:26Z,9939
134,IPS\forums\Topic\Post,174389,121,1,2,13798,2017-01-06T02:50:37Z,2017-01-06T04:15:18Z,9510
135,IPS\forums\Topic\Post,176631,98,1,0,6269,2017-02-01T18:57:56Z,2017-02-01T18:57:56Z,13860
136,IPS\forums\Topic\Post,177035,105,1,0,13893,2017-02-05T15:39:19Z,2017-02-05T15:39:19Z,13893
137,IPS\forums\Topic\Post,177040,105,1,0,13893,2017-02-05T15:39:54Z,2017-02-05T15:39:54Z,13893
138,IPS\forums\Topic\Post,177042,105,1,0,13893,2017-02-05T15:40:40Z,2017-02-05T15:40:40Z,13946
139,IPS\forums\Topic\Post,177032,37,1,1,13893,2017-02-05T15:54:43Z,2017-02-05T16:22:16Z,13893
140,IPS\forums\Topic\Post,178015,121,1,0,13860,2017-02-16T04:00:04Z,2017-02-16T04:00:04Z,14004
141,IPS\forums\Topic\Post,178100,17,1,0,4873,2017-02-18T04:36:33Z,2017-02-18T04:36:33Z,13860
142,IPS\forums\Topic\Post,178772,121,1,1,13831,2017-02-26T15:16:09Z,2017-02-26T18:12:57Z,9668
143,IPS\forums\Topic\Post,180099,71,1,0,6113,2017-03-02T12:59:10Z,2017-03-02T12:59:10Z,14096
144,IPS\forums\Topic\Post,180287,193,1,0,9617,2017-03-02T23:37:59Z,2017-03-02T23:37:59Z,9617
145,IPS\forums\Topic\Post,180524,47,1,0,9549,2017-03-05T19:47:07Z,2017-03-05T19:47:07Z,14093
146,IPS\forums\Topic\Post,180876,14,1,0,9620,2017-03-08T19:05:48Z,2017-03-08T19:05:48Z,14098
147,IPS\forums\Topic\Post,181448,14,1,0,9931,2017-03-13T23:41:27Z,2017-03-13T23:41:27Z,14098
148,IPS\forums\Topic\Post,182905,14,1,0,9931,2017-03-24T01:47:51Z,2017-03-24T01:47:51Z,14098
149,IPS\forums\Topic\Post,183790,98,1,1,6260,2017-03-31T11:26:34Z,2017-03-31T12:37:15Z,11691
150,IPS\forums\Topic\Post,183798,98,1,0,6260,2017-03-31T18:44:42Z,2017-03-31T18:44:42Z,11691
151,IPS\forums\Topic\Post,184196,100,1,0,11691,2017-04-02T12:26:25Z,2017-04-02T12:26:25Z,14181
152,IPS\forums\Topic\Post,184577,121,1,0,11691,2017-04-03T09:37:58Z,2017-04-03T09:37:58Z,14173
153,IPS\forums\Topic\Post,184657,121,1,1,11691,2017-04-03T23:12:40Z,2017-04-04T00:47:28Z,14246
154,IPS\forums\Topic\Post,184693,111,1,0,11691,2017-04-04T00:37:33Z,2017-04-04T00:37:33Z,14040
155,IPS\forums\Topic\Post,185194,118,1,1,13964,2017-04-07T02:17:49Z,2017-04-07T04:53:19Z,13964
156,IPS\forums\Topic\Post,188794,121,1,0,14399,2017-05-05T21:14:26Z,2017-05-05T21:14:26Z,14399
157,IPS\forums\Topic\Post,189836,106,1,1,9912,2017-05-14T19:43:17Z,2017-05-14T20:12:25Z,13698
158,IPS\forums\Topic\Post,188720,92,1,0,9617,2017-05-15T01:16:27Z,2017-05-15T01:16:27Z,13995
159,IPS\forums\Topic\Post,190946,243,1,0,9476,2017-05-23T12:12:15Z,2017-05-23T12:12:15Z,14105
160,IPS\forums\Topic\Post,195600,91,1,0,14119,2017-06-28T06:18:09Z,2017-06-28T06:18:09Z,14102
161,IPS\forums\Topic\Post,195586,91,1,0,14119,2017-06-28T06:18:51Z,2017-06-28T06:18:51Z,14382
162,IPS\forums\Topic\Post,197314,121,1,0,11691,2017-07-11T19:57:12Z,2017-07-11T19:57:12Z,13893
163,IPS\forums\Topic\Post,198313,94,1,0,11691,2017-07-20T15:03:36Z,2017-07-20T15:03:36Z,14568
164,IPS\forums\Topic\Post,198557,121,1,0,11691,2017-07-22T22:47:05Z,2017-07-22T22:47:05Z,13893
165,IPS\forums\Topic\Post,198583,121,1,0,11691,2017-07-23T16:06:45Z,2017-07-23T16:06:45Z,13893
166,IPS\forums\Topic\Post,198908,94,1,0,11691,2017-07-24T18:21:14Z,2017-07-24T18:21:14Z,13893
167,IPS\forums\Topic\Post,199076,192,1,0,11691,2017-07-25T19:10:24Z,2017-07-25T19:10:24Z,13839
168,IPS\forums\Topic\Post,197909,108,1,1,11691,2017-07-26T20:27:58Z,2017-07-27T19:06:49Z,14568
169,IPS\forums\Topic\Post,199315,40,1,0,11235,2017-07-28T20:25:15Z,2017-07-28T20:25:15Z,11235
170,IPS\forums\Topic\Post,199377,192,1,0,11691,2017-07-30T09:32:33Z,2017-07-30T09:32:33Z,14116
171,IPS\forums\Topic\Post,199557,192,1,0,11691,2017-08-01T08:18:13Z,2017-08-01T08:18:13Z,14116
172,IPS\forums\Topic\Post,199964,121,2,1,14291,2017-08-08T00:56:12Z,2017-08-08T08:21:03Z,14291
173,IPS\forums\Topic\Post,203663,105,1,1,9792,2017-09-20T20:43:28Z,2017-09-20T21:00:44Z,9792
174,IPS\calendar\Event\Comment,136,251,3,3,14937,2017-09-24T23:55:43Z,2017-10-01T20:14:54Z,14542
175,IPS\forums\Topic\Post,164753,121,1,1,13346,2017-09-28T23:04:48Z,2017-09-29T02:41:28Z,13346
176,IPS\forums\Topic\Post,164771,121,1,1,13346,2017-09-28T23:06:23Z,2017-09-29T02:41:17Z,9920
177,IPS\forums\Topic\Post,164772,121,1,1,13346,2017-09-28T23:07:03Z,2017-09-29T02:41:04Z,13346
178,IPS\calendar\Event\Comment,139,251,1,1,13461,2017-09-30T20:13:58Z,2017-10-01T20:15:47Z,14201
179,IPS\calendar\Event\Comment,155,251,1,1,13461,2017-09-30T20:14:37Z,2017-10-01T20:15:57Z,14542
180,IPS\forums\Topic\Post,204946,121,1,2,11691,2017-10-17T17:17:11Z,2017-10-17T21:49:03Z,14934
181,IPS\forums\Topic\Post,201188,121,1,1,14822,2017-10-21T17:41:22Z,2017-10-21T17:49:18Z,14822
