admin_id,admin_ip_address,admin_time,admin_request
6128,162.158.93.88,2017-11-20T21:28:25Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""5cadcdda3d7d369d5828dc9cbc0551a9"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6113,162.158.91.198,2017-10-30T21:56:08Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""e04bf3cd6019cf8cc63818483459800a"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6111,162.158.91.198,2017-10-30T20:55:14Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""9cb3aa3a3f7bb3ca6dd2421f7875634d"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6112,162.158.91.198,2017-10-30T21:13:01Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""914eca9b0a6e93a279139fb617bb1660"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6110,162.158.91.198,2017-10-30T20:38:29Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""91eb45a9ed4c4ce59763da0c25dc0d8c"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6114,162.158.91.198,2017-11-04T10:10:15Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""a4e6da0da6fdd9a95900127a2eb24106"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6115,162.158.91.198,2017-11-04T18:15:03Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""5b332882670f7f20215e10d8280cd58c"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6118,162.158.93.88,2017-11-07T11:40:12Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""ea6501ab59c32d28288e83d6ce9dfdeb"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6123,162.158.93.88,2017-11-14T18:49:54Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""b989b111e359dc0d3ac991b797b837cc"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6106,162.158.91.198,2017-10-22T10:34:49Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""d72457d516c3806d51d405577797c2e7"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6107,162.158.91.198,2017-10-23T21:52:13Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""d6dde0c4022cda8f3714a91c558e4642"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
6108,162.158.91.198,2017-10-23T22:03:22Z,"{""adsess"":""ek3ium1343v4ipp2n97208c1s1"",""app"":""core"",""module"":""system"",""controller"":""login"",""ref"":"""",""login__standard_submitted"":""1"",""csrfKey"":""145b0bfaa78e54be4e9b978c3b5ab217"",""MAX_FILE_SIZE"":""2097152"",""plupload"":""0fa776c912f4faac0b4f5d8e5a8de888"",""auth"":""\u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u0421\u043b\u0430\u0432\u0440\u043e\u0441"",""password"":""****************z""}"
