action_id,action_status_id,action_reply_id,action_member_id,action_date,action_key,action_status_owner
90,49,17,279,1340758425,reply,161
151,106,0,67,1343365292,new,67
94,80,0,302,1341192540,new,302
93,49,18,7,1341134979,reply,161
95,76,19,279,1341199242,reply,130
96,81,0,302,1341230067,new,302
97,82,0,302,1341230089,new,302
98,83,0,302,1341239652,new,302
99,84,0,302,1341242883,new,302
152,107,0,161,1343404550,new,161
104,89,0,283,1341440250,new,283
105,90,0,67,1341464741,new,67
106,76,20,164,1341482257,reply,130
107,76,21,279,1341484429,reply,130
108,91,0,54,1341567259,new,54
153,106,50,130,1343540314,reply,67
110,76,22,130,1341724679,reply,130
111,91,23,130,1341725031,reply,54
112,76,24,279,1341731822,reply,130
113,91,25,54,1341737769,reply,54
115,94,0,298,1341878302,new,298
116,95,0,67,1341956381,new,67
117,96,0,54,1341996862,new,54
120,99,0,130,1342117920,new,130
121,99,26,130,1342117954,reply,130
122,99,27,130,1342117972,reply,130
123,99,28,130,1342117988,reply,130
124,99,29,279,1342132778,reply,130
125,95,30,130,1342149478,reply,67
126,95,31,279,1342202361,reply,67
127,95,32,67,1342202444,reply,67
129,95,34,279,1342203379,reply,67
130,95,35,67,1342203632,reply,67
131,95,36,279,1342203689,reply,67
132,95,37,67,1342203749,reply,67
135,95,40,67,1342204056,reply,67
134,95,39,279,1342203861,reply,67
136,95,41,279,1342204109,reply,67
137,95,42,67,1342204285,reply,67
138,95,43,279,1342204336,reply,67
139,95,44,67,1342204452,reply,67
140,100,0,130,1342316544,new,130
141,100,45,130,1342321747,reply,130
142,95,46,130,1342321853,reply,67
144,99,48,130,1342748539,reply,130
145,99,49,279,1342748594,reply,130
148,103,0,67,1343074161,new,67
154,106,51,67,1343541607,reply,67
155,108,0,130,1343541776,new,130
156,2,52,67,1343580980,reply,14
157,109,0,67,1343709703,new,67
158,108,53,67,1343749606,reply,130
161,112,0,335,1343931269,new,335
160,111,0,329,1343922188,new,329
162,113,0,246,1343944094,new,246
208,128,93,131,1344307597,reply,131
164,115,0,338,1343964508,new,338
165,115,54,67,1343970810,reply,338
166,112,55,279,1343978139,reply,335
167,116,0,335,1344033676,new,335
168,116,56,279,1344033806,reply,335
169,116,57,335,1344034062,reply,335
170,117,0,335,1344034223,new,335
171,118,0,335,1344034226,new,335
172,118,58,335,1344034248,reply,335
173,116,59,279,1344084274,reply,335
174,108,60,130,1344094638,reply,130
175,113,61,130,1344094710,reply,246
176,109,62,130,1344094735,reply,67
304,170,0,335,1345930310,new,335
178,129,63,7,1344272508,reply,7
179,129,64,336,1344272888,reply,7
180,131,65,67,1344273440,reply,67
181,131,66,336,1344273557,reply,67
182,129,67,7,1344273840,reply,7
183,131,68,67,1344273947,reply,67
184,130,69,7,1344274007,reply,7
185,132,70,130,1344274111,reply,130
186,131,71,67,1344274172,reply,67
187,132,72,130,1344274272,reply,130
188,133,73,336,1344275048,reply,336
189,132,74,336,1344275107,reply,130
190,131,75,336,1344275141,reply,67
191,130,76,336,1344275187,reply,7
192,129,77,336,1344275220,reply,7
193,131,78,67,1344275635,reply,67
194,131,79,336,1344279386,reply,67
195,131,80,67,1344279574,reply,67
196,131,81,67,1344279715,reply,67
197,133,82,7,1344281988,reply,336
198,130,83,7,1344282052,reply,7
199,129,84,7,1344282210,reply,7
200,133,85,7,1344282319,reply,336
201,133,86,336,1344285188,reply,336
202,133,87,336,1344285209,reply,336
203,131,88,336,1344285239,reply,67
204,129,89,336,1344285305,reply,7
205,131,90,67,1344285660,reply,67
206,131,91,336,1344287776,reply,67
207,131,92,67,1344287951,reply,67
209,128,94,336,1344320253,reply,131
210,134,0,67,1344322557,new,67
215,133,99,336,1344333350,reply,336
214,133,98,7,1344332414,reply,336
213,129,97,7,1344331817,reply,7
216,129,100,336,1344333422,reply,7
217,133,101,336,1344333643,reply,336
218,129,102,7,1344334630,reply,7
219,129,103,7,1344334638,reply,7
220,133,104,7,1344334729,reply,336
221,133,105,7,1344335105,reply,336
222,133,106,7,1344335281,reply,336
223,128,107,131,1344346430,reply,131
226,133,109,336,1344381042,reply,336
227,132,110,130,1344382131,reply,130
228,128,111,130,1344382292,reply,131
249,132,129,130,1344718163,reply,130
230,133,112,7,1344384481,reply,336
231,133,113,336,1344395486,reply,336
232,132,114,336,1344406500,reply,130
233,128,115,336,1344406567,reply,131
234,133,116,7,1344426019,reply,336
235,133,117,336,1344452420,reply,336
236,133,118,7,1344538220,reply,336
237,133,119,336,1344540031,reply,336
238,138,120,2,1344540526,reply,2
239,138,121,336,1344540679,reply,2
240,133,122,7,1344551990,reply,336
241,133,123,336,1344559583,reply,336
242,139,124,336,1344566954,reply,49
243,139,125,49,1344567603,reply,49
244,140,126,293,1344569798,reply,293
245,140,127,336,1344570102,reply,293
246,140,128,240,1344602765,reply,293
247,141,0,342,1344707555,new,342
248,142,0,67,1344707980,new,67
250,143,0,130,1344718235,new,130
251,143,130,279,1344719622,reply,130
253,143,131,161,1344746248,reply,130
254,143,132,130,1344760377,reply,130
255,141,133,130,1344760584,reply,342
257,141,135,342,1344899342,reply,342
258,141,136,130,1344915969,reply,342
259,133,137,7,1344955001,reply,336
262,146,0,342,1345090920,new,342
261,89,138,342,1345034023,reply,283
263,147,0,342,1345090925,new,342
896,696,0,130,1356837955,new,130
265,133,140,372,1345163322,reply,336
266,133,141,372,1345224450,reply,336
384,222,171,281,1347501726,reply,130
268,139,142,372,1345251125,reply,49
276,153,0,130,1345349107,new,130
365,223,0,329,1347046052,new,329
271,149,0,329,1345278769,new,329
273,150,146,329,1345346460,reply,329
392,242,0,329,1348060329,new,329
382,235,0,335,1347501036,new,335
284,153,151,372,1345424425,reply,130
286,153,153,372,1345424691,reply,130
287,153,154,130,1345427367,reply,130
288,153,155,130,1345427433,reply,130
460,277,189,342,1350699223,reply,342
291,159,0,161,1345498981,new,161
292,159,156,342,1345514754,reply,161
293,159,157,161,1345586007,reply,161
366,222,166,342,1347068645,reply,130
296,162,0,329,1345606470,new,329
450,292,183,16,1350304072,reply,16
451,293,0,130,1350354786,new,130
303,169,0,505,1345925641,new,505
305,171,0,342,1346033136,new,342
376,222,167,130,1347249758,reply,130
459,268,188,67,1350568470,reply,161
308,170,158,342,1346074096,reply,335
309,174,0,329,1346102508,new,329
310,170,159,72,1346106139,reply,335
311,175,0,130,1346112157,new,130
312,170,160,130,1346112178,reply,335
373,230,0,54,1347176960,new,54
315,178,0,368,1346133218,new,368
449,291,0,335,1350251815,new,335
317,180,0,130,1346175588,new,130
318,181,0,353,1346187019,new,353
319,182,0,353,1346187020,new,353
321,170,161,335,1346231902,reply,335
322,159,162,130,1346296996,reply,161
323,142,163,130,1346297024,reply,67
425,272,0,335,1348724936,new,335
331,191,0,563,1346527571,new,563
465,299,191,342,1351130126,reply,281
333,193,0,329,1346628257,new,329
334,142,164,563,1346636533,reply,67
389,239,0,861,1347808996,new,861
464,299,0,281,1351049543,new,281
386,237,0,129,1347620444,new,129
388,238,0,861,1347808991,new,861
340,199,0,348,1346722064,new,348
343,202,0,329,1346728687,new,329
401,89,174,67,1348186701,reply,283
457,268,186,130,1350516453,reply,161
377,222,168,130,1347249807,reply,130
458,277,187,279,1350516668,reply,342
402,251,0,563,1348239315,new,563
403,252,0,563,1348239323,new,563
359,218,0,335,1346813961,new,335
381,222,170,342,1347360393,reply,130
456,277,185,130,1350516424,reply,342
415,264,0,130,1348455214,new,130
416,265,0,54,1348543626,new,54
419,268,0,161,1348590616,new,161
420,264,175,342,1348616770,reply,130
2630,2384,0,6121,1369964533,new,6121
424,264,176,335,1348724821,reply,130
426,264,177,161,1348938736,reply,130
478,312,0,281,1351553921,new,281
477,311,0,281,1351553914,new,281
431,277,0,342,1348974381,new,342
432,268,178,72,1349127945,reply,161
433,252,179,281,1349131179,reply,563
440,285,0,54,1349333789,new,54
439,284,0,1014,1349326252,new,1014
441,286,0,67,1349542857,new,67
442,286,180,342,1349579152,reply,67
443,286,181,67,1349581878,reply,67
2631,2385,0,6113,1369987010,new,6113
2621,1991,293,6113,1369384376,reply,1772
2647,2397,0,1986,1371337883,new,1986
481,315,0,861,1351607664,new,861
499,333,0,130,1351740696,new,130
507,341,0,281,1351914222,new,281
508,342,0,281,1351914234,new,281
509,342,192,342,1351984493,reply,281
510,343,0,16,1351999884,new,16
511,344,0,16,1351999887,new,16
513,346,0,54,1352312140,new,54
515,344,193,342,1352505932,reply,16
518,315,194,1730,1352527567,reply,861
521,352,195,72,1352561947,reply,72
527,352,196,1772,1352696419,reply,72
528,359,197,13,1352719153,reply,13
531,363,0,1793,1352790243,new,1793
532,364,0,1730,1352800002,new,1730
533,365,0,1730,1352800009,new,1730
536,368,198,72,1352957672,reply,72
557,389,0,1772,1353155295,new,1772
562,389,199,130,1353204999,reply,1772
564,368,200,1772,1353237969,reply,72
565,389,201,1772,1353238249,reply,1772
566,344,202,1772,1353241619,reply,16
569,397,0,1772,1353306175,new,1772
570,397,203,1772,1353306195,reply,1772
652,480,0,130,1353779936,new,130
655,483,0,2,1353786241,new,2
656,434,204,158,1353788971,reply,158
666,491,0,130,1353808844,new,130
661,480,206,1744,1353801155,reply,130
665,490,0,2054,1353807187,new,2054
695,521,207,7,1353937471,reply,7
740,566,0,2054,1354047954,new,2054
745,571,0,13,1354061263,new,13
756,491,208,2075,1354093602,reply,130
779,604,0,1772,1354291980,new,1772
780,604,209,298,1354295080,reply,1772
838,647,223,283,1355443881,reply,2205
837,647,222,2099,1355440891,reply,2205
794,604,213,1772,1354387111,reply,1772
798,618,0,1772,1354420023,new,1772
804,344,214,2099,1354470731,reply,16
807,626,0,14,1354489017,new,14
808,627,0,4,1354491629,new,4
809,627,215,4,1354491648,reply,4
816,634,0,353,1354673103,new,353
817,635,0,353,1354673104,new,353
821,342,216,2099,1354781785,reply,281
822,277,217,2075,1354871166,reply,342
823,626,218,2075,1354871235,reply,14
824,627,219,2075,1354871259,reply,4
825,639,0,2075,1354871306,new,2075
835,647,0,2205,1355347287,new,2205
834,618,221,2099,1355245832,reply,1772
833,646,0,67,1355008430,new,67
831,277,220,342,1354979064,reply,342
864,268,228,2099,1355951017,reply,161
839,649,0,283,1355443943,new,283
840,650,0,2205,1355484350,new,2205
841,651,0,1772,1355496776,new,1772
850,646,224,16,1355570376,reply,67
851,661,0,16,1355570437,new,16
855,639,226,2099,1355693882,reply,2075
863,661,227,342,1355885135,reply,16
865,672,0,281,1355973891,new,281
866,673,0,281,1355973893,new,281
867,674,0,2220,1356006610,new,2220
875,682,0,130,1356223353,new,130
876,661,229,130,1356223437,reply,16
881,674,230,2099,1356306754,reply,2220
883,688,231,2,1356492103,reply,2
885,688,233,1772,1356495160,reply,2
886,689,0,1558,1356571029,new,1558
893,694,0,161,1356661821,new,161
899,699,0,2319,1356916077,new,2319
900,700,0,35,1356934945,new,35
902,701,0,1793,1356936881,new,1793
903,702,0,1793,1356936887,new,1793
913,711,0,342,1357163867,new,342
914,674,239,2220,1357171946,reply,2220
915,712,0,2220,1357171984,new,2220
916,696,240,161,1357185954,reply,130
919,714,241,2243,1357343692,reply,158
920,700,242,161,1357351587,reply,35
923,714,244,158,1357369650,reply,158
925,717,0,2288,1357373142,new,2288
929,717,247,279,1357421377,reply,2288
932,689,248,16,1357520357,reply,1558
934,639,249,1558,1357558758,reply,2075
935,694,250,1558,1357558881,reply,161
964,751,0,2099,1357742501,new,2099
949,712,251,2099,1357671245,reply,2220
968,618,252,1986,1357837376,reply,1772
970,751,253,1109,1357854120,reply,2099
973,758,0,130,1357872414,new,130
2624,2380,0,1109,1369699040,new,1109
981,764,0,342,1358032397,new,342
983,766,0,2075,1358144214,new,2075
986,769,0,16,1358236105,new,16
991,774,0,2336,1358417910,new,2336
996,779,0,342,1358703492,new,342
997,780,0,2351,1358715000,new,2351
1010,793,0,130,1358835871,new,130
1011,793,256,130,1358835882,reply,130
1015,797,0,288,1358951250,new,288
1017,766,257,288,1358958313,reply,2075
1018,712,258,2220,1358962568,reply,2220
1024,801,0,2678,1359050613,new,2678
2615,2271,287,6113,1369171844,reply,16
2611,2372,285,6096,1367999494,reply,6096
2612,2373,0,267,1368041625,new,267
1036,812,0,2351,1359214962,new,2351
1037,813,0,2351,1359214974,new,2351
1039,793,264,130,1359258982,reply,130
1054,769,265,1558,1359658381,reply,16
1075,849,0,2351,1360000297,new,2351
1076,850,0,2351,1360000304,new,2351
1077,851,0,2351,1360000695,new,2351
1078,852,0,2351,1360000719,new,2351
1079,853,0,2351,1360000725,new,2351
1080,854,0,2351,1360000746,new,2351
1081,855,0,288,1360021497,new,288
1082,856,0,2871,1360070937,new,2871
1083,856,266,2871,1360071241,reply,2871
1084,857,0,2336,1360084825,new,2336
1085,858,0,2871,1360113340,new,2871
1086,859,0,2871,1360113342,new,2871
1087,860,0,2288,1360125952,new,2288
1097,646,267,857,1360304706,reply,67
1111,883,0,2871,1360538669,new,2871
1112,884,0,2871,1360538674,new,2871
1113,885,0,2871,1360539010,new,2871
1114,886,0,2871,1360539015,new,2871
1115,887,0,16,1360643640,new,16
1117,887,269,342,1360686027,reply,16
1118,887,270,16,1360709731,reply,16
1119,887,271,342,1360783027,reply,16
1120,887,272,342,1360783175,reply,16
1123,887,273,16,1360842877,reply,16
1124,887,274,342,1360853541,reply,16
1131,890,275,288,1360970387,reply,288
1145,571,276,16,1361215971,reply,13
1159,923,0,56,1361349445,new,56
1171,934,0,16,1361736431,new,16
1187,950,0,2351,1362095775,new,2351
1188,951,0,2351,1362095783,new,2351
1200,963,0,67,1362274785,new,67
2879,2570,382,7846,1407176414,reply,7846
1202,966,278,35,1362279831,reply,3721
1203,966,279,35,1362279839,reply,3721
1204,966,280,3721,1362280277,reply,3721
1269,1031,0,2351,1362759594,new,2351
1308,1070,0,130,1363141588,new,130
1340,1102,0,2351,1363561212,new,2351
1341,1103,0,2351,1363561350,new,2351
1454,1216,0,2336,1364028105,new,2336
2779,2498,346,6322,1387769819,reply,960
1604,1366,0,67,1364408226,new,67
1605,712,281,67,1364409727,reply,2220
1736,1497,0,2351,1364904774,new,2351
1737,1498,0,2351,1364904783,new,2351
1804,1565,0,342,1365311653,new,342
1949,1710,0,2351,1365388492,new,2351
2224,1985,0,5359,1365729954,new,5359
2230,1991,0,1772,1365786024,new,1772
2245,2007,0,5590,1366076521,new,5590
2246,2007,282,5590,1366076633,reply,5590
2251,2012,0,2075,1366113631,new,2075
2669,2412,0,130,1373770667,new,130
2668,2411,0,1066,1373723955,new,1066
2667,2410,0,1066,1373723948,new,1066
2666,2396,310,6113,1373515511,reply,1066
2664,2408,0,54,1373202134,new,54
2665,2409,0,130,1373346073,new,130
2663,2402,309,2220,1372514839,reply,6144
2662,2407,0,2220,1372514782,new,2220
2661,712,308,2220,1372514660,reply,2220
2681,2422,0,6190,1375821673,new,6190
2657,2402,307,288,1372025003,reply,6144
2656,855,306,6144,1372020627,reply,288
2655,2388,305,288,1372020518,reply,67
2654,2402,0,6144,1372007687,new,6144
2653,2401,0,6144,1371969355,new,6144
2652,2400,0,6144,1371969343,new,6144
2651,2396,304,6144,1371945208,reply,1066
2650,2399,0,2750,1371931761,new,2750
2649,2398,0,6144,1371668906,new,6144
2648,2393,303,158,1371538736,reply,158
2633,571,296,6117,1370542712,reply,13
2635,2384,297,1730,1370664758,reply,6121
2636,2388,0,67,1370671897,new,67
2638,2385,298,6117,1370727075,reply,6113
2639,2390,0,16,1371024884,new,16
2644,2395,0,1066,1371315288,new,1066
2645,2396,0,1066,1371315294,new,1066
2646,571,302,1986,1371337302,reply,13
2533,2271,283,16,1366637449,reply,16
2564,2325,0,267,1366849469,new,267
2570,2331,0,267,1366939816,new,267
2670,855,311,1986,1374596006,reply,288
2695,2426,323,7,1377470039,reply,6217
2672,2415,0,16,1374617586,new,16
2673,2271,312,16,1374618339,reply,16
2674,2416,0,6176,1374793283,new,6176
2675,2417,0,288,1375139394,new,288
2676,2418,0,16,1375283207,new,16
2677,2419,0,1066,1375376501,new,1066
2678,2420,313,6122,1375381462,reply,6122
2680,2413,314,2075,1375527284,reply,2075
2682,2423,0,130,1375928761,new,130
2683,2392,315,5343,1376252610,reply,5343
2684,2418,316,6113,1376885110,reply,16
2685,2271,317,6113,1376885171,reply,16
2686,2418,318,16,1376955483,reply,16
2687,2418,319,5779,1376958950,reply,16
2688,2418,320,6117,1377035475,reply,16
2689,2424,0,6113,1377235731,new,6113
2701,2433,0,505,1377666912,new,505
2692,2426,321,6217,1377449051,reply,6217
2693,2428,0,16,1377465687,new,16
2694,2424,322,6113,1377468938,reply,6113
2696,2428,324,1558,1377550366,reply,16
2742,2465,0,6310,1383624721,new,6310
2700,2432,0,1066,1377616509,new,1066
2702,2393,326,6115,1377900811,reply,158
2703,2435,327,821,1377922568,reply,821
2704,2435,328,6115,1378001432,reply,821
2705,2436,0,329,1378006721,new,329
2706,2437,0,505,1378073026,new,505
2709,2440,329,6096,1378670207,reply,6096
2710,2440,330,6218,1378673659,reply,6096
2711,2441,331,6096,1378739708,reply,6096
2712,2441,332,6115,1378749441,reply,6096
2713,2442,0,2220,1378773511,new,2220
2715,2444,0,6246,1378985059,new,6246
2717,2444,333,132,1378985288,reply,6246
2718,2446,0,281,1379027019,new,281
2719,2446,334,16,1379044394,reply,281
2789,2505,350,4,1389630634,reply,353
2722,2449,0,6217,1379367302,new,6217
2723,2422,336,130,1379875727,reply,6190
2725,2450,0,6120,1379968124,new,6120
2788,2505,0,353,1389620962,new,353
2729,2456,0,6134,1380911871,new,6134
2730,2435,338,821,1381024564,reply,821
2731,2457,0,67,1381186495,new,67
2732,1216,339,274,1381190838,reply,2336
2733,2446,340,281,1381371401,reply,281
2734,2458,0,54,1381396796,new,54
2781,2500,0,2220,1388113633,new,2220
2737,2461,0,16,1381505120,new,16
2739,2462,0,2820,1382337225,new,2820
2741,2464,0,16,1383412821,new,16
2764,2486,0,887,1385428838,new,887
2763,2465,343,6254,1385348179,reply,6310
2773,2495,0,6554,1387251015,new,6554
2776,2495,344,6554,1387308422,reply,6554
2777,2498,0,960,1387517777,new,960
2778,2498,345,2220,1387525995,reply,960
2785,2500,349,6322,1388819546,reply,2220
2787,2503,0,361,1389355268,new,361
2793,2464,351,101,1389737241,reply,16
2801,2500,356,6322,1390643982,reply,2220
2799,2512,0,7370,1389980815,new,7370
2800,2500,355,2220,1390360059,reply,2220
2802,2500,357,2220,1390670698,reply,2220
2803,2505,358,353,1390929671,reply,353
2804,2514,0,353,1390929706,new,353
2805,2515,0,7427,1391014552,new,7427
2806,2516,0,7428,1391096702,new,7428
2807,2516,359,7428,1391104413,reply,7428
2808,2517,0,353,1391460763,new,353
2809,2518,0,353,1391962508,new,353
2811,2519,0,335,1392995813,new,335
2812,2519,361,6168,1393321942,reply,335
2814,2520,0,505,1393720370,new,505
2817,2523,0,2750,1394416139,new,2750
2818,2397,363,1558,1394425886,reply,1986
2819,2524,0,2750,1395026406,new,2750
2823,2528,364,168,1395685446,reply,168
2824,2529,0,7616,1396046474,new,7616
2825,2530,0,7616,1396292993,new,7616
2826,2531,0,7616,1396592463,new,7616
2829,2534,0,353,1397672223,new,353
2830,2535,0,7508,1397936382,new,7508
2831,2536,0,6306,1397936910,new,6306
2837,2542,0,6113,1398886323,new,6113
2838,2543,0,6306,1398894278,new,6306
2840,2544,0,1558,1399827742,new,1558
2841,2544,367,2220,1399866435,reply,1558
2842,2544,368,1558,1399878517,reply,1558
2844,2546,0,335,1400562355,new,335
2845,2547,0,2220,1400643005,new,2220
2874,2566,0,7846,1406562784,new,7846
2850,2551,0,1558,1401883136,new,1558
2854,2555,0,7776,1402525116,new,7776
2855,2534,370,2306,1403389897,reply,353
2856,2551,371,2306,1403390444,reply,1558
2857,2556,0,2306,1403390763,new,2306
2858,2534,372,353,1403390848,reply,353
2859,2534,373,2306,1403391104,reply,353
2860,2551,374,1558,1403648068,reply,1558
2862,2558,0,7851,1403993289,new,7851
2864,2555,375,1558,1403993852,reply,7776
2865,2558,376,7846,1404004594,reply,7851
2866,2561,0,335,1404332808,new,335
2867,2562,0,7636,1404418267,new,7636
2894,2566,388,1986,1408991995,reply,7846
2873,2564,0,7636,1405948532,new,7636
2889,2588,0,7871,1408591859,new,7871
2900,2595,0,1558,1410199925,new,1558
2901,2595,389,7719,1410218267,reply,1558
2935,2620,0,3491,1415090783,new,3491
2903,2597,0,7958,1410435849,new,7958
2904,2598,0,7958,1410460920,new,7958
2906,2595,390,6168,1410550670,reply,1558
2907,2595,391,1558,1410562912,reply,1558
2908,2600,0,7962,1410711861,new,7962
2947,2631,0,1558,1417604773,new,1558
2910,2600,392,1558,1410718366,reply,7962
2911,2602,0,7958,1410719385,new,7958
2913,2547,393,7958,1410758476,reply,2220
2915,2604,0,7958,1410853188,new,7958
2916,2605,0,7958,1410949974,new,7958
2917,2606,0,7958,1410959874,new,7958
2919,2608,0,7958,1411018467,new,7958
2922,2608,397,6113,1411026428,reply,7958
2921,2602,396,6113,1411026138,reply,7958
2923,2609,0,6113,1411026513,new,6113
2924,2608,398,7958,1411044250,reply,7958
2926,2612,0,7350,1411227331,new,7350
2933,2618,400,1558,1413835842,reply,8064
2930,2616,399,2,1412192529,reply,2
2932,2618,0,8064,1413545865,new,8064
2936,2621,0,8125,1415157408,new,8125
2937,2622,0,8119,1415282683,new,8119
2938,2623,0,8151,1416208070,new,8151
3376,2932,0,9943,1457908656,new,9943
2945,2513,402,8184,1416855795,reply,1
3231,2848,513,7424,1443762586,reply,7816
2955,2638,404,8264,1419050377,reply,8264
2956,2639,0,281,1419220778,new,281
3230,2848,512,7816,1443762460,reply,7816
2960,2642,0,1558,1419783887,new,1558
2972,2655,0,7719,1421001044,new,7719
2965,2647,0,8698,1420250635,new,8698
2997,2662,412,2075,1427166247,reply,1558
2969,2651,0,8982,1420781108,new,8982
2970,2652,0,8971,1420836816,new,8971
2971,2653,0,8971,1420853100,new,8971
2975,2658,0,958,1421861713,new,958
2976,2659,0,9148,1422491722,new,9148
2977,2660,0,9150,1422602696,new,9150
2978,2661,0,9150,1422667985,new,9150
2979,2662,0,1558,1423269948,new,1558
2980,2663,0,9150,1423306368,new,9150
2981,2662,406,281,1423513738,reply,1558
2982,2662,407,1558,1423582213,reply,1558
2983,2664,0,7622,1423816131,new,7622
2984,2665,0,9112,1424045059,new,9112
2985,2666,408,7643,1424150348,reply,7643
2986,2505,409,7757,1424271645,reply,353
2987,2667,0,8059,1424410026,new,8059
2989,2669,0,6306,1424892724,new,6306
2990,2670,0,9253,1425244367,new,9253
2991,2672,0,9112,1426316507,new,9112
2992,2673,0,9267,1426784100,new,9267
2993,2674,0,9267,1426784117,new,9267
2994,2675,410,7816,1426804014,reply,7816
2995,2675,411,7757,1426873969,reply,7816
2996,2676,0,8232,1427088001,new,8232
2998,2662,413,1558,1427215087,reply,1558
3000,2678,0,9240,1427718331,new,9240
3002,2680,0,8650,1428263857,new,8650
3067,2658,445,1558,1432754787,reply,958
3004,2662,414,9144,1428430514,reply,1558
3005,2682,0,6306,1428432746,new,6306
3006,2662,415,1558,1428434510,reply,1558
3007,2662,416,9144,1428435444,reply,1558
3008,2662,417,1558,1428466117,reply,1558
3011,2685,0,9112,1428767273,new,9112
3014,2688,0,8232,1429065076,new,8232
3019,2693,0,9393,1429746336,new,9393
3021,2697,0,7962,1430091458,new,7962
3229,2848,511,7424,1443762397,reply,7816
3023,2698,0,8149,1430344589,new,8149
3024,2609,419,7636,1430386934,reply,6113
3025,2697,420,7636,1430683831,reply,7962
3026,2699,0,9112,1430807038,new,9112
3027,2700,0,9112,1430807122,new,9112
3031,2694,421,6149,1430862868,reply,6149
3030,2703,0,9458,1430808860,new,9458
3032,2609,422,6113,1430881362,reply,6113
3359,2916,0,7424,1453792178,new,7424
3034,2694,423,6165,1430983839,reply,6149
3035,2694,424,6149,1430994477,reply,6149
3036,2694,425,6165,1431041252,reply,6149
3037,2694,426,6149,1431088098,reply,6149
3038,2705,0,9463,1431224422,new,9463
3040,2694,427,6165,1431300162,reply,6149
3041,2694,428,6165,1431300178,reply,6149
3043,2694,429,6149,1431379171,reply,6149
3045,2707,430,6113,1431528967,reply,9186
3047,2707,432,6165,1431682491,reply,9186
3048,2694,433,6165,1431682571,reply,6149
3049,2694,434,6165,1431682615,reply,6149
3050,2710,0,8232,1431704659,new,8232
3051,2707,435,9186,1432029561,reply,9186
3053,2698,437,2170,1432051589,reply,8149
3054,2714,438,6165,1432281206,reply,9186
3055,2715,439,281,1432301266,reply,281
3056,2715,440,281,1432301577,reply,281
3058,2695,441,7543,1432364172,reply,7543
3059,2719,0,9253,1432402788,new,9253
3060,2720,442,9497,1432411126,reply,9497
3083,2736,456,9149,1434155377,reply,9149
3228,2848,0,7816,1443762304,new,7816
3176,2807,0,9548,1442100695,new,9548
3068,2726,446,9152,1432884404,reply,9152
3069,2727,0,9388,1432982113,new,9388
3072,2730,0,9503,1433061285,new,9503
3071,2729,0,9497,1433000912,new,9497
3073,2731,447,9491,1433126163,reply,9491
3074,2726,448,7757,1433437881,reply,9152
3075,2731,449,7757,1433437905,reply,9491
3076,2733,450,9174,1433498002,reply,9174
3077,2734,451,9504,1433556585,reply,9504
3078,2726,452,9152,1433816563,reply,9152
3079,2732,453,8346,1433859199,reply,8346
3081,2734,454,7757,1434040953,reply,9504
3082,2726,455,7757,1434040978,reply,9152
3084,2737,0,9503,1434670314,new,9503
3088,2739,0,9304,1435193748,new,9304
3089,2740,0,9503,1435306830,new,9503
3090,2741,0,9531,1435415631,new,9531
