vid,ip_address,vote_date,tid,member_id,forum_id,member_choices,poll
87,70.171.16.52,1331052287,682,84,99,"{""1"":[""5""]}",4
88,88.112.42.148,1331052462,682,25,99,"{""1"":[""2""]}",4
89,112.205.76.27,1331052515,682,72,99,"{""1"":[""2""]}",4
90,109.78.210.16,1331054030,682,11,99,"{""1"":[""2""]}",4
91,67.10.202.150,1331054429,682,130,99,"{""1"":[""2""]}",4
92,91.153.61.213,1331055840,682,132,99,"{""1"":[""2""]}",4
93,77.38.156.66,1331057030,682,125,99,"{""1"":[""2""]}",4
94,134.88.170.184,1331057066,682,164,99,"{""1"":[""2""]}",4
95,190.47.93.211,1331059420,682,44,99,"{""1"":[""2""]}",4
96,69.245.181.16,1331060601,682,35,99,"{""1"":[""2""]}",4
97,46.237.16.109,1331060893,682,53,99,"{""1"":[""2""]}",4
98,88.147.21.69,1331062161,682,9,99,"{""1"":[""4""]}",4
99,95.148.199.250,1331064234,682,0,99,"{""1"":[""4""]}",4
100,71.255.83.251,1331065022,682,0,99,"{""1"":[""2""]}",4
101,186.57.34.69,1331066754,682,0,99,"{""1"":[""2""]}",4
102,31.220.211.86,1331066915,682,7,99,"{""1"":[""2""]}",4
103,188.32.178.123,1331066979,682,1,99,"{""1"":[""2""]}",4
104,75.56.53.112,1331067022,682,54,99,"{""1"":[""2""]}",4
105,71.185.163.249,1331070261,682,49,99,"{""1"":[""2""]}",4
106,190.196.51.132,1331070798,682,0,99,"{""1"":[""4""]}",4
107,86.24.69.116,1331074333,682,56,99,"{""1"":[""2""]}",4
108,24.229.117.252,1331078693,682,140,99,"{""1"":[""3""]}",4
109,64.189.76.149,1331081787,682,143,99,"{""1"":[""2""]}",4
110,192.101.250.250,1331090540,682,68,99,"{""1"":[""2""]}",4
111,68.204.108.97,1331098863,682,142,99,"{""1"":[""2""]}",4
112,99.181.227.0,1331099184,682,0,99,"{""1"":[""3""]}",4
113,86.4.47.94,1331106596,682,4,99,"{""1"":[""2""]}",4
114,84.24.97.46,1331119084,682,91,99,"{""1"":[""3""]}",4
115,99.22.216.224,1331136100,682,61,99,"{""1"":[""2""]}",4
116,118.208.4.27,1331210569,599,65,13,"{""1"":[""2""]}",3
117,151.40.142.22,1331466134,682,19,99,"{""1"":[""2""]}",4
119,92.251.65.142,1331815778,682,101,99,"{""1"":[""2""]}",4
120,196.210.139.197,1331821260,682,158,99,"{""1"":[""2""]}",4
121,77.249.103.246,1331831637,682,13,99,"{""1"":[""2""]}",4
122,186.22.83.236,1331835096,682,146,99,"{""1"":[""3""]}",4
123,24.58.173.101,1332251877,682,0,99,"{""1"":[""2""]}",4
152,167.21.254.11,1335901524,682,0,99,"{""1"":[""2""]}",4
153,71.229.236.199,1336699921,939,0,99,"{""1"":[""1""]}",6
154,65.92.177.211,1336700351,939,67,99,"{""1"":[""1""]}",6
155,31.220.211.103,1336700736,939,7,99,"{""1"":[""1""]}",6
156,24.92.121.41,1336701766,939,130,99,"{""1"":[""2""]}",6
157,173.55.230.190,1336703637,939,29,99,"{""1"":[""1""]}",6
158,173.62.203.80,1336703696,939,49,99,"{""1"":[""1""]}",6
159,190.160.53.204,1336705057,939,204,99,"{""1"":[""2""]}",6
160,94.66.206.17,1336705911,939,0,99,"{""1"":[""2""]}",6
161,152.33.55.78,1336707992,939,16,99,"{""1"":[""2""]}",6
162,68.10.22.61,1336709213,939,3,99,"{""1"":[""2""]}",6
163,112.205.76.27,1336715784,939,72,99,"{""1"":[""2""]}",6
164,118.208.14.192,1336725107,939,65,99,"{""1"":[""2""]}",6
165,81.198.222.106,1336727877,939,0,99,"{""1"":[""2""]}",6
166,89.99.124.88,1336729296,939,13,99,"{""1"":[""2""]}",6
167,92.251.65.142,1336735779,939,101,99,"{""1"":[""2""]}",6
168,77.37.146.69,1336741499,939,1,99,"{""1"":[""2""]}",6
169,86.4.47.94,1336746396,939,4,99,"{""1"":[""2""]}",6
170,77.38.156.66,1336747107,939,125,99,"{""1"":[""1""]}",6
171,195.194.57.44,1336762271,939,68,99,"{""1"":[""2""]}",6
172,88.147.31.116,1336765305,939,9,99,"{""1"":[""2""]}",6
173,81.155.151.202,1336768314,939,28,99,"{""1"":[""2""]}",6
174,86.24.69.116,1336777288,939,56,99,"{""1"":[""2""]}",6
175,186.22.83.236,1336778180,939,146,99,"{""1"":[""1""]}",6
176,71.114.53.245,1336826755,939,14,99,"{""1"":[""2""]}",6
177,95.109.100.58,1336852742,939,129,99,"{""1"":[""2""]}",6
178,69.245.181.16,1336912370,939,35,99,"{""1"":[""1""]}",6
179,196.210.138.150,1336948596,939,158,99,"{""1"":[""1""]}",6
180,68.109.227.92,1336950781,939,164,99,"{""1"":[""2""]}",6
181,101.172.213.70,1336985455,939,23,99,"{""1"":[""2""]}",6
182,98.199.234.20,1337458397,939,8,99,"{""1"":[""2""]}",6
184,188.176.157.251,1337629610,939,0,99,"{""1"":[""1""]}",6
185,81.83.208.249,1337860900,939,0,99,"{""1"":[""1""]}",6
212,109.76.149.164,1339055592,939,11,99,"{""1"":[""2""]}",6
217,76.23.38.38,1340068296,939,271,99,"{""1"":[""1""]}",6
235,204.8.156.142,1341122767,939,279,99,"{""1"":[""1""]}",6
236,31.172.30.2,1341135363,939,288,99,"{""1"":[""2""]}",6
238,174.52.5.35,1341173933,939,293,99,"{""1"":[""1""]}",6
239,93.74.120.105,1341237953,939,304,99,"{""1"":[""1""]}",6
242,173.75.42.123,1341363408,939,298,99,"{""1"":[""1""]}",6
268,173.254.216.68,1345405795,599,279,13,"{""1"":[""1""]}",3
269,173.10.74.213,1345413969,599,364,13,"{""1"":[""2""]}",3
295,201.231.128.155,1346905948,1422,287,24,"{""1"":[""4""]}",11
296,50.39.255.21,1346909414,1422,0,24,"{""1"":[""3""]}",11
297,87.115.29.133,1346918572,1422,7,24,"{""1"":[""4""]}",11
358,112.205.31.193,1349179086,1422,72,24,"{""1"":[""4""]}",11
299,146.135.1.3,1346922945,1422,335,24,"{""1"":[""1""]}",11
300,77.38.156.66,1346938560,1422,125,24,"{""1"":[""4""]}",11
301,174.96.38.22,1346943986,1422,329,24,"{""1"":[""4""]}",11
302,98.159.120.30,1346945385,1422,54,24,"{""1"":[""3""]}",11
303,98.167.139.109,1346948107,1422,266,24,"{""1"":[""4""]}",11
304,173.245.64.30,1346948223,1422,0,24,"{""1"":[""2""]}",11
305,94.103.203.197,1346957530,1422,0,24,"{""1"":[""4""]}",11
306,74.32.189.175,1347043365,1422,274,24,"{""1"":[""2""]}",11
307,132.241.122.157,1347064414,1422,368,24,"{""1"":[""2""]}",11
383,24.2.187.46,1355761193,1422,991,24,"{""1"":[""3""]}",11
378,85.151.35.185,1353642161,599,0,13,"{""1"":[""1""]}",3
381,24.58.173.101,1355517473,1422,0,24,"{""1"":[""4""]}",11
714,97.85.143.240,1400585874,1422,0,24,"{""1"":[""3""]}",11
818,62.165.193.133,1410780818,4217,0,99,"{""1"":[""1""]}",29
713,97.85.143.240,1400553209,3136,0,45,"{""1"":[""1""]}",23
437,69.122.255.230,1369617608,1422,6103,24,"{""1"":[""2""]}",11
480,24.92.125.209,1376097747,2784,130,99,"{""1"":[""1""]}",18
479,75.82.93.158,1376097532,2784,821,99,"{""1"":[""2""]}",18
478,68.199.109.203,1376096790,2784,6168,99,"{""1"":[""1""]}",18
477,173.59.61.164,1376096773,2784,49,99,"{""1"":[""1""]}",18
476,86.46.45.37,1376096637,2784,6201,99,"{""1"":[""3""]}",18
481,107.4.186.92,1376101585,2784,6122,99,"{""1"":[""1""]}",18
482,67.83.215.62,1376102385,2784,6120,99,"{""1"":[""1""]}",18
483,99.255.163.15,1376104055,2784,2820,99,"{""1"":[""1""]}",18
484,75.56.49.92,1376107476,2784,54,99,"{""1"":[""1""]}",18
485,24.126.230.39,1376115149,2784,0,99,"{""1"":[""1""]}",18
487,88.208.236.144,1376123535,2784,6134,99,"{""1"":[""1""]}",18
488,96.19.109.99,1376124433,2784,293,99,"{""1"":[""1""]}",18
489,86.4.47.94,1376125631,2784,4,99,"{""1"":[""1""]}",18
490,85.166.62.56,1376126355,2784,6117,99,"{""1"":[""1""]}",18
491,183.171.179.28,1376130915,2784,1772,99,"{""1"":[""2""]}",18
492,84.230.129.38,1376142848,2784,132,99,"{""1"":[""1""]}",18
494,71.186.252.117,1376157640,2784,6113,99,"{""1"":[""1""]}",18
497,83.233.70.12,1376181302,2784,1558,99,"{""1"":[""1""]}",18
498,80.252.48.236,1376225026,2784,495,99,"{""1"":[""1""]}",18
499,24.38.202.47,1376235654,2784,0,99,"{""1"":[""1""]}",18
501,85.166.62.56,1376430480,599,6117,13,"{""1"":[""1""]}",3
504,99.89.56.211,1376947914,2830,5779,78,"{""1"":[""1""]}",20
505,47.55.59.95,1376948871,2830,6155,78,"{""1"":[""1""]}",20
506,67.83.215.62,1376952288,2830,6120,78,"{""1"":[""2""]}",20
507,5.81.177.64,1376952600,2830,2082,78,"{""1"":[""2""]}",20
508,24.92.125.209,1376957553,2830,130,78,"{""1"":[""1"",""2""]}",20
509,76.121.89.171,1376960389,2830,3,78,"{""1"":[""1"",""2""]}",20
510,85.76.17.209,1376963161,2830,25,78,"{""1"":[""2""]}",20
511,183.171.177.95,1376966942,2830,1772,78,"{""1"":[""1""]}",20
512,107.4.186.92,1376972840,2830,6122,78,"{""1"":[""1""]}",20
514,85.166.62.56,1376976706,2830,6117,78,"{""1"":[""1""]}",20
515,88.193.118.212,1376983345,2830,1209,78,"{""1"":[""1""]}",20
516,81.228.214.125,1376991223,2830,1986,78,"{""1"":[""2""]}",20
517,85.151.35.185,1377003712,2830,0,78,"{""1"":[""2""]}",20
518,87.114.31.227,1377009141,2830,7,78,"{""1"":[""1""]}",20
519,83.233.70.12,1377013719,2830,1558,78,"{""1"":[""1""]}",20
520,77.38.156.66,1377017909,2830,125,78,"{""1"":[""1""]}",20
521,184.189.88.11,1377026349,2830,0,78,"{""1"":[""2""]}",20
523,98.195.255.57,1377049965,2830,3143,78,"{""1"":[""1"",""2""]}",20
524,67.174.56.82,1377081579,2830,2075,78,"{""1"":[""2""]}",20
526,27.110.158.66,1377277461,2830,72,78,"{""1"":[""1""]}",20
527,96.44.189.100,1377289933,2830,288,78,"{""1"":[""2""]}",20
528,200.232.238.62,1377295541,2830,6115,78,"{""1"":[""1""]}",20
530,190.44.160.121,1377519561,2784,44,99,"{""1"":[""1""]}",18
746,79.78.125.238,1401236327,1007,0,5,"{""1"":[""2""]}",27
547,50.151.185.150,1382448507,3136,35,45,"{""1"":[""1""]}",23
548,199.111.192.174,1382448914,3136,6122,45,"{""1"":[""2""]}",23
549,98.176.0.195,1382448959,3136,2037,45,"{""1"":[""5""]}",23
550,69.244.118.189,1382451011,3136,2,45,"{""1"":[""2""]}",23
552,50.147.10.107,1382453755,3136,168,45,"{""1"":[""3""]}",23
553,67.83.215.62,1382457195,3136,6120,45,"{""1"":[""2""]}",23
554,98.204.5.133,1382457789,3136,2392,45,"{""1"":[""2""]}",23
555,47.55.59.95,1382459790,3136,6155,45,"{""1"":[""2""]}",23
556,24.92.125.209,1382459951,3136,130,45,"{""1"":[""5""]}",23
557,69.117.96.250,1382461643,3136,6269,45,"{""1"":[""2""]}",23
558,71.188.71.24,1382462435,3136,0,45,"{""1"":[""2""]}",23
559,96.19.109.99,1382464994,3136,293,45,"{""1"":[""3""]}",23
560,71.231.106.106,1382467592,3136,6217,45,"{""1"":[""4""]}",23
561,207.136.232.181,1382469982,3136,991,45,"{""1"":[""2""]}",23
562,184.9.99.210,1382470173,3136,274,45,"{""1"":[""1""]}",23
563,166.137.12.84,1382470465,3136,0,45,"{""1"":[""3""]}",23
565,68.109.227.92,1382471673,3136,164,45,"{""1"":[""2""]}",23
566,72.133.234.43,1382472809,3136,131,45,"{""1"":[""1""]}",23
567,68.80.249.225,1382473175,3136,49,45,"{""1"":[""2""]}",23
568,74.161.17.162,1382475475,3136,0,45,"{""1"":[""3""]}",23
569,70.199.137.132,1382475683,3136,3,45,"{""1"":[""4""]}",23
570,98.252.118.149,1382476853,3136,6207,45,"{""1"":[""5""]}",23
571,184.6.104.224,1382477811,3136,281,45,"{""1"":[""1""]}",23
572,208.54.86.149,1382478727,3136,6144,45,"{""1"":[""1""]}",23
573,74.110.33.123,1382482795,3136,6113,45,"{""1"":[""2""]}",23
574,24.172.27.110,1382483547,3136,333,45,"{""1"":[""3""]}",23
575,98.234.240.158,1382487915,3136,6274,45,"{""1"":[""5""]}",23
576,68.199.109.203,1382489117,3136,6168,45,"{""1"":[""2""]}",23
577,76.173.33.170,1382497850,3136,0,45,"{""1"":[""5""]}",23
578,67.61.9.215,1382527033,3136,50,45,"{""1"":[""3""]}",23
595,107.15.41.197,1390831192,3136,3721,45,"{""1"":[""3""]}",23
581,216.106.25.24,1383496630,3136,0,45,"{""1"":[""1""]}",23
582,108.220.126.125,1383874869,3136,6208,45,"{""1"":[""3""]}",23
712,70.65.220.64,1400513437,3958,505,84,"{""1"":[""1""]}",26
584,83.233.70.12,1384031988,1422,1558,24,"{""1"":[""2""]}",11
585,134.88.151.30,1384670295,370,6254,88,"{""1"":[""1""]}",1
586,134.88.151.30,1385102205,599,6254,13,"{""1"":[""2""]}",3
587,199.187.249.80,1385246702,3136,6359,45,"{""1"":[""3""]}",23
588,67.213.218.72,1386908064,3136,0,45,"{""1"":[""2""]}",23
589,143.95.37.70,1387294840,3136,2075,45,"{""1"":[""4""]}",23
590,75.50.99.61,1387581706,3136,0,45,"{""1"":[""5""]}",23
745,46.230.185.88,1400996350,1007,0,5,"{""1"":[""2""]}",27
592,31.48.195.118,1389032811,3136,0,45,"{""1"":[""2""]}",23
593,174.49.125.14,1390821847,3136,0,45,"{""1"":[""2""]}",23
594,134.88.151.30,1390824780,3136,6254,45,"{""1"":[""2""]}",23
597,96.44.189.102,1391220016,3136,7346,45,"{""1"":[""3""]}",23
598,216.186.29.234,1391628075,3136,7424,45,"{""1"":[""4""]}",23
599,99.61.134.22,1392878935,3136,0,45,"{""1"":[""5""]}",23
744,208.96.82.35,1400953377,1007,0,5,"{""1"":[""2""]}",27
743,115.166.55.83,1400927304,1007,0,5,"{""1"":[""2""]}",27
742,71.193.154.155,1400827654,1007,0,5,"{""1"":[""2""]}",27
741,72.45.212.90,1400799822,1007,6113,5,"{""1"":[""2""]}",27
739,83.233.70.12,1400794060,1007,1558,5,"{""1"":[""2""]}",27
740,72.133.234.43,1400799355,1007,131,5,"{""1"":[""2""]}",27
737,68.109.227.92,1400793226,1007,164,5,"{""1"":[""1""]}",27
736,190.160.53.144,1400792585,1007,204,5,"{""1"":[""2""]}",27
609,68.199.109.203,1394060062,599,6168,13,"{""1"":[""1""]}",3
735,37.148.163.38,1400792154,1007,288,5,"{""1"":[""2""]}",27
734,86.153.91.69,1400791915,1007,7481,5,"{""1"":[""2""]}",27
612,71.193.154.155,1394331166,3136,0,45,"{""1"":[""4""]}",23
733,66.171.7.175,1400790130,1007,6359,5,"{""1"":[""2""]}",27
732,87.114.118.18,1400789752,1007,7,5,"{""1"":[""2""]}",27
731,178.42.64.173,1400789564,1007,353,5,"{""1"":[""2""]}",27
729,82.25.135.143,1400753231,1007,4,5,"{""1"":[""2""]}",27
728,82.13.39.36,1400744167,1007,56,5,"{""1"":[""2""]}",27
619,5.228.90.213,1394863326,3731,1,88,"{""1"":[""4""]}",24
620,88.193.135.245,1394866212,3731,2306,88,"{""1"":[""3""]}",24
621,69.244.118.189,1394866384,3731,2,88,"{""1"":[""4""]}",24
622,82.13.39.36,1394866933,3731,56,88,"{""1"":[""4""]}",24
623,83.233.70.12,1394876714,3731,1558,88,"{""1"":[""4""]}",24
624,87.113.148.172,1394877634,3731,7,88,"{""1"":[""4""]}",24
625,80.212.46.150,1394880306,3731,7508,88,"{""1"":[""4""]}",24
626,79.191.20.68,1394882460,3731,353,88,"{""1"":[""4""]}",24
627,69.176.179.99,1394888386,3731,7405,88,"{""1"":[""4""]}",24
628,122.128.195.137,1394893149,3731,2220,88,"{""1"":[""4""]}",24
629,64.121.193.49,1394894394,3731,6269,88,"{""1"":[""4""]}",24
630,176.67.169.223,1394894989,3731,6122,88,"{""1"":[""4""]}",24
631,142.68.236.105,1394896176,3731,6155,88,"{""1"":[""4""]}",24
632,65.96.56.113,1394903010,3731,6254,88,"{""1"":[""3""]}",24
633,98.252.118.149,1394908516,3731,6207,88,"{""1"":[""2""]}",24
634,81.228.214.125,1394914146,3731,1986,88,"{""1"":[""4""]}",24
635,66.171.4.81,1394941865,3731,6359,88,"{""1"":[""3""]}",24
636,81.152.13.7,1394972296,3731,7481,88,"{""1"":[""3""]}",24
637,72.45.212.90,1395079476,3731,6113,88,"{""1"":[""3""]}",24
638,96.47.226.21,1395157625,3731,288,88,"{""1"":[""2""]}",24
639,70.194.5.216,1395180593,3731,68,88,"{""1"":[""4""]}",24
726,97.85.143.240,1400722845,3958,0,84,"{""1"":[""2""]}",26
641,99.236.38.32,1395258154,3731,0,88,"{""1"":[""4""]}",24
725,99.236.38.32,1400721354,1007,0,5,"{""1"":[""2""]}",27
724,142.68.176.57,1400717133,1007,6155,5,"{""1"":[""2""]}",27
723,81.155.155.131,1400716050,1007,6151,5,"{""1"":[""2""]}",27
722,99.195.202.119,1400714577,1007,6249,5,"{""1"":[""2""]}",27
721,68.199.109.203,1400714448,1007,6168,5,"{""1"":[""2""]}",27
720,47.20.224.112,1400714429,1007,7636,5,"{""1"":[""2""]}",27
719,91.153.87.155,1400714188,1007,132,5,"{""1"":[""2""]}",27
651,70.194.196.74,1398704863,1422,0,24,"{""1"":[""3""]}",11
652,50.7.1.146,1398890098,3897,0,26,"{""1"":[""1""]}",25
653,66.171.11.114,1398890151,3897,6359,26,"{""1"":[""2""]}",25
654,68.192.101.77,1398890848,3897,6120,26,"{""1"":[""2""]}",25
655,83.28.146.115,1398890893,3897,353,26,"{""1"":[""2""]}",25
656,64.121.193.49,1398891551,3897,6269,26,"{""1"":[""2""]}",25
657,24.92.125.209,1398893047,3897,130,26,"{""1"":[""1""]}",25
658,99.249.195.215,1398893247,3897,2820,26,"{""1"":[""2""]}",25
659,68.80.249.225,1398896547,3897,49,26,"{""1"":[""1""]}",25
660,173.45.185.240,1398897048,3897,6156,26,"{""1"":[""2""]}",25
661,84.209.14.205,1398899896,3897,7543,26,"{""1"":[""1""]}",25
662,69.244.118.189,1398906394,3897,2,26,"{""1"":[""1""]}",25
663,128.204.203.103,1398910431,3897,7346,26,"{""1"":[""2""]}",25
664,68.109.227.92,1398927050,3897,164,26,"{""1"":[""2""]}",25
665,164.58.225.42,1398967975,3897,7635,26,"{""1"":[""1""]}",25
666,72.105.117.36,1398990404,3897,7504,26,"{""1"":[""2""]}",25
667,142.68.51.14,1399030279,3897,6155,26,"{""1"":[""1""]}",25
668,109.163.234.4,1399237139,3897,288,26,"{""1"":[""2""]}",25
669,83.24.132.131,1399818094,1422,353,24,"{""1"":[""3""]}",11
670,69.250.178.128,1399864547,3897,7719,26,"{""1"":[""2""]}",25
671,86.22.145.60,1399894272,3897,0,26,"{""1"":[""1""]}",25
672,69.244.118.189,1400013348,3958,2,84,"{""1"":[""1""]}",26
673,86.22.145.60,1400013354,3958,0,84,"{""1"":[""2""]}",26
674,99.195.119.183,1400013568,3958,6249,84,"{""1"":[""2""]}",26
675,72.133.234.43,1400013660,3958,131,84,"{""1"":[""1""]}",26
676,5.228.90.213,1400013719,3958,1,84,"{""1"":[""1""]}",26
677,178.42.149.12,1400013901,3958,353,84,"{""1"":[""1""]}",26
678,83.233.70.12,1400015140,3958,1558,84,"{""1"":[""1""]}",26
679,173.242.121.199,1400015579,3958,0,84,"{""1"":[""1""]}",26
680,178.32.181.98,1400015785,3958,7346,84,"{""1"":[""2""]}",26
681,173.17.56.78,1400016223,3958,333,84,"{""1"":[""1""]}",26
682,84.209.14.205,1400017105,3958,7543,84,"{""1"":[""3""]}",26
683,47.20.224.112,1400017177,3958,7636,84,"{""1"":[""1""]}",26
684,82.25.135.143,1400017486,3958,4,84,"{""1"":[""1""]}",26
685,64.121.193.49,1400017846,3958,6269,84,"{""1"":[""1""]}",26
686,82.13.39.36,1400018595,3958,56,84,"{""1"":[""1""]}",26
687,91.153.87.155,1400018630,3958,132,84,"{""1"":[""1""]}",26
688,199.187.249.77,1400018960,3958,6359,84,"{""1"":[""1""]}",26
689,107.15.41.197,1400025470,3958,3721,84,"{""1"":[""1""]}",26
690,71.63.111.187,1400033443,3958,2392,84,"{""1"":[""1""]}",26
691,68.192.101.77,1400036352,3958,6120,84,"{""1"":[""1""]}",26
692,66.90.98.66,1400038918,3958,0,84,"{""1"":[""3""]}",26
693,95.130.9.190,1400043373,3958,2306,84,"{""1"":[""1""]}",26
694,81.228.214.125,1400048663,3958,1986,84,"{""1"":[""1""]}",26
695,86.153.91.69,1400057365,3958,7481,84,"{""1"":[""1""]}",26
696,84.93.173.232,1400066135,3958,7,84,"{""1"":[""1""]}",26
697,24.92.125.209,1400069729,3958,130,84,"{""1"":[""1""]}",26
698,68.199.109.203,1400075072,3958,6168,84,"{""1"":[""1""]}",26
699,79.167.32.66,1400078043,3958,283,84,"{""1"":[""1""]}",26
700,90.210.122.141,1400087961,3958,6260,84,"{""1"":[""1""]}",26
701,72.45.212.90,1400091820,3958,6113,84,"{""1"":[""1""]}",26
702,86.158.108.84,1400092399,3958,0,84,"{""1"":[""2""]}",26
703,172.218.230.48,1400093340,3958,6310,84,"{""1"":[""1""]}",26
704,72.105.118.73,1400098370,3958,7504,84,"{""1"":[""1""]}",26
718,5.228.90.213,1400714172,1007,1,5,"{""1"":[""2""]}",27
706,75.74.221.64,1400123089,3958,0,84,"{""1"":[""1""]}",26
707,142.68.176.57,1400167142,3958,6155,84,"{""1"":[""1""]}",26
708,188.138.9.49,1400177990,3958,288,84,"{""1"":[""1""]}",26
709,70.192.195.84,1400265663,3136,7719,45,"{""1"":[""2""]}",23
711,2.123.240.62,1400455622,3958,0,84,"{""1"":[""1""]}",26
716,109.182.64.169,1400666584,3958,0,84,"{""1"":[""2""]}",26
747,141.212.108.13,1401495611,3897,0,26,"{""1"":[""1""]}",25
748,80.212.45.159,1401805251,1007,7508,5,"{""1"":[""2""]}",27
749,24.8.236.102,1402120392,1007,0,5,"{""1"":[""2""]}",27
750,24.13.227.219,1402446998,3136,7776,45,"{""1"":[""1""]}",23
855,68.34.105.176,1418016584,3958,7816,84,"{""1"":[""1""]}",26
753,84.209.14.205,1403398732,1007,7543,5,"{""1"":[""2""]}",27
754,108.8.7.144,1403846484,1007,7846,5,"{""1"":[""1""]}",27
755,71.225.22.89,1403903770,1007,49,5,"{""1"":[""2""]}",27
756,98.17.146.3,1404732890,3958,0,84,"{""1"":[""2""]}",26
757,95.44.182.71,1405204932,1007,7875,5,"{""1"":[""2""]}",27
758,144.122.154.184,1405796546,1007,6231,5,"{""1"":[""2""]}",27
759,47.20.224.112,1407350456,4199,7636,99,"{""1"":[""1"",""2""]}",28
760,5.228.90.213,1407350564,4199,1,99,"{""1"":[""1"",""2""]}",28
761,84.20.235.46,1407352810,4199,6278,99,"{""1"":[""1"",""2""]}",28
762,88.193.125.68,1407353797,4199,1209,99,"{""1"":[""1""]}",28
763,108.8.1.29,1407354968,4199,7846,99,"{""1"":[""1""]}",28
764,68.174.0.142,1407358472,4199,130,99,"{""1"":[""1""]}",28
765,79.187.23.74,1407358771,4199,353,99,"{""1"":[""1""]}",28
766,69.255.69.137,1407362065,4199,6254,99,"{""1"":[""1""]}",28
767,146.135.8.196,1407363470,4199,335,99,"{""1"":[""1""]}",28
768,87.175.243.71,1407366389,4199,0,99,"{""1"":[""1""]}",28
769,70.193.67.77,1407368318,4199,7719,99,"{""1"":[""4""]}",28
770,172.218.230.48,1407378563,4199,6310,99,"{""1"":[""1""]}",28
771,122.128.195.137,1407383377,4199,2220,99,"{""1"":[""1"",""4""]}",28
772,76.20.198.98,1407395868,4199,0,99,"{""1"":[""4""]}",28
773,183.171.179.208,1407397240,4199,1772,99,"{""1"":[""1""]}",28
774,77.38.156.66,1407397887,4199,125,99,"{""1"":[""4""]}",28
775,162.203.24.220,1407445711,4199,2750,99,"{""1"":[""1""]}",28
776,99.236.38.32,1407459290,4199,0,99,"{""1"":[""1"",""4""]}",28
777,95.44.182.71,1407503828,4199,7875,99,"{""1"":[""1""]}",28
778,216.131.118.61,1407520276,4199,29,99,"{""1"":[""1""]}",28
779,86.153.94.120,1407520864,4199,7481,99,"{""1"":[""1""]}",28
780,83.233.70.12,1407541261,4199,1558,99,"{""1"":[""1""]}",28
781,108.8.9.118,1408164417,4217,7846,99,"{""1"":[""1""]}",29
782,122.128.195.137,1408164443,4217,2220,99,"{""1"":[""2""]}",29
784,99.249.195.215,1408165904,4217,2820,99,"{""1"":[""1""]}",29
785,69.255.69.137,1408166270,4217,6254,99,"{""1"":[""2""]}",29
786,66.249.83.111,1408173862,4217,7504,99,"{""1"":[""2""]}",29
787,84.20.235.46,1408182905,4217,6278,99,"{""1"":[""1""]}",29
