conf_id,conf_key,conf_value,conf_default,conf_keywords,conf_app
529,calendar_rss_feed,1,1,,calendar
530,calendar_rss_feed_days,30,30,,calendar
531,activity_stream_rss,1,1,,core
532,min_user_name_length,3,3,,core
535,sparkpost_api_key,,,,core
536,sparkpost_click_tracking,0,0,,core
537,sparkpost_ip_pool,,,,core
538,sparkpost_use_for,0,0,,core
539,site_secret_key,d7944b2f060e1b942bfe4d0c5481a471,,,core
540,ipbseo_ga_provider,none,none,,core
541,diagnostics_reporting,0,1,,core
542,letter_photos,default,letters,,core
543,all_activity_clubs,1,1,,core
544,allowed_reg_email,,,,core
545,announcements_exist,0,0,,core
546,authy_enabled,0,0,,core
547,authy_groups,*,*,,core
548,authy_key,,,,core
549,authy_method,"authy,sms,phone","authy,sms,phone",,core
550,authy_onetouch,1,1,,core
551,authy_setup,"sms,phone","sms,phone",,core
552,authy_setup_lockout,12,12,,core
553,authy_setup_tries,2,2,,core
554,auto_follow_new_content,0,0,,core
555,auto_follow_replied_to,0,0,,core
556,bitly_enabled,0,0,,core
557,bitly_token,,,,core
558,clubs,0,0,,core
559,clubs_default_sort,last_activity,last_activity,,core
560,clubs_header,full,full,,core
561,clubs_locations,0,0,,core
562,clubs_modperms,"pin,unpin,future_publish,view_future,move,lock,unlock,reply_to_locked,delete,split_merge","pin,unpin,future_publish,view_future,move,lock,unlock,reply_to_locked,delete,split_merge",,core
563,clubs_require_approval,0,0,,core
564,contact_access,"4,2",*,,core
565,contact_emails,smenovehovets@protonmail.com,,,core
566,contact_nexus_department,,,,core
567,contact_redirect,,,,core
568,contact_type,contact_emails,contact_internal,,core
569,dellog_retention_period,30,30,,core
570,device_management,1,1,,core
571,googleauth_enabled,0,0,,core
572,googleauth_groups,*,*,,core
573,guest_terms_bar,0,0,,core
574,ignore_system_on,0,1,,core
575,ipbseo_ga_paginatecode,,,,core
576,last_data_store_update,,,,core
577,mfa_forgot_behaviour,email,email,,core
578,mfa_lockout_behaviour,lock,lock,,core
579,mfa_lockout_time,60,60,,core
580,mfa_optional_prompt,none,none,,core
581,mfa_required_groups,,,,core
582,mfa_required_prompt,immediate,immediate,,core
583,minimum_age,0,0,,core
584,new_device_email,1,0,,core
585,password_strength_meter,1,1,,core
586,password_strength_meter_enforce,0,0,,core
587,password_strength_option,3,3,,core
588,profile_birthday_type,public,public,,core
589,promote_community_enabled,0,0,,core
590,promote_groups,,,,core
591,promote_members,,,,core
592,promote_scheduled,,,,core
593,promote_tz,UTC,UTC,,core
594,prune_member_history,0,0,,core
595,quick_register,0,1,,core
596,reaction_count_display,individual,individual,,core
597,reputation_leaderboard_default_tab,leaderboard,leaderboard,,core
598,reputation_leaderboard_on,0,1,,core
599,reputation_max_members,48,48,,core
600,reputation_overview_max_members,8,8,,core
601,reputation_show_days_won_trophy,1,1,,core
602,reputation_timezone,UTC,UTC,,core
603,reputation_top_members_filters,*,*,,core
604,reputation_top_members_overview,"pp_reputation_points,member_posts","pp_reputation_points,member_posts",,core
605,security_questions_areas,,,,core
606,security_questions_enabled,0,0,,core
607,security_questions_groups,*,*,,core
608,security_questions_number,3,3,,core
609,security_questions_prompt,access,access,,core
610,security_questions_timer,30,30,,core
611,security_questions_tries,3,3,,core
612,sendgrid_api_key,,,,core
613,sendgrid_click_tracking,0,0,,core
614,sendgrid_ip_pool,,,,core
615,sendgrid_use_for,0,0,,core
616,site_social_profiles,[],,,core
617,stats_keywords,,,,core
618,stats_keywords_prune,180,180,,core
619,stats_online_users_prune,180,180,,core
620,theme_disk_cache_path,,,,core
621,theme_disk_cache_templates,0,0,,core
622,url_filter_action,block,block,,core
623,url_filter_any_action,allow,allow,,core
624,forums_default_view,table,table,,forums
625,forums_default_view_choose,,0,,forums
626,forums_fluid_pinned,1,1,,forums
627,forums_topics_per_page,25,25,,forums
628,all_activity_calendar_streamitems,1,1,,calendar
629,calendar_venues_enabled,0,0,,calendar
