conf_id,conf_title,conf_description,conf_group,conf_type,conf_key,conf_value,conf_default,conf_extra,conf_evalphp,conf_position,conf_start_group,conf_add_cache,conf_keywords
17,Guidelines/rules text,Only applies if not using an external guidelines link. <b>HTML Enabled</b>,2,editor,gl_guidelines,"<!-- isHtml:1 --><!-- isHtml:1 --><p class=""bbc_center""><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><span style=""font-family: verdana""><span style=""font-size: 36px;""><span style=""color: rgb(255,140,0)""><strong class=""bbc"">Iron March Charter and Mission Statement</strong></span></span></span></span></span></span></span></p><p class=""bbc_center""><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><span style=""font-family: courier new""><span style=""font-size: 18px;""><span style=""color: rgb(255,140,0)""><strong class=""bbc"">Iron March Mission Statement</strong></span></span></span></span></span></span></span></span></span></span></span></p><p><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)"">Iron March is a global online fascist community that seeks to become the <strong class=""bbc"">Forge of the 21st Century Fascist</strong> by establishing an online <strong class=""bbc"">Fascist Space</strong> so as to foster and develop internet resources dedicated to the study, understanding and practice of the <em class=""bbc"">Fascist Worldview</em> and <em class=""bbc"">Lifestyle</em>; and a global <strong class=""bbc"">Fascist Fraternity</strong> in the world for the purpose of creating a non-movement/party form of association between fascists that can in turn lead to the strengthening of existing or formation of new movements that engage in our common struggle worldwide.</span></span></span></span><br />
<br />
<span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)"">Iron March itself is not a movement and never intends to become one, rather it is the platform for the creation of the global Fascist Fraternity and the central communications hub for its members online as well as the HQ for the online Fascist Space and the primary source for studying our worldview, thus acting as the <strong class=""bbc"">Fascist Alma Mater</strong>.</span></span></span></span><br />
<br />
<span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)"">Furthermore, a distinction must be made that <strong class=""bbc"">Iron March</strong> and <strong class=""bbc"">Iron March <em class=""bbc"">forum</em></strong><em class=""bbc""> </em>(i.e.<em class=""bbc""> IRONMARCH.ORG</em>) are not synonymous as the intent and ambitions outlined in this Mission Statement clearly show that Iron March has outgrown itself as just an internet forum, now encompassing an array of both online and real world activities and goals, making Iron March a living community while the Iron March forum acts as its online HQ. </span></span></span></span><br />
<br />
<span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)"">To further explain our intentions each key term mentioned above is explained below:</span></span></span></span></span></span></span></span></p><ul class=""bbc""><li><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><strong class=""bbc"">Forge<em class=""bbc"">(-ing)</em> of the 21st Century Fascist</strong> - the most broad and succinct way of describing our Mission Statement that covers both our online and real world activities, implying that we seeks to create not just mere political and career/hobbyist fascists but rather people who share an inherently different perception of the world and thus live and breathe Fascism 24/7, making it not just a mere ideology but a Worldview and Way of Life or Lifestyle, that in the Modern World would appear as a form of counter-culture.</span></span></span></span></li><li><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><strong class=""bbc"">Fascist Alma Mater</strong> - the role that the Iron March forum plays in educating people towards a more comprehensive understanding of the Fascist Struggle and Worldview, and a common way of referring to any Iron March projects dedicated to further research and education in those fields (<em class=""bbc"">ex. Fascist Archive, Antimony Group</em>).</span></span></span></span></li><li><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><strong class=""bbc"">Fascist Space</strong> - common way of referring to all online Iron March projects and online projects/activities created by members of the IM community that in any way further our goals, including educational, creative, demonstrative outlets of the Fascist Lifestyle (<em class=""bbc"">ex. NOOSE</em>).</span></span></span></span></li><li><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><strong class=""bbc"">Fascist Fraternity</strong> - Iron March community manifested in the real world as a means of fascist association that exists outside belonging to any particular movement or party, encouraging fascists to spend time together outside of movement activities or to the contrary bring together fascists with no existing affiliations to share in common interests or form some organization of their own. It is important to note that in the event of a movement's formation Iron March has no direct control over it and can merely offer advice as a community, in the hopes of nurturing the growth of a successful and dedicated fascist organization.</span></span></span></span></li></ul><br />
<br />
<br />
<p><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)"">Most of the planning behind the aforementioned goals and projects occurs on our online HQ - the Iron March forum. As such the Forum Charter in no small part defines the nature of our community and can be used not as only a guide for using the forum itself but also as a point of reference to the standards of our community at large.</span></span></span></span></span></span></span></span></p><p class=""bbc_center""><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><span style=""color: rgb(255,140,0)""><span style=""font-family: courier new""><span style=""font-size: 18px;""><strong class=""bbc"">Iron March Forum Charter</strong></span></span></span></span></span></span></span></span></span></span></span></p><p><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><strong class=""bbc"">I. <span style=""color: rgb(255,140,0)"">Adminship</span></strong><br />
<br />
The Adminship are the Iron March Forum Admins, tasked with maintaining the forum, disciplinary actions, enforcing the values of our worldview and the planning of all IM projects to further our common goals.<br />
<br />
The official symbol of the Adminship and the Iron March forum is the <em class=""bbc"">Machina Hierarchia</em> - <em class=""bbc"">Hierarchy Machine</em> (cog and hands) - it symbolizes the organic unity that exists in a proper hierarchy, making it work as smoothly and efficiently as a machine; alternatively it symbolizes the fostering of an organic unity from what were initially mechanical means.<br />
<br />
<strong class=""bbc"">II. <span style=""color: rgb(255,140,0)"">Black Corps</span></strong><br />
<br />
The Black Corps are the Iron March Forum Moderators - the most trusted and true who embody both the values that are at the foundation of this community and of the values of our worldview. The Black Corps are tasked with maintaining order and cleanliness on the forum, as well as seeking out and purging unwanted elements as outlined in segment <strong class=""bbc"">III </strong>of this charter (<strong class=""bbc"">Community</strong>). </span></span></span></span><br />
<br />
<span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)"">To become a member of the Black Corps one must be a long term member of the IM Forum in good standing who has also proven to be responsible and thus worthy of the title and the tasks that come with it.<br />
<br />
<strong class=""bbc"">III. <span style=""color: rgb(255,140,0)"">Community</span></strong><br />
<br />
Iron March is not a movement, but we expect users to share our purpose â€“ to take an active interest in using the forum, and when contributing to do so as fascists in ultimate pursuit of knowledge, ideas, contacts, etcetera. Those who are not constructive and threaten this are in the wrong place and unwelcome. We recognize there is a widespread character issue in movement politics, and we start here to address some of those problems here. The following rules are to be observed by all members and handled quickly and diplomatically where possible.<br />
<br />
<strong class=""bbc"">1. </strong>No â€˜Spergingâ€™. As in â€˜Aspergerâ€™s syndromeâ€™, an Autistic mental disorder characterized by extreme egocentricity and an inability to understand how to interact socially. This policy is to curtail and recognize the tendencies of users whose actions and motivations are outside our common goals, are deliberately of no benefit to anyone, and only serve to cause trouble. Regardless of whether it is motivated by narcissism, social alienation, cowardice, or stupidity we must control it, and it is the userâ€™s responsibility to observe these following principles which will serve as a guide to ensure there will be no problems for you while you are here.<br />
<br />
<strong class=""bbc"">1.1 - </strong>Role-playing. The tendency to portray personal views in the third person with no clear relation to the real world constitutes a form of role-playing. Another form of role-playing is found in arrogance; insisting on special treatment or to be regarded as a separate tier, in contradiction to the fact it is usually marked by an absence of; personal effort, courage, commitment, consistency, positions that will attract negative response, interest in people, etc - by coincidence. If you are a fake you will be recognized and publicly called out.<br />
<br />
<strong class=""bbc"">1.2 - </strong>Fashion Fascism. Fascism isn't a fetish â€“ if you regularly treat it as such your motivations will be questioned as ulterior. If you reflect your political â€˜identityâ€™ in things like science fiction or anything else found in Television, Video games, hobbies, sub-cultures etc, it tells us that you are unable to distinguish between the two.<br />
<br />
<strong class=""bbc"">1.3 - </strong>Shitposting. Making shit posts; this happens when a post is devoid of content or context, eg randomly responding with a reaction image. If you have nothing else to contribute you have no right to be engaging in this.<br />
<br />
<strong class=""bbc"">1.4 - </strong>Constructive debate. The goal of debate is the pursuit of truth therefore you should take care about what you are saying and care about opposing arguments and should assume it is the same for your opponent â€“ so where relevant you should be capable of providing sources to back up an opinion - this is an argument. Ignoring responses while continuing to argue shows you have no investment in the discussion and also, that you have nothing to offer or contribute.<br />
<br />
<strong class=""bbc"">1.5 - </strong>Conduct. It is your responsibility to judge group relations and know what not to post and where things should be posted. When you can participate in a forum drama, promote yourself, become insolent towards members, etc, is something only you can judge.<br />
<br />
<strong class=""bbc"">If these are not monitored by the user and kept in check it may result in messages of warning from moderators.</strong><br />
<br />
<strong class=""bbc"">2.</strong> This is not <em class=""bbc"">Stormfront</em>. Our community is based on discussion and debate constructive towards fascist goals<em class=""bbc"">, it is not a hangout for White Nationalists and their unique subculture. Stormfront </em>and <em class=""bbc"">VNN </em>forums already provide this in terms of its endless topics on conspiracy theories, chimpouts, Zionism, etcetera. Exclusively posting remarks and threads of that nature without proper context is a form of spamming<em class=""bbc"">.</em></span></span></span></span><br />
<br />
<span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)"">Likewise, we are not a <em class=""bbc"">New Right</em> intellectual circle jerk and we do not tolerate aimless, abstract philosophizing and the typical self-important snobbish behavior that comes with it. Furthermore we recognize displays of such behavior to be a form of violation of points outlined in segment <strong class=""bbc"">III </strong>of this charter (<strong class=""bbc"">Community</strong>).</span></span></span></span><br />
<br />
<span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><strong class=""bbc"">3.</strong> Tolerance. We accept people with strong viewpoints even if ultimately we seek everyone to join us in our comprehension of the world, whilst also understanding that this can be accomplished only so far via our internet forum platform. Those who take themselves too seriously yet refuse to debate become paranoid, patronizing, passive aggressive and can become the source of drama. Users of non straight-white-male-fascist backgrounds also need to be conscious of their differences and check their privilege at the door. If you have allowed yourself to become aggravated through your own fault we will not side with you and you may be held responsible.<br />
<br />
<strong class=""bbc"">4.</strong> Sophian Language. You are expected to use this website with intelligence, knowing not what to write and to read between the lines. Nobody is likely to monitor the website or trawl through your messages, but by posting here you need to personally be prepared it might be read in a court, quoted on in a newspaper, or read to your weeping mother â€“ and hold yourself to account. Don't ask us to delete all your posts because you have ""changed your mind."", or even attempt to alter them yourself. Remember you public posts are cached by search engines or may be recorded by others.<br />
<br />
<strong class=""bbc"">5.</strong> Untermenschen. Just being you can result in an immediate ban, and we will take immediate and permanent action if it is ever found out the following applies to you.<br />
<br />
<strong class=""bbc"">5.1</strong> - We do not allow or entertain the mentally ill to the extent they cannot understand fascism, (for instance those who do genuinely suffer from Autism) and it is our responsibility to direct them away from this place because they should not be here.<br />
<br />
<strong class=""bbc"">5.2</strong> - Expression of interest in Paedophilia (Including any similar inclinations towards the under-aged) will result immediate ban, and even the slightest hint will be treated seriously.<br />
<br />
<strong class=""bbc"">5.3</strong> - Simply put, we reserve the right to ban you if you are any kind of faggot. If you feel the need to tell the world then you will bring the consequences on yourself just as hard. Belonging to the furry fandom is prohibited, partly because it also involves a breach of 1.1 and 1.2, but mostly because it is utterly degenerative (it deserves note here because it will apply even if explicitly sexual grounds cannot be ascertained).<br />
<br />
Failure to comply may result in <em class=""bbc"">internment</em>, when a member's activity on the forum is restricted to the Showers. These members will be marked as <strong class=""bbc"">Prisoners </strong>and they will inevitably be <strong class=""bbc"">Gassed</strong>.<br />
<br />
<strong class=""bbc"">IV. <span style=""color: rgb(255,140,0)"">Forum Activities</span></strong><br />
<br />
Iron March Forum provides it's users with a number of activities that help us develop as a forum, an information center and a community for fellow fascists as well as establish new projects outside the Forum both online and in real life. Any user can officially sign up for any such activity and become an active contributor. Simply follow the rules of each such activity and you will find yourself occupied with interesting projects that will help you develop your skills or further your knowledge.<br />
<br />
<strong class=""bbc"">V. <span style=""color: rgb(255,140,0)"">Discipline</span></strong><br />
<br />
We expect every user to follow the rules set forth by the Adminship.<br />
<br />
<strong class=""bbc"">1.</strong> Our community is interested in active members, not lurker and defunct profiles. All accounts that have <em class=""bbc"">zero</em> posts for a week after registry on the forum will be deleted. Once a year (sometime in January) the forum undergoes cleaning of defunct profiles, meaning that any years old profiles with less than 10 posts are permanently deleted. The more the forum membership grows with active users the higher the number of posts required to prevent deletion will become.<br />
<br />
<strong class=""bbc"">2.</strong> Before creating a new topic make sure that a similar one doesn't already exist and be sure to post topics in the appropriate sections of the Iron March forum. Use the search bar in the top right corner if you are not sure where to look.<br />
<br />
<strong class=""bbc"">3.</strong> Do not derail topics, do not flame, do not spam (outside <a class=""bbc_url"" href=""http://ironmarch.org/index.php?/forum/78-cancer/"">Cancer</a> and the <a class=""bbc_url"" href=""http://ironmarch.org/index.php?/forum/13-wastelands/"">Wastelands</a>).<br />
<br />
<em class=""bbc"">*It is the userâ€™s responsibility not to be trolled.</em><br />
<br />
<strong class=""bbc"">4.</strong> Follow the respective rules of all forum activities and projects as they are explained in the sections dedicated to those activities.<br />
<br />
<strong class=""bbc"">5.</strong> Moderators and Admins may dispense punishment at their discretion and can give formal warnings to users who behave in an unacceptable manner (unnecessary aggression, blatant and systematic disregard of the forum rules and etc) with 3 and more warnings being grounds for temporary suspension or immediate gassing, or in some cases said penalties can happen with no warning at all.<br />
<br />
<strong class=""bbc"">VI. <span style=""color: rgb(255,140,0)"">Uniform</span></strong><br />
<br />
<strong class=""bbc"">1.</strong> Forum avatars are restricted to a size of 150x200 pixels, and 25 kb.</span></span></span></span><br />
<br />
<span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><strong class=""bbc"">2.</strong> Forum signatures are restricted to one image of 800x140 pixels and 5 lines of text.<br />
<br />
<strong class=""bbc"">3.</strong> Admins can be recognized by the symbol of the Iron March Adminship below their title and avatar - <em class=""bbc"">Machina Hierarchia</em> and <em class=""bbc"">Admins Wreath</em>.<br />
<br />
<strong class=""bbc"">4.</strong> Members of the Black Corps can be recognized by the symbol of the Black Corps below their title and avatar - <em class=""bbc"">the Sword and Shield</em>, combined with the <em class=""bbc"">Machina Hierarchia</em>. Black Corps Captain is recognized by the same symbol with wings.<br />
<br />
<strong class=""bbc"">5.</strong> Users are discouraged from taking the names of historic persons, eg â€˜Benito Mussoliniâ€™, and may be asked to change their username.</span></span></span></span></span></span></span></span></p><p class=""bbc_center""><br />
<span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><span style=""color: rgb(188,188,188)""><span style=""font-family: tahoma""><span style=""font-size: 12px;""><span style=""background-color: rgb(26,26,26)""><strong class=""bbc"">Follow these rules diligently, least you face the wrath of the Adminship.</strong></span></span></span></span></span></span></span></span></p><p class=""bbc_center"">",,,,4,,FALSE,
18,Registration terms &amp; rules,"The content of this section will be displayed before a member can register a new account.
<b>HTML ENABLED</b>",2,editor,reg_rules,"<!-- isHtml:1 --><!-- isHtml:1 --><strong class='bbc'>IronMarch is not your average forum, please make sure that you have read the following IronMarch threads before registering:</strong><ul class='bbc'><li><a class='bbc_url' href='http://ironmarch.org/index.php?/topic/5130-iron-march-charter-and-mission-statement/'><strong class='bbc'>Iron March Charter and Mission Statement</strong></a></li><li><a class='bbc_url' href='http://ironmarch.org/index.php?/topic/5131-introduction-guidelines/'><strong class='bbc'>Introduction Guidelines</strong></a></li></ul>","Please take a moment to review these rules detailed below. If you agree with them and wish to proceed with the registration, simply click the ""Register"" button below. To cancel this registration, simply hit the 'back' button on your browser.<br /><br />Please remember that we are not responsible for any messages posted. We do not vouch for or warrant the accuracy, completeness or usefulness of any message, and are not responsible for the contents of any message.<br /><br />The messages express the views of the author of the message, not necessarily the views of this bulletin board. Any user who feels that a posted message is objectionable is encouraged to contact us immediately by email. We have the ability to remove objectionable messages and we will make every effort to do so, within a reasonable time frame, if we determine that removal is necessary.<br /><br />You agree, through your use of this service, that you will not use this bulletin board to post any material which is knowingly false and/or defamatory, inaccurate, abusive, vulgar, hateful, harassing, obscene, profane, sexually oriented, threatening, invasive of a person's privacy, or otherwise violative of any law.<br /><br />You agree not to post any copyrighted material unless the copyright is owned by you or by this bulletin board.<br /><br />Our websites use cookies to distinguish you from other users of our website. This helps us to provide you with a personalised experience when you browse this site. For detailed information on the cookies we use and the purposes for which we use them see our cookie policy (link at the footer of each page).",,,5,Registration Terms &amp; Rules,FALSE,
19,Turn the community offline,The community will still be accessible by those who have permission (settable from the <a href='{ACP_URL}app=members&module=groups'>Manage User Groups</a> page).,3,yes_no,board_offline,1,0,,,1,,TRUE,
20,The offline message to display,,3,editor,offline_msg,"[center][b]Our research team has discovered the secret passage to Hollow Earth from beneath New Swabia, and came back with retrieved Nazi UFO technologies. We are currently reverse engineering it to improve the forum. Check back later.[/b][/center]<br />[center][img]https://pbs.twimg.com/media/BmqC0HoCYAAtzst.png[/img][/center]",,,,2,,FALSE,
21,Use COPPA registration system,"Enabling <a href=""http://www.ftc.gov/ogc/coppa1.htm"" target=""_blank"">COPPA</a> on your board will require children under the age of 13 to get parental consent via a faxed or mailed form.",4,yes_no,use_coppa,,0,,,1,,TRUE,
22,Fax number to receive COPPA forms,,4,input,coppa_fax,,,,,2,,TRUE,
23,Mail address to receive COPPA forms,,4,textarea,coppa_address,,,,,3,,TRUE,
24,Additional COPPA information,This text will be displayed on the parental consent form and can be used to include your privacy policy (a requirement for COPPA compliance),4,editor,coppa_consent_extra,,,,,4,,TRUE,
25,IP.Board copyright removal key,Your copyright removal key obtained from IPS.,5,input,ipb_copy_number,,,,,1,,TRUE,
332,Days to store marking data,"After the specified number of days, items will appear as read.",6,input,topic_marking_keep_days,,30,,,30,,TRUE,
26,Turn off copyright,,5,yes_no,ips_cp_purchase,,0,,,2,,TRUE,
27,Server load limit,Will display 'busy' message when limit hit. Can be left blank for no limit,6,input,load_limit,,,,,1,,TRUE,
28,Disable prefetching,"Some web accelerators can ""prefetch"" pages before users request them.  Will feel faster for the user if the page is then requested, but can waste server resources if it isn't.",6,yes_no,disable_prefetching,,1,,,2,,TRUE,
29,Enable content caching,"If 'yes', then content set out below will be cached to save resources.",6,yes_no,cc_on,,1,,,4,Content Caching,TRUE,
30,Post cache,Enter the number of days to cache posts for. Enter 0 to not cache.,6,input,cc_posts,,7,,,6,,TRUE,
31,Signature cache,Enter the number of days to cache members' signatures for. Enter 0 to not cache.,6,input,cc_sigs,,180,,,7,,TRUE,
32,Allow custom profile field info be used in topic view,"If set to ""yes"", this will add a LEFT JOIN onto the custom profile field table.",6,yes_no,custom_profile_topic,,1,,,8,Saving SQL Resources,TRUE,
33,Cut off for active user display [in minutes],,6,input,au_cutoff,,15,,,10,,TRUE,
34,Update topic views immediately,"If enabled, the topic views counter will be updated as one loads a topic. If not enabled, the topic views will be written to another table and the topic views updated every 3 hours. This will significantly reduce overhead on the topics table if you have a very busy board as it overcomes the write lock initiated when the topic counter is updated.",6,yes_no,update_topic_views_immediately,,0,,,12,,TRUE,
35,Mark topics a user has posted when displaying a forum,,6,yes_no,show_user_posted,,1,,,13,,TRUE,
36,Kill long running search queries,Number of seconds after a search has started that IP.Board should try to kill the query if the user has left the page.  Enter 0 to disable.,6,input,kill_search_after,,30,,,14,,TRUE,"resources, search, kill"
37,Remove &#39;Users browsing this forum&#39; feature,This saves 1 query per forum view,6,yes_no,no_au_forum,,0,no_au_forum,,15,Turning Features Off,TRUE,
38,Remove &#39;Users browsing this topic&#39; feature,This saves 1 query per topic view,6,yes_no,no_au_topic,,0,,,16,,TRUE,
39,Show active users,,6,yes_no,show_active,,1,,,17,,TRUE,
40,Disable topic summary,Do you wish to disable the topic summary from displaying at the bottom of the post reply page?,6,yes_no,disable_summary,,0,,,18,,TRUE,
41,Allow users (where allowed) to use search,,6,yes_no,allow_search,,1,,,19,,TRUE,
42,Show community statistics,Show the community statistic totals at the footer of the forum index page.,6,yes_no,show_totals,,1,,,21,,TRUE,
43,Disable profile statistics,Member statistics related to forum activity displayed in the profile can be resource intensive on larger sites.,6,yes_no,disable_profile_stats,,0,,,22,,TRUE,
44,Disable sub-forums on board index,Do you wish to disable subforums from displaying on the board index?,6,yes_no,disable_subforum_show,,0,,,24,Reducing HTML output,TRUE,
45,Load javascript files from Google,Enabling this setting causes the prototype and scriptaculous javascript files to be loaded from Google's servers instead of your own.,6,yes_no,remote_load_js,,0,,,26,,TRUE,
46,Enable database topic marking tracking,"If 'yes', IP.Board will manage your read topics in the database so that they are available on different computers.",6,yes_no,topic_marking_enable,,1,,,28,Topic Marking,TRUE,
48,Native server time zone,"<span style='color:red'>If you have chosen the correct timezone and the clock is an hour out, this is because of daylight savings time and your members can correct this by editing their 'Board settings' via their User Control Panel.</span>",7,dropdown,time_offset,,0,,"if ( $show == 1 )
{
	ipsRegistry::getClass('class_localization')->loadLanguageFile( array( 'public_usercp' ), 'core' );
	
	foreach( ipsRegistry::getClass('class_localization')->words as $off => $words )
	{
		if (preg_match(""/^time_(-?[&#092;d&#092;.]+)$/"", $off, $match))
		{
			$dropdown[ $match[1] ] = array( $match[1], $words );
		}
	}
	
	ksort($dropdown);
}",1,Time Adjustments,TRUE,
49,Server time adjustment (in minutes),"You fine tune the server time. If you need to subtract minutes from the server time, start the number with a '-' (no quotes)
<br>Community time (inc. above time zone and current adj.) is now: <-T->",7,input,time_adjust,,0,,"if ( $show )
{
 $d_date = ipsRegistry::getClass('class_localization')->getDate(time(), 'LONG',1);
$r['conf_description'] = str_replace( '<-T->', $d_date, $r['conf_description'] );
}",2,,TRUE,
50,Use relative dates,Would use 'today' and 'yesterday' in posts / last post info,7,dropdown,time_use_relative,,1,"0=No
1=Yes ( Today & Yesterday )
2=Yes ( Last X Minutes, Today & Yesterday)
3=Yes ( Full, minutes, hours & days )",,3,Relative Dates,TRUE,
51,Relative time format,{--} Will be replaced with 'today' or 'yesterday',7,input,time_use_relative_format,,"{--}, %I:%M %p",,,4,,TRUE,
52,DST auto-detection,"When daylight saving time auto-detection is enabled, your member's profiles will be automatically updated with the correct time.",7,yes_no,time_dst_auto_correction,,1,,,5,DST Correction,TRUE,
53,Long date method,The format here is the same as <a href='http://uk.php.net/manual/en/function.strftime.php'>PHP's strftime</a>,7,input,clock_long,,%d %B %Y - %I:%M %p,,,6,Date and Time Formats,TRUE,
54,Short date method,The format here is the same as <a href='http://uk.php.net/manual/en/function.strftime.php'>PHP's strftime</a>,7,input,clock_short,,%b %d %Y %I:%M %p,,,7,,TRUE,
55,Alternate short date method,The format here is the same as <a href='http://uk.php.net/manual/en/function.strftime.php'>PHP's strftime</a>,7,input,clock_short2,,%d %B %Y,,,8,,TRUE,
56,Joined date method,The format here is the same as <a href='http://uk.php.net/manual/en/function.strftime.php'>PHP's strftime</a>,7,input,clock_joined,,%d-%B %y,,,9,,TRUE,
57,Tiny date method,The format here is the same as <a href='http://uk.php.net/manual/en/function.strftime.php'>PHP's strftime</a>,7,input,clock_tiny,,%d %b %Y - %H:%M,,,10,,TRUE,
58,Date only method,The format here is the same as <a href='http://uk.php.net/manual/en/function.strftime.php'>PHP's strftime</a>,7,input,clock_date,,%d %b %Y,,,11,,TRUE,
59,Mail delivery method,"If PHP's mail() isn't available, choose SMTP. If you are unsure, please ask your web host.",8,dropdown,mail_method,,mail,"mail=PHP Mail()
smtp=SMTP",,1,,TRUE,
60,Community incoming email address,This is the email address that all incoming mail is addressed to.,8,input,email_in,slavros_a@mail.ru,,,,2,Email Addresses,TRUE,
61,Community outgoing email address,This is the email address that all mail appears to come from.,8,input,email_out,slavros_a@mail.ru,,,,3,,TRUE,
62,Override SMTP host,Default is 'localhost',8,input,smtp_host,,localhost,,,4,SMTP Set-up,TRUE,
63,Override SMTP port,Default is 25,8,input,smtp_port,,25,,,5,,TRUE,
64,Add &#39;&lt;&#39; and &#39;&gt;&#39; to &#39;to&#39; and &#39;from&#39; addresses,"Some SMTP mailers require that email addresses are in the following format '<' address '>' (no quotes). If you are getting errors in the mail error log, enabled this option",8,yes_no,mail_wrap_brackets,,0,,,6,,TRUE,
