vid,ip_address,vote_date,tid,member_id,forum_id,member_choices
62,68.204.108.97,1329181065,599,142,66,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
63,71.114.54.74,1329181359,599,14,66,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
64,31.220.211.106,1329182527,599,7,13,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
65,190.47.93.211,1329183352,599,44,13,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
66,67.10.202.120,1329184430,599,130,13,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
67,152.33.10.78,1329184648,599,16,13,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
74,192.101.250.250,1329198481,599,68,13,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
72,188.32.178.123,1329198219,599,1,13,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
73,109.78.249.220,1329198314,599,11,13,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
75,77.249.103.246,1329212316,599,13,13,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
118,112.205.76.27,1331473814,599,72,13,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
79,151.40.143.33,1329739245,599,19,13,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
80,92.251.65.142,1329760343,599,101,13,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
82,71.114.54.74,1331051377,682,14,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
83,65.92.176.123,1331051397,682,67,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
84,152.33.47.92,1331051434,682,16,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
85,173.55.230.190,1331051696,682,29,99,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
86,50.66.9.47,1331051825,682,161,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
87,70.171.16.52,1331052287,682,84,99,"a:1:{i:1;a:1:{i:0;s:1:""5"";}}"
88,88.112.42.148,1331052462,682,25,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
89,112.205.76.27,1331052515,682,72,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
90,109.78.210.16,1331054030,682,11,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
91,67.10.202.150,1331054429,682,130,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
92,91.153.61.213,1331055840,682,132,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
93,77.38.156.66,1331057030,682,125,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
94,134.88.170.184,1331057066,682,164,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
95,190.47.93.211,1331059420,682,44,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
96,69.245.181.16,1331060601,682,35,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
97,46.237.16.109,1331060893,682,53,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
98,88.147.21.69,1331062161,682,9,99,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
99,95.148.199.250,1331064234,682,0,99,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
100,71.255.83.251,1331065022,682,10,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
101,186.57.34.69,1331066754,682,151,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
102,31.220.211.86,1331066915,682,7,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
103,188.32.178.123,1331066979,682,1,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
104,75.56.53.112,1331067022,682,54,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
105,71.185.163.249,1331070261,682,49,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
106,190.196.51.132,1331070798,682,152,99,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
107,86.24.69.116,1331074333,682,56,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
108,24.229.117.252,1331078693,682,140,99,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
109,64.189.76.149,1331081787,682,143,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
110,192.101.250.250,1331090540,682,68,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
111,68.204.108.97,1331098863,682,142,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
112,99.181.227.0,1331099184,682,157,99,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
113,86.4.47.94,1331106596,682,4,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
114,84.24.97.46,1331119084,682,91,99,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
115,99.22.216.224,1331136100,682,61,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
116,118.208.4.27,1331210569,599,65,13,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
117,151.40.142.22,1331466134,682,19,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
119,92.251.65.142,1331815778,682,101,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
120,196.210.139.197,1331821260,682,158,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
121,77.249.103.246,1331831637,682,13,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
122,186.22.83.236,1331835096,682,146,99,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
123,24.58.173.101,1332251877,682,184,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
152,167.21.254.11,1335901524,682,0,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
153,71.229.236.199,1336699921,939,0,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
154,65.92.177.211,1336700351,939,67,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
155,31.220.211.103,1336700736,939,7,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
156,24.92.121.41,1336701766,939,130,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
157,173.55.230.190,1336703637,939,29,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
158,173.62.203.80,1336703696,939,49,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
159,190.160.53.204,1336705057,939,204,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
160,94.66.206.17,1336705911,939,227,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
161,152.33.55.78,1336707992,939,16,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
162,68.10.22.61,1336709213,939,3,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
163,112.205.76.27,1336715784,939,72,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
164,118.208.14.192,1336725107,939,65,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
165,81.198.222.106,1336727877,939,139,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
166,89.99.124.88,1336729296,939,13,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
167,92.251.65.142,1336735779,939,101,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
168,77.37.146.69,1336741499,939,1,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
169,86.4.47.94,1336746396,939,4,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
170,77.38.156.66,1336747107,939,125,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
171,195.194.57.44,1336762271,939,68,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
172,88.147.31.116,1336765305,939,9,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
173,81.155.151.202,1336768314,939,28,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
174,86.24.69.116,1336777288,939,56,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
175,186.22.83.236,1336778180,939,146,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
176,71.114.53.245,1336826755,939,14,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
177,95.109.100.58,1336852742,939,129,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
178,69.245.181.16,1336912370,939,35,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
179,196.210.138.150,1336948596,939,158,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
180,68.109.227.92,1336950781,939,164,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
181,101.172.213.70,1336985455,939,23,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
182,98.199.234.20,1337458397,939,8,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
184,188.176.157.251,1337629610,939,0,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
185,81.83.208.249,1337860900,939,0,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
212,109.76.149.164,1339055592,939,11,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
217,76.23.38.38,1340068296,939,271,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
235,204.8.156.142,1341122767,939,279,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
236,31.172.30.2,1341135363,939,288,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
238,174.52.5.35,1341173933,939,293,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
239,93.74.120.105,1341237953,939,304,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
242,173.75.42.123,1341363408,939,298,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
268,173.254.216.68,1345405795,599,279,13,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
269,173.10.74.213,1345413969,599,364,13,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
295,201.231.128.155,1346905948,1422,287,24,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
296,50.39.255.21,1346909414,1422,331,24,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
297,87.115.29.133,1346918572,1422,7,24,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
358,112.205.31.193,1349179086,1422,72,24,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
299,146.135.1.3,1346922945,1422,335,24,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
300,77.38.156.66,1346938560,1422,125,24,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
301,174.96.38.22,1346943986,1422,329,24,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
302,98.159.120.30,1346945385,1422,54,24,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
303,98.167.139.109,1346948107,1422,266,24,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
304,173.245.64.30,1346948223,1422,660,24,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
305,94.103.203.197,1346957530,1422,239,24,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
306,74.32.189.175,1347043365,1422,274,24,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
307,132.241.122.157,1347064414,1422,368,24,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
383,24.2.187.46,1355761193,1422,991,24,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
378,85.151.35.185,1353642161,599,878,13,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
381,24.58.173.101,1355517473,1422,184,24,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
714,97.85.143.240,1400585874,1422,7730,24,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
818,62.165.193.133,1410780818,4217,7958,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
713,97.85.143.240,1400553209,3136,7730,45,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
437,69.122.255.230,1369617608,1422,6103,24,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
480,24.92.125.209,1376097747,2784,130,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
479,75.82.93.158,1376097532,2784,821,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
478,68.199.109.203,1376096790,2784,6168,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
477,173.59.61.164,1376096773,2784,49,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
476,86.46.45.37,1376096637,2784,6201,99,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
481,107.4.186.92,1376101585,2784,6122,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
482,67.83.215.62,1376102385,2784,6120,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
483,99.255.163.15,1376104055,2784,2820,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
484,75.56.49.92,1376107476,2784,54,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
485,24.126.230.39,1376115149,2784,6198,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
487,88.208.236.144,1376123535,2784,6134,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
488,96.19.109.99,1376124433,2784,293,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
489,86.4.47.94,1376125631,2784,4,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
490,85.166.62.56,1376126355,2784,6117,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
491,183.171.179.28,1376130915,2784,1772,99,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
492,84.230.129.38,1376142848,2784,132,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
494,71.186.252.117,1376157640,2784,6113,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
497,83.233.70.12,1376181302,2784,1558,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
498,80.252.48.236,1376225026,2784,495,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
499,24.38.202.47,1376235654,2784,5805,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
501,85.166.62.56,1376430480,599,6117,13,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
504,99.89.56.211,1376947914,2830,5779,78,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
505,47.55.59.95,1376948871,2830,6155,78,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
506,67.83.215.62,1376952288,2830,6120,78,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
507,5.81.177.64,1376952600,2830,2082,78,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
508,24.92.125.209,1376957553,2830,130,78,"a:1:{i:1;a:2:{i:0;s:1:""1"";i:1;s:1:""2"";}}"
509,76.121.89.171,1376960389,2830,3,78,"a:1:{i:1;a:2:{i:0;s:1:""1"";i:1;s:1:""2"";}}"
510,85.76.17.209,1376963161,2830,25,78,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
511,183.171.177.95,1376966942,2830,1772,78,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
512,107.4.186.92,1376972840,2830,6122,78,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
514,85.166.62.56,1376976706,2830,6117,78,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
515,88.193.118.212,1376983345,2830,1209,78,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
516,81.228.214.125,1376991223,2830,1986,78,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
517,85.151.35.185,1377003712,2830,878,78,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
518,87.114.31.227,1377009141,2830,7,78,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
519,83.233.70.12,1377013719,2830,1558,78,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
520,77.38.156.66,1377017909,2830,125,78,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
521,184.189.88.11,1377026349,2830,0,78,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
523,98.195.255.57,1377049965,2830,3143,78,"a:1:{i:1;a:2:{i:0;s:1:""1"";i:1;s:1:""2"";}}"
524,67.174.56.82,1377081579,2830,2075,78,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
526,27.110.158.66,1377277461,2830,72,78,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
527,96.44.189.100,1377289933,2830,288,78,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
528,200.232.238.62,1377295541,2830,6115,78,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
530,190.44.160.121,1377519561,2784,44,99,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
746,79.78.125.238,1401236327,1007,7686,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
547,50.151.185.150,1382448507,3136,35,45,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
548,199.111.192.174,1382448914,3136,6122,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
549,98.176.0.195,1382448959,3136,2037,45,"a:1:{i:1;a:1:{i:0;s:1:""5"";}}"
550,69.244.118.189,1382451011,3136,2,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
552,50.147.10.107,1382453755,3136,168,45,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
553,67.83.215.62,1382457195,3136,6120,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
554,98.204.5.133,1382457789,3136,2392,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
555,47.55.59.95,1382459790,3136,6155,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
556,24.92.125.209,1382459951,3136,130,45,"a:1:{i:1;a:1:{i:0;s:1:""5"";}}"
557,69.117.96.250,1382461643,3136,6269,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
558,71.188.71.24,1382462435,3136,6266,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
559,96.19.109.99,1382464994,3136,293,45,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
560,71.231.106.106,1382467592,3136,6217,45,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
561,207.136.232.181,1382469982,3136,991,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
562,184.9.99.210,1382470173,3136,274,45,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
563,166.137.12.84,1382470465,3136,0,45,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
565,68.109.227.92,1382471673,3136,164,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
566,72.133.234.43,1382472809,3136,131,45,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
567,68.80.249.225,1382473175,3136,49,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
568,74.161.17.162,1382475475,3136,5973,45,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
569,70.199.137.132,1382475683,3136,3,45,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
570,98.252.118.149,1382476853,3136,6207,45,"a:1:{i:1;a:1:{i:0;s:1:""5"";}}"
571,184.6.104.224,1382477811,3136,281,45,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
572,208.54.86.149,1382478727,3136,6144,45,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
573,74.110.33.123,1382482795,3136,6113,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
574,24.172.27.110,1382483547,3136,333,45,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
575,98.234.240.158,1382487915,3136,6274,45,"a:1:{i:1;a:1:{i:0;s:1:""5"";}}"
576,68.199.109.203,1382489117,3136,6168,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
577,76.173.33.170,1382497850,3136,0,45,"a:1:{i:1;a:1:{i:0;s:1:""5"";}}"
578,67.61.9.215,1382527033,3136,50,45,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
595,107.15.41.197,1390831192,3136,3721,45,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
581,216.106.25.24,1383496630,3136,6247,45,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
582,108.220.126.125,1383874869,3136,6208,45,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
712,70.65.220.64,1400513437,3958,505,84,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
584,83.233.70.12,1384031988,1422,1558,24,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
585,134.88.151.30,1384670295,370,6254,88,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
586,134.88.151.30,1385102205,599,6254,13,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
587,199.187.249.80,1385246702,3136,6359,45,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
588,67.213.218.72,1386908064,3136,7036,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
589,143.95.37.70,1387294840,3136,2075,45,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
590,75.50.99.61,1387581706,3136,0,45,"a:1:{i:1;a:1:{i:0;s:1:""5"";}}"
745,46.230.185.88,1400996350,1007,0,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
592,31.48.195.118,1389032811,3136,0,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
593,174.49.125.14,1390821847,3136,319,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
594,134.88.151.30,1390824780,3136,6254,45,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
597,96.44.189.102,1391220016,3136,7346,45,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
598,216.186.29.234,1391628075,3136,7424,45,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
599,99.61.134.22,1392878935,3136,6290,45,"a:1:{i:1;a:1:{i:0;s:1:""5"";}}"
744,208.96.82.35,1400953377,1007,6317,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
743,115.166.55.83,1400927304,1007,7427,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
742,71.193.154.155,1400827654,1007,0,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
741,72.45.212.90,1400799822,1007,6113,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
739,83.233.70.12,1400794060,1007,1558,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
740,72.133.234.43,1400799355,1007,131,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
737,68.109.227.92,1400793226,1007,164,5,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
736,190.160.53.144,1400792585,1007,204,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
609,68.199.109.203,1394060062,599,6168,13,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
735,37.148.163.38,1400792154,1007,288,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
734,86.153.91.69,1400791915,1007,7481,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
612,71.193.154.155,1394331166,3136,0,45,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
733,66.171.7.175,1400790130,1007,6359,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
732,87.114.118.18,1400789752,1007,7,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
731,178.42.64.173,1400789564,1007,353,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
729,82.25.135.143,1400753231,1007,4,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
728,82.13.39.36,1400744167,1007,56,5,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
619,5.228.90.213,1394863326,3731,1,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
620,88.193.135.245,1394866212,3731,2306,88,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
621,69.244.118.189,1394866384,3731,2,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
622,82.13.39.36,1394866933,3731,56,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
623,83.233.70.12,1394876714,3731,1558,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
624,87.113.148.172,1394877634,3731,7,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
625,80.212.46.150,1394880306,3731,7508,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
626,79.191.20.68,1394882460,3731,353,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
627,69.176.179.99,1394888386,3731,7405,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
628,122.128.195.137,1394893149,3731,2220,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
629,64.121.193.49,1394894394,3731,6269,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
630,176.67.169.223,1394894989,3731,6122,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
631,142.68.236.105,1394896176,3731,6155,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
632,65.96.56.113,1394903010,3731,6254,88,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
633,98.252.118.149,1394908516,3731,6207,88,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
634,81.228.214.125,1394914146,3731,1986,88,"a:1:{i:1;a:1:{i:0;s:1:""4"";}}"
635,66.171.4.81,1394941865,3731,6359,88,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
636,81.152.13.7,1394972296,3731,7481,88,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
