leader_date,leader_member_id,leader_position,leader_rep_total
1321185597,0,4,0
1321185598,0,3,0
1321185599,0,2,0
1321185600,7,1,1
1321272000,4,1,2
1321272000,8,4,1
1321272000,11,2,1
1321272000,40,3,1
1321444800,1,2,2
1321444800,4,3,2
1321444800,5,4,1
1321444800,9,1,3
1321531197,0,4,0
1321531200,1,1,1
1321531200,4,3,1
1321531200,7,2,1
1321617597,0,4,0
1321617598,0,3,0
1321617600,4,2,1
1321617600,7,1,1
1321703997,0,4,0
1321703998,0,3,0
1321703999,0,2,0
1321704000,7,1,2
1321790400,4,1,1
1321790400,7,3,1
1321790400,16,2,1
1321790400,67,4,1
1321963197,0,4,0
1321963200,5,2,1
1321963200,13,3,1
1321963200,49,1,2
1322049600,7,3,1
1322049600,14,1,2
1322049600,49,4,1
1322049600,68,2,1
1322222397,0,4,0
1322222400,7,1,1
1322222400,8,2,1
1322222400,9,3,1
1322395200,7,2,1
1322395200,11,3,1
1322395200,13,1,1
1322395200,53,4,1
1322481600,4,3,1
1322481600,7,2,2
1322481600,49,1,2
1322481600,56,4,1
1322568000,14,3,1
1322568000,49,2,2
1322568000,53,4,1
1322568000,56,1,2
1322654400,5,3,2
1322654400,9,1,4
1322654400,11,2,2
1322654400,16,4,2
1322740800,7,1,4
1322740800,9,4,1
1322740800,53,3,1
1322740800,68,2,1
1322827200,7,1,2
1322827200,23,4,1
1322827200,49,3,1
1322827200,54,2,1
1322913597,0,4,0
1322913598,0,3,0
1322913599,0,2,0
1322913600,4,1,2
1323000000,8,4,1
1323000000,40,2,2
1323000000,49,3,1
1323000000,64,1,3
1323086400,5,4,1
1323086400,56,1,2
1323086400,64,3,2
1323086400,68,2,2
1323172800,7,1,5
1323172800,9,4,1
1323172800,13,2,3
1323172800,16,3,2
1323259197,0,4,0
1323259200,7,1,3
1323259200,13,2,2
1323259200,68,3,1
1323345600,1,2,3
1323345600,9,4,2
1323345600,16,3,3
1323345600,64,1,3
1323431997,0,4,0
1323432000,9,1,2
1323432000,14,3,1
1323432000,35,2,1
1323518397,0,4,0
1323518398,0,3,0
1323518399,0,2,0
1323518400,11,1,1
1323604797,0,4,0
1323604798,0,3,0
1323604799,0,2,0
1323604800,7,1,1
1323691200,2,2,2
1323691200,7,3,1
1323691200,9,1,5
1323691200,14,4,1
1323777600,7,4,1
1323777600,8,2,2
1323777600,49,1,2
1323777600,68,3,1
1323864000,4,3,2
1323864000,7,2,2
1323864000,35,4,1
1323864000,49,1,2
1323950397,0,4,0
1323950400,4,2,1
1323950400,13,1,3
1323950400,67,3,1
1324036800,9,2,2
1324036800,13,3,2
1324036800,16,4,1
1324036800,85,1,4
1324123200,1,3,3
1324123200,7,1,4
1324123200,49,4,2
1324123200,85,2,4
1324209600,1,3,1
1324209600,2,1,2
1324209600,7,4,1
1324209600,67,2,2
1324296000,1,1,2
1324296000,3,4,1
1324296000,49,2,2
1324296000,91,3,2
1324382400,4,1,3
1324382400,7,2,2
1324382400,49,4,1
1324382400,64,3,1
1324468800,1,1,3
1324468800,4,2,3
1324468800,9,3,2
1324468800,49,4,2
1324555200,5,4,3
1324555200,7,3,3
1324555200,23,2,4
1324555200,49,1,6
1324641600,4,1,2
1324641600,14,3,2
1324641600,44,2,2
1324641600,64,4,1
1324728000,4,2,3
1324728000,11,4,1
1324728000,13,3,2
1324728000,49,1,8
1324814400,1,1,2
1324814400,7,2,2
1324814400,49,4,1
1324814400,84,3,1
1324900797,0,4,0
1324900798,0,3,0
1324900800,5,2,1
1324900800,49,1,2
1324987200,5,4,1
1324987200,49,3,1
1324987200,64,1,4
1324987200,84,2,2
1325073597,0,4,0
1325073598,0,3,0
1325073599,0,2,0
1325073600,4,1,1
1325160000,1,1,4
1325160000,2,3,3
1325160000,9,4,3
1325160000,49,2,3
1325246400,4,1,4
1325246400,7,3,1
1325246400,9,2,1
1325246400,49,4,1
1325332800,4,4,1
1325332800,14,3,1
1325332800,23,2,1
1325332800,44,1,1
1325419200,4,2,7
1325419200,35,4,1
1325419200,40,1,10
1325419200,49,3,2
1325505600,2,3,2
1325505600,4,4,2
1325505600,16,2,2
1325505600,49,1,3
1325592000,4,3,1
1325592000,9,4,1
1325592000,49,1,2
1325592000,64,2,1
1325678400,9,2,2
1325678400,16,3,1
1325678400,64,1,3
1325678400,72,4,1
1325764797,0,4,0
1325764798,0,3,0
1325764799,0,2,0
1325764800,1,1,4
1325851200,7,4,2
1325851200,9,2,4
1325851200,13,3,2
1325851200,49,1,5
1325937600,2,4,1
1325937600,7,2,3
1325937600,16,3,2
1325937600,49,1,8
1326024000,1,2,2
1326024000,7,1,5
1326024000,14,4,2
1326024000,49,3,2
1326110400,7,1,3
1326110400,13,4,1
1326110400,23,2,1
1326110400,49,3,1
1326196800,1,2,1
1326196800,7,4,1
1326196800,40,3,1
1326196800,89,1,1
1326283200,1,2,4
1326283200,5,4,3
1326283200,7,1,7
1326283200,16,3,3
1326369597,0,4,0
1326369600,1,1,1
1326369600,7,2,1
1326369600,49,3,1
1326456000,1,1,4
1326456000,14,2,1
1326456000,101,4,1
1326456000,104,3,1
1326542400,1,1,3
1326542400,9,2,2
1326542400,16,3,1
1326542400,67,4,1
1326628800,7,1,6
1326628800,9,3,3
1326628800,40,4,2
1326628800,101,2,5
1326715200,1,4,2
1326715200,5,1,4
1326715200,65,3,2
1326715200,101,2,3
1326801600,13,4,2
1326801600,16,1,6
1326801600,49,3,2
1326801600,54,2,3
1326888000,1,1,4
1326888000,14,2,2
1326888000,40,4,1
1326888000,111,3,1
1326974400,5,1,3
1326974400,49,3,2
1326974400,54,2,3
1326974400,108,4,2
1327060800,1,3,2
1327060800,13,4,1
1327060800,16,1,3
1327060800,54,2,2
1327147200,14,2,3
1327147200,16,4,2
1327147200,49,3,3
1327147200,53,1,4
1327233600,16,1,4
1327233600,40,3,3
1327233600,49,2,4
1327233600,100,4,2
1327320000,5,3,2
1327320000,7,2,3
1327320000,49,1,3
1327320000,53,4,1
1327406400,4,2,2
1327406400,84,4,2
1327406400,100,3,2
1327406400,108,1,4
1327492800,1,3,6
1327492800,11,1,8
1327492800,13,4,4
1327492800,108,2,6
1327579200,1,3,7
1327579200,4,2,7
1327579200,40,1,7
1327579200,49,4,6
1327665600,1,2,3
1327665600,4,4,2
1327665600,16,3,2
1327665600,49,1,4
1327752000,4,4,5
1327752000,7,1,16
1327752000,9,3,5
1327752000,29,2,14
1327838400,2,4,3
1327838400,7,2,4
1327838400,29,1,13
1327838400,44,3,3
1327924800,2,3,5
1327924800,7,1,5
1327924800,14,2,5
1327924800,49,4,4
1328011200,1,1,6
1328011200,7,2,3
1328011200,53,4,1
1328011200,54,3,2
1328097600,1,2,14
1328097600,4,3,2
1328097600,7,1,14
1328097600,13,4,2
1328184000,1,2,8
1328184000,7,1,19
1328184000,49,4,3
1328184000,108,3,3
1328270400,1,2,14
1328270400,13,4,6
1328270400,16,3,8
1328270400,132,1,19
1328356800,2,4,6
1328356800,40,3,11
1328356800,108,2,12
1328356800,132,1,14
1328443200,7,1,11
1328443200,49,2,9
1328443200,108,4,8
1328443200,132,3,9
1328529600,3,2,2
1328529600,61,4,2
1328529600,125,3,2
1328529600,132,1,7
1328616000,7,1,11
1328616000,108,4,3
1328616000,130,2,7
1328616000,132,3,3
1328702400,1,3,5
1328702400,4,4,3
1328702400,7,2,6
1328702400,132,1,7
1328788800,1,1,9
1328788800,2,2,5
1328788800,7,4,3
1328788800,61,3,4
1328875200,1,1,20
1328875200,7,4,7
1328875200,49,3,14
1328875200,130,2,17
1328961600,7,4,4
1328961600,23,3,4
1328961600,49,2,6
1328961600,130,1,8
1329048000,7,1,4
1329048000,9,2,3
1329048000,49,3,3
1329048000,114,4,3
1329134400,4,1,4
1329134400,9,4,3
1329134400,14,2,3
1329134400,49,3,3
1329220800,1,4,3
1329220800,7,1,5
1329220800,35,2,4
1329220800,68,3,4
1329307200,68,4,2
1329307200,85,3,2
1329307200,108,1,3
1329307200,132,2,3
1329393600,1,1,9
1329393600,54,3,3
1329393600,64,4,3
1329393600,130,2,5
1329480000,1,1,8
1329480000,4,4,3
1329480000,54,3,4
1329480000,130,2,6
1329566400,7,4,5
1329566400,9,1,8
1329566400,16,2,8
1329566400,67,3,5
1329652800,1,2,8
1329652800,4,3,5
1329652800,7,4,5
1329652800,9,1,9
1329739200,1,1,21
1329739200,35,4,6
1329739200,54,3,8
1329739200,142,2,9
1329825600,1,4,7
1329825600,7,2,14
1329825600,130,1,18
1329825600,132,3,12
1329912000,1,3,13
1329912000,7,2,14
1329912000,14,4,6
1329912000,130,1,14
1329998400,49,2,4
1329998400,64,4,3
1329998400,130,1,6
1329998400,132,3,3
1330084800,7,1,11
1330084800,16,4,5
1330084800,130,2,8
1330084800,161,3,5
1330171200,7,1,8
1330171200,35,2,6
1330171200,49,3,4
1330171200,130,4,3
1330257600,1,4,5
1330257600,53,3,9
1330257600,130,2,9
1330257600,132,1,11
1330344000,23,1,9
1330344000,49,3,7
1330344000,53,4,7
1330344000,130,2,8
1330430400,7,1,10
1330430400,9,4,6
1330430400,53,2,8
1330430400,161,3,8
1330516800,7,1,10
1330516800,40,2,4
1330516800,108,4,3
1330516800,130,3,3
1330603200,1,1,7
1330603200,7,2,6
1330603200,49,4,4
1330603200,132,3,5
1330689600,23,4,3
1330689600,64,2,3
1330689600,91,1,6
1330689600,142,3,3
1330776000,1,4,2
1330776000,9,3,2
1330776000,16,1,6
1330776000,130,2,3
1330862400,1,3,2
1330862400,49,1,7
1330862400,67,2,3
1330862400,91,4,2
1330948800,54,1,7
1330948800,67,3,4
1330948800,130,2,5
1330948800,132,4,4
1331035200,7,3,5
1331035200,64,1,5
1331035200,84,4,4
1331035200,132,2,5
1331121600,7,3,4
1331121600,130,2,5
1331121600,132,4,4
1331121600,143,1,5
1331208000,3,3,4
1331208000,7,1,17
1331208000,54,2,7
1331208000,65,4,4
1331294400,1,2,5
1331294400,7,3,5
1331294400,65,4,4
1331294400,130,1,6
1331380800,9,1,7
1331380800,49,4,4
1331380800,132,3,5
1331380800,140,2,5
1331467200,4,2,9
1331467200,7,3,8
1331467200,29,4,4
1331467200,132,1,18
1331553600,1,3,3
1331553600,84,4,3
1331553600,130,2,5
1331553600,132,1,9
1331640000,1,3,4
1331640000,7,1,10
1331640000,84,4,2
1331640000,132,2,5
1331726400,1,4,4
1331726400,7,2,6
1331726400,91,3,5
1331726400,132,1,9
1331812800,16,3,5
1331812800,40,4,3
1331812800,132,1,9
1331812800,140,2,5
1331899200,1,3,10
1331899200,54,4,8
1331899200,130,2,16
1331899200,132,1,26
1331985600,35,2,14
1331985600,91,3,11
1331985600,132,1,21
1331985600,140,4,11
1332072000,1,1,10
1332072000,67,3,8
1332072000,130,2,8
1332072000,161,4,7
1332158400,53,3,7
1332158400,130,4,5
1332158400,132,1,12
1332158400,161,2,9
1332244800,1,1,15
1332244800,53,2,15
1332244800,130,3,12
1332244800,132,4,9
1332331200,7,1,14
1332331200,53,4,6
1332331200,130,2,13
1332331200,132,3,10
1332417600,7,3,8
1332417600,9,2,9
1332417600,16,1,13
1332417600,54,4,5
1332504000,14,3,5
1332504000,49,2,7
1332504000,53,4,5
1332504000,132,1,7
1332590400,7,4,6
1332590400,49,2,6
1332590400,130,1,8
1332590400,161,3,6
1332676800,7,2,9
1332676800,16,4,7
1332676800,61,3,9
1332676800,132,1,17
1332763200,1,2,8
1332763200,16,3,7
1332763200,132,1,27
1332763200,161,4,5
1332849600,91,1,9
1332849600,130,4,5
1332849600,161,3,5
1332849600,164,2,7
1332936000,1,2,6
1332936000,67,4,5
1332936000,130,3,6
1332936000,132,1,14
1333022400,49,3,7
1333022400,130,1,16
1333022400,132,2,8
1333022400,164,4,7
1333108800,1,3,6
1333108800,4,2,6
1333108800,132,1,13
1333108800,161,4,6
1333195200,9,2,8
1333195200,29,4,4
1333195200,132,1,11
1333195200,197,3,4
1333281600,1,3,8
1333281600,68,4,8
1333281600,130,2,11
1333281600,132,1,13
1333368000,9,4,4
1333368000,49,3,5
1333368000,130,2,5
1333368000,132,1,10
1333454400,4,3,5
1333454400,9,4,4
1333454400,67,2,6
1333454400,132,1,12
1333540800,1,1,8
1333540800,13,4,3
1333540800,130,3,4
1333540800,132,2,7
1333627200,16,2,5
1333627200,67,3,3
1333627200,72,4,2
1333627200,132,1,8
1333713600,16,4,4
1333713600,67,1,9
1333713600,132,3,6
1333713600,164,2,7
1333800000,16,4,6
1333800000,29,1,8
1333800000,67,3,6
1333800000,132,2,7
1333886400,3,4,6
1333886400,7,2,7
1333886400,16,1,15
1333886400,91,3,6
1333972800,7,2,12
1333972800,91,4,8
1333972800,130,3,10
1333972800,132,1,12
1334059200,1,2,14
1334059200,2,3,13
1334059200,130,4,13
1334059200,132,1,16
1334145600,2,4,6
1334145600,16,3,7
1334145600,49,1,11
1334145600,132,2,7
1334232000,16,4,4
1334232000,101,3,5
1334232000,132,1,7
1334232000,197,2,5
1334318400,7,1,16
1334318400,67,2,6
1334318400,91,4,4
1334318400,130,3,4
1334404800,35,2,7
1334404800,130,1,10
1334404800,132,4,5
1334404800,142,3,6
1334491200,4,3,5
1334491200,9,4,4
1334491200,130,2,10
1334491200,132,1,12
1334577600,16,4,5
1334577600,35,3,9
1334577600,130,1,16
1334577600,132,2,14
1334664000,2,1,10
1334664000,29,4,5
1334664000,35,3,6
1334664000,130,2,9
1334750400,7,1,11
1334750400,11,3,9
1334750400,101,4,7
1334750400,108,2,9
1334836800,7,1,9
1334836800,67,4,4
1334836800,108,3,4
1334836800,132,2,6
1334923200,7,1,5
1334923200,9,4,4
1334923200,130,2,5
1334923200,158,3,4
1335009600,1,1,7
1335009600,7,4,5
1335009600,11,3,6
1335009600,108,2,6
1335096000,7,2,8
1335096000,35,3,5
1335096000,130,1,8
1335096000,161,4,5
1335182400,35,4,4
1335182400,67,3,5
1335182400,108,2,6
1335182400,132,1,6
1335268800,7,4,5
1335268800,23,3,6
1335268800,130,2,6
1335268800,132,1,12
1335355200,16,4,4
1335355200,67,2,6
1335355200,130,1,6
1335355200,132,3,5
1335441600,7,2,4
1335441600,16,1,5
1335441600,108,4,3
1335441600,132,3,4
1335528000,7,1,10
1335528000,16,3,5
1335528000,91,4,5
1335528000,130,2,5
1335614400,16,3,4
1335614400,49,4,3
1335614400,91,2,4
1335614400,161,1,5
1335700800,7,3,5
1335700800,23,2,7
1335700800,49,1,8
1335700800,91,4,4
1335787200,7,1,3
1335787200,11,3,3
1335787200,23,2,3
1335787200,49,4,2
1335873600,7,3,5
1335873600,16,1,6
1335873600,54,4,5
1335873600,132,2,6
1335960000,4,1,8
1335960000,49,4,4
1335960000,56,3,5
1335960000,161,2,7
1336046400,7,4,4
1336046400,14,2,6
1336046400,67,3,4
1336046400,230,1,9
1336132800,7,2,6
1336132800,9,4,2
1336132800,164,3,4
1336132800,230,1,9
1336219200,67,3,5
1336219200,85,4,5
1336219200,108,1,8
1336219200,132,2,7
1336305600,4,3,5
1336305600,16,2,5
1336305600,91,1,13
1336305600,130,4,4
1336392000,2,4,3
1336392000,16,2,5
1336392000,49,3,4
1336392000,130,1,6
1336478400,9,1,5
1336478400,85,4,3
1336478400,130,3,4
1336478400,227,2,4
1336564800,1,3,4
1336564800,16,4,4
1336564800,54,2,5
1336564800,132,1,14
1336651200,7,3,3
1336651200,67,1,3
1336651200,101,4,2
1336651200,132,2,3
1336737600,2,2,5
1336737600,7,3,3
1336737600,16,1,7
1336737600,67,4,3
1336824000,7,1,6
1336824000,54,3,4
1336824000,67,4,3
1336824000,130,2,4
1336910400,4,1,4
1336910400,7,2,4
1336910400,16,3,4
1336910400,67,4,3
1336996800,2,4,4
1336996800,7,1,12
1336996800,130,2,9
1336996800,161,3,7
1337083200,7,4,5
1337083200,43,3,5
1337083200,130,2,6
1337083200,161,1,8
1337169600,7,2,6
1337169600,13,4,3
1337169600,67,1,6
1337169600,130,3,5
1337256000,7,1,7
1337256000,11,3,3
1337256000,49,2,3
1337256000,132,4,2
1337342400,7,2,5
1337342400,11,1,5
1337342400,49,3,4
1337342400,130,4,4
1337428800,1,4,3
1337428800,7,1,11
1337428800,48,2,5
1337428800,67,3,4
1337515200,1,2,7
1337515200,3,3,4
1337515200,7,1,8
1337515200,49,4,2
1337601600,7,1,9
1337601600,9,2,8
1337601600,53,4,5
1337601600,132,3,7
1337688000,7,1,8
1337688000,53,3,4
1337688000,132,2,6
1337688000,161,4,4
1337774400,2,4,3
1337774400,7,2,7
1337774400,53,1,8
1337774400,54,3,4
1337860800,1,4,3
1337860800,7,1,11
1337860800,53,2,6
1337860800,132,3,4
1337947200,7,3,5
1337947200,53,2,5
1337947200,54,4,3
1337947200,130,1,9
1338033600,1,1,9
1338033600,53,2,7
1338033600,130,4,6
1338033600,132,3,6
1338120000,53,1,15
1338120000,54,4,4
1338120000,130,3,5
1338120000,158,2,6
1338206400,2,3,5
1338206400,4,2,6
1338206400,130,4,4
1338206400,132,1,20
1338292800,4,1,6
1338292800,7,3,6
1338292800,130,4,5
1338292800,132,2,6
1338379200,2,4,4
1338379200,7,3,5
1338379200,53,1,10
1338379200,67,2,8
1338465600,7,4,7
1338465600,130,1,12
1338465600,132,2,8
1338465600,158,3,7
1338552000,1,1,13
1338552000,53,2,12
1338552000,130,3,5
1338552000,132,4,5
1338638400,9,4,4
1338638400,49,3,4
1338638400,53,2,6
1338638400,130,1,8
1338724800,7,4,13
1338724800,53,1,19
1338724800,130,3,14
1338724800,132,2,18
1338811200,7,3,10
1338811200,49,2,13
1338811200,84,4,7
1338811200,132,1,18
1338897600,49,2,10
1338897600,53,1,13
1338897600,108,3,6
1338897600,132,4,6
1338984000,53,1,11
1338984000,130,3,7
1338984000,161,4,5
1338984000,261,2,7
1339070400,4,3,7
1339070400,7,1,16
1339070400,53,2,10
1339070400,130,4,4
1339156800,7,1,11
1339156800,49,2,5
1339156800,130,4,4
1339156800,246,3,5
1339243200,7,4,7
1339243200,130,1,13
1339243200,132,2,7
1339243200,227,3,7
1339329600,43,3,5
1339329600,72,4,5
1339329600,130,1,9
1339329600,132,2,6
1339416000,7,3,4
1339416000,49,4,3
1339416000,130,1,8
1339416000,132,2,7
1339502400,4,1,10
1339502400,7,4,5
1339502400,130,3,7
1339502400,132,2,7
1339588800,4,2,7
1339588800,130,1,8
1339588800,246,4,6
1339588800,261,3,6
1339675200,4,4,4
1339675200,7,1,6
1339675200,130,2,5
1339675200,261,3,5
1339761600,4,4,4
1339761600,7,1,9
1339761600,49,2,8
1339761600,161,3,4
1339848000,4,2,13
1339848000,7,1,13
1339848000,16,4,7
1339848000,49,3,9
1339934400,1,2,7
1339934400,4,1,10
1339934400,9,3,6
1339934400,84,4,4
1340020800,7,3,11
1340020800,49,2,12
1340020800,130,4,8
1340020800,132,1,24
1340107200,16,2,8
1340107200,49,4,4
1340107200,132,1,11
1340107200,261,3,4
1340193600,1,2,9
1340193600,7,3,7
1340193600,49,4,7
1340193600,132,1,19
1340280000,1,3,5
1340280000,7,2,10
1340280000,49,4,4
1340280000,132,1,13
1340366400,16,3,8
1340366400,49,2,9
1340366400,132,1,9
1340366400,279,4,5
1340452800,4,4,3
1340452800,7,3,3
1340452800,132,2,7
1340452800,283,1,12
1340539200,4,4,6
1340539200,130,2,13
1340539200,132,3,7
1340539200,287,1,14
1340625600,4,4,8
1340625600,7,3,9
1340625600,130,2,12
1340625600,279,1,16
1340712000,7,1,11
1340712000,49,3,10
1340712000,84,2,10
1340712000,130,4,10
1340798400,7,2,7
1340798400,67,4,4
1340798400,101,3,6
1340798400,279,1,12
1340884800,7,2,9
1340884800,16,3,7
1340884800,132,1,11
1340884800,283,4,4
1340971200,7,3,5
1340971200,49,2,7
1340971200,132,1,7
1340971200,279,4,5
1341057600,7,1,20
1341057600,49,2,10
1341057600,279,3,9
1341057600,288,4,7
1341144000,7,4,8
1341144000,67,2,12
1341144000,130,3,9
1341144000,279,1,15
1341230400,108,2,11
1341230400,130,1,14
1341230400,279,4,7
1341230400,298,3,10
1341316800,108,1,15
1341316800,130,3,8
1341316800,132,2,8
1341316800,279,4,6
1341403200,16,4,9
1341403200,132,1,10
1341403200,279,3,10
1341403200,298,2,10
1341489600,7,4,8
1341489600,37,2,8
1341489600,67,3,8
1341489600,279,1,13
1341576000,9,4,5
1341576000,84,2,5
1341576000,279,3,5
1341576000,288,1,6
1341662400,37,3,4
1341662400,49,1,8
1341662400,108,2,5
1341662400,161,4,3
1341748800,91,2,9
1341748800,108,3,7
1341748800,279,4,6
1341748800,283,1,10
1341835200,16,3,5
1341835200,53,2,5
1341835200,72,4,4
1341835200,283,1,11
1341921600,37,3,6
1341921600,49,2,6
1341921600,67,1,7
1341921600,288,4,5
1342008000,1,2,6
1342008000,3,4,5
1342008000,130,3,6
1342008000,283,1,8
1342094400,1,2,9
1342094400,7,1,13
1342094400,108,4,6
1342094400,130,3,9
1342180800,91,3,5
1342180800,108,1,6
1342180800,279,4,5
1342180800,317,2,6
1342267200,49,3,7
1342267200,67,1,11
1342267200,130,4,6
1342267200,279,2,8
1342353600,2,3,6
1342353600,4,2,6
1342353600,67,1,8
1342353600,317,4,5
1342440000,7,4,8
1342440000,67,1,23
1342440000,279,3,9
1342440000,283,2,13
1342526400,16,2,6
1342526400,49,4,4
1342526400,67,3,4
1342526400,130,1,11
1342612800,49,2,6
1342612800,132,1,6
1342612800,279,3,4
1342612800,317,4,4
1342699200,1,3,17
1342699200,4,1,26
1342699200,132,4,14
1342699200,279,2,22
1342785600,14,3,6
1342785600,49,4,6
1342785600,130,2,7
1342785600,279,1,17
1342872000,1,4,6
1342872000,84,1,10
1342872000,271,2,8
1342872000,279,3,6
1342958400,7,2,4
1342958400,54,4,3
1342958400,67,3,3
1342958400,279,1,7
1343044800,16,4,4
1343044800,54,1,11
1343044800,67,3,5
1343044800,279,2,5
1343131200,14,4,3
1343131200,35,3,5
1343131200,130,1,7
1343131200,283,2,5
1343217600,1,4,7
1343217600,54,2,7
1343217600,67,3,7
1343217600,130,1,8
1343304000,4,1,12
1343304000,130,2,9
1343304000,132,3,6
1343304000,283,4,5
1343390400,1,4,4
1343390400,49,2,4
1343390400,67,1,9
1343390400,130,3,4
1343476800,7,3,10
1343476800,49,1,13
1343476800,130,2,11
1343476800,279,4,4
1343563200,91,3,7
1343563200,130,2,8
1343563200,161,4,7
1343563200,298,1,10
1343649600,7,3,6
1343649600,49,1,7
1343649600,67,2,7
1343649600,130,4,5
1343736000,1,3,6
1343736000,7,1,13
1343736000,49,2,13
1343736000,168,4,6
1343822400,7,1,14
1343822400,16,4,6
1343822400,54,2,10
1343822400,130,3,6
1343908800,7,1,17
1343908800,67,3,14
1343908800,279,4,10
1343908800,329,2,16
1343995200,4,2,10
1343995200,7,1,17
1343995200,49,3,8
1343995200,132,4,7
1344081600,7,1,13
1344081600,35,3,7
1344081600,49,4,7
1344081600,335,2,9
1344168000,2,2,13
1344168000,67,4,12
1344168000,130,3,13
1344168000,329,1,14
1344254400,1,2,13
1344254400,2,4,11
1344254400,7,3,13
1344254400,67,1,20
1344340800,7,1,27
1344340800,54,4,14
1344340800,67,3,22
1344340800,329,2,27
1344427200,2,3,9
1344427200,7,1,18
1344427200,49,4,5
1344427200,108,2,11
1344513600,1,1,10
1344513600,4,2,7
1344513600,49,3,6
1344513600,67,4,6
1344600000,1,4,6
1344600000,7,2,11
1344600000,49,1,12
1344600000,91,3,6
1344686400,7,1,10
1344686400,49,2,9
1344686400,108,4,6
1344686400,279,3,7
1344772800,7,3,6
1344772800,130,2,8
1344772800,132,1,9
1344772800,342,4,4
1344859200,7,2,8
1344859200,49,1,9
1344859200,67,3,6
1344859200,279,4,5
1344945600,11,4,3
1344945600,16,2,4
1344945600,67,1,7
1344945600,130,3,3
