mt_id,mt_date,mt_title,mt_starter_id,mt_start_time,mt_last_post_time,mt_invited_members,mt_to_count,mt_to_member_id,mt_replies,mt_last_msg_id,mt_first_msg_id,mt_is_draft,mt_is_deleted
23,2011-10-02T20:25:31Z,forum structure,47,2011-10-02T20:25:31Z,2011-10-03T01:21:13Z,a:0:{},0,1,2,57,54,FALSE,FALSE
88,2011-12-19T20:23:53Z,Your ideology,89,2011-12-19T20:23:53Z,2011-12-19T22:26:49Z,a:0:{},1,54,1,289,288,FALSE,FALSE
24,2011-10-04T05:52:15Z,Introductions are important,1,2011-10-04T05:52:14Z,2011-10-04T05:52:14Z,a:0:{},0,47,0,58,58,FALSE,TRUE
25,2011-10-04T06:47:53Z,book,1,2011-10-04T06:47:53Z,2011-10-04T07:03:07Z,a:0:{},0,47,1,60,59,FALSE,TRUE
26,2011-10-05T14:24:42Z,What do you think of this?,2,2011-10-05T14:24:42Z,2011-10-06T12:06:56Z,a:0:{},0,35,2,64,61,FALSE,FALSE
753,2012-09-19T04:32:43Z,Shalom Aleichem,317,2012-09-19T04:32:43Z,2012-11-27T01:42:56Z,a:0:{},1,112,12,4208,3418,FALSE,FALSE
219,2012-02-24T00:48:31Z,National Trotskyism?,17,2012-02-24T00:48:31Z,2012-02-24T01:35:51Z,a:0:{},0,35,1,754,753,FALSE,FALSE
28,2011-10-06T12:16:36Z,Herp,35,2011-10-06T12:16:36Z,2011-10-06T17:13:54Z,a:0:{},0,4,1,68,65,FALSE,TRUE
31,2011-10-08T22:05:57Z,Hello,0,2011-10-08T22:05:57Z,2011-10-08T22:44:03Z,a:0:{},0,2,3,77,73,FALSE,TRUE
32,2011-10-08T22:23:53Z,I&#39;ve a feeling me and you are going to get on well,40,2011-10-08T22:23:53Z,2012-02-07T05:34:48Z,a:0:{},0,0,3,550,76,FALSE,FALSE
33,2011-10-09T18:02:06Z,Message on hotmail,12,2011-10-09T18:02:04Z,2011-10-09T19:15:21Z,a:0:{},0,7,1,79,78,FALSE,FALSE
35,2011-10-11T12:54:34Z,Do you know what videos these clips were taken from?,2,2011-10-11T12:54:34Z,2011-10-11T22:25:28Z,a:0:{},0,7,2,89,82,FALSE,FALSE
36,2011-10-11T12:54:57Z,Do you know what videos these clips were taken from?,2,2011-10-11T12:54:57Z,2011-10-11T21:18:30Z,a:0:{},0,35,1,86,83,FALSE,FALSE
37,2011-10-12T10:36:03Z,Hello,35,2011-10-12T10:36:03Z,2011-10-13T01:18:09Z,a:0:{},0,17,1,95,91,FALSE,TRUE
38,2011-10-12T10:36:31Z,hey,35,2011-10-12T10:36:31Z,2011-10-14T22:44:17Z,a:0:{},0,8,4,112,92,FALSE,TRUE
40,2011-10-13T14:07:58Z,You...,35,2011-10-13T14:07:58Z,2011-11-01T17:19:05Z,a:0:{},0,3,14,174,99,FALSE,TRUE
41,2011-10-13T20:41:35Z,contacts,1,2011-10-13T20:41:34Z,2011-10-13T20:52:10Z,a:0:{},0,54,1,106,105,FALSE,TRUE
42,2011-10-15T11:16:28Z,I&#39;ve a feeling we&#39;ll get on fine,40,2011-10-15T11:16:28Z,2011-10-15T22:00:03Z,a:0:{},1,54,1,115,113,FALSE,FALSE
44,2011-10-25T08:24:24Z,hey,35,2011-10-25T08:24:24Z,2011-10-25T09:07:16Z,a:0:{},0,2,1,125,124,FALSE,TRUE
45,2011-10-25T13:21:31Z,Collaboration/Skype,3,2011-10-25T13:21:31Z,2011-10-27T21:46:54Z,a:0:{},1,8,3,141,127,FALSE,FALSE
990,2012-11-17T21:49:11Z,Article for Reaktion 5,91,2012-11-17T21:49:10Z,2012-11-17T21:49:10Z,a:0:{},0,35,0,4099,4099,FALSE,FALSE
47,2011-10-27T23:49:21Z,Thanks,11,2011-10-27T23:49:21Z,2011-10-28T06:21:24Z,a:0:{},0,7,1,143,142,FALSE,FALSE
48,2011-10-30T00:06:25Z,hey,35,2011-10-30T00:06:25Z,2011-10-30T11:25:58Z,a:0:{},0,4,1,152,144,FALSE,TRUE
50,2011-10-30T00:51:56Z,hi,35,2011-10-30T00:51:55Z,2011-11-01T08:56:13Z,a:0:{},0,54,7,170,146,FALSE,TRUE
51,2011-10-30T00:52:07Z,hey,35,2011-10-30T00:52:07Z,2011-11-07T03:18:03Z,a:0:{},0,62,4,195,147,FALSE,TRUE
52,2011-10-30T00:52:31Z,oi&#33;,35,2011-10-30T00:52:31Z,2011-11-02T01:52:24Z,a:0:{},0,61,3,176,148,FALSE,TRUE
448,2012-06-22T00:15:49Z,Volkstaat,267,2012-06-22T00:15:49Z,2012-08-09T18:03:01Z,a:0:{},1,158,7,2832,1766,FALSE,FALSE
53,2011-10-31T17:11:58Z,Introductions are important,1,2011-10-31T17:11:58Z,2011-10-31T17:11:58Z,a:0:{},0,65,0,154,154,FALSE,TRUE
84,2011-12-17T22:17:10Z,"Flamed, and deletion of my post.",89,2011-12-17T22:17:10Z,2011-12-18T19:29:19Z,a:0:{},1,14,4,280,271,FALSE,FALSE
87,2011-12-19T15:48:05Z,Hello,89,2011-12-19T15:48:04Z,2011-12-19T19:44:17Z,a:0:{},1,9,5,287,282,FALSE,FALSE
56,2011-11-01T22:27:06Z,Pointless question,44,2011-11-01T22:27:06Z,2011-11-02T15:12:06Z,a:0:{},1,11,1,180,175,FALSE,FALSE
57,2011-11-02T06:42:01Z,Question,35,2011-11-02T06:42:01Z,2011-11-02T23:23:12Z,a:0:{},0,2,3,182,178,FALSE,TRUE
1482,2013-01-23T21:14:15Z,exif,274,2013-01-23T21:14:14Z,2013-01-25T05:31:51Z,a:0:{},0,288,6,5274,5253,FALSE,FALSE
61,2011-11-06T17:43:30Z,Introduction.,9,2011-11-06T17:43:30Z,2011-11-06T17:43:30Z,a:0:{},0,72,0,192,192,FALSE,FALSE
1675,2013-05-06T07:00:17Z,response,2820,2013-05-06T07:00:17Z,2013-05-06T07:28:02Z,a:0:{},0,1,2,6111,6109,FALSE,FALSE
64,2011-11-08T02:41:32Z,mushi mushi,23,2011-11-08T02:41:32Z,2011-11-09T15:43:20Z,a:0:{},1,11,3,204,196,FALSE,FALSE
65,2011-11-08T17:40:48Z,New computer?,3,2011-11-08T17:40:48Z,2011-11-10T19:42:23Z,a:0:{},0,1,4,212,198,FALSE,FALSE
66,2011-11-09T08:48:24Z,Hi,13,2011-11-09T08:48:24Z,2011-11-09T21:59:00Z,a:0:{},0,1,2,205,202,FALSE,FALSE
67,2011-11-10T01:00:48Z,Precise Location,14,2011-11-10T01:00:47Z,2011-11-10T19:36:04Z,a:0:{},1,3,4,211,206,FALSE,FALSE
68,2011-11-13T01:13:53Z,Hey,14,2011-11-13T01:13:53Z,2011-12-05T21:11:28Z,a:0:{},1,8,5,255,214,FALSE,FALSE
69,2011-11-13T16:13:29Z,Help,14,2011-11-13T16:13:28Z,2011-11-13T17:49:06Z,a:0:{},1,54,1,218,217,FALSE,FALSE
71,2011-11-14T17:43:24Z,Section Leader,9,2011-11-14T17:43:24Z,2011-11-14T21:12:59Z,a:0:{},0,7,1,221,220,FALSE,FALSE
1025,2012-11-27T05:16:37Z,Hey,130,2012-11-27T05:16:37Z,2012-11-27T06:19:24Z,a:0:{},0,2037,5,4216,4211,FALSE,TRUE
72,2011-11-19T13:17:35Z,Hello,35,2011-11-19T13:17:35Z,2011-12-15T01:23:49Z,a:0:{},0,14,9,266,222,FALSE,TRUE
74,2011-11-24T13:52:02Z,Hello,35,2011-11-24T13:52:01Z,2011-11-24T13:58:22Z,a:0:{},0,54,1,230,229,FALSE,TRUE
445,2012-06-20T22:15:39Z,Hello,234,2012-06-20T22:15:39Z,2012-06-20T23:13:55Z,a:0:{},1,146,9,1751,1738,FALSE,FALSE
76,2011-11-26T01:23:27Z,"Welcome, comrade&#33;",14,2011-11-26T01:23:26Z,2011-12-02T05:31:30Z,a:0:{},0,0,1,246,236,FALSE,FALSE
85,2011-12-17T22:21:51Z,Hello,89,2011-12-17T22:21:50Z,2011-12-18T19:52:53Z,a:0:{},0,7,1,281,272,FALSE,FALSE
79,2011-11-29T06:17:39Z,hello,35,2011-11-29T06:17:39Z,2011-11-29T19:08:03Z,a:0:{},0,4,1,242,241,FALSE,TRUE
896,2012-10-05T08:16:02Z,Greetings,563,2012-10-05T08:16:02Z,2012-10-05T16:48:39Z,a:0:{},1,1014,2,3755,3745,FALSE,FALSE
86,2011-12-18T03:58:52Z,Regarding your Warning,14,2011-12-18T03:58:52Z,2011-12-18T16:40:16Z,a:0:{},0,49,3,279,274,FALSE,FALSE
80,2011-12-03T21:58:13Z,The Integralist Party,79,2011-12-03T21:58:13Z,2011-12-12T04:09:59Z,a:0:{},0,7,6,260,250,FALSE,FALSE
81,2011-12-08T04:48:29Z,Hello,35,2011-12-08T04:48:28Z,2011-12-08T04:48:28Z,a:0:{},0,84,0,256,256,FALSE,TRUE
265,2012-03-05T21:43:27Z,Hi,152,2012-03-05T21:43:25Z,2012-03-05T21:44:27Z,a:0:{},1,4,1,905,904,FALSE,FALSE
83,2011-12-17T13:35:00Z,greetings,7,2011-12-17T13:35:00Z,2011-12-17T14:45:38Z,a:0:{},0,89,1,270,268,FALSE,TRUE
90,2011-12-20T22:12:23Z,A proposition,89,2011-12-20T22:12:23Z,2011-12-21T02:49:09Z,a:0:{},0,49,1,292,291,FALSE,FALSE
91,2011-12-22T07:37:02Z,Reaktion,23,2011-12-22T07:37:02Z,2012-01-04T05:32:52Z,a:0:{},0,35,3,365,295,FALSE,FALSE
92,2011-12-22T11:41:50Z,Reaktion,35,2011-12-22T11:41:50Z,2011-12-25T14:24:41Z,a:0:{},0,14,4,336,297,FALSE,TRUE
93,2011-12-23T13:27:00Z,Propaganda ,89,2011-12-23T13:27:00Z,2011-12-23T13:27:00Z,a:0:{},1,13,0,300,300,FALSE,FALSE
94,2011-12-23T13:27:30Z,Propaganda,89,2011-12-23T13:27:30Z,2011-12-23T20:06:15Z,a:0:{},1,13,1,302,301,FALSE,FALSE
95,2011-12-23T20:09:49Z,PM,89,2011-12-23T20:09:49Z,2012-01-25T20:40:43Z,a:0:{},0,1,20,439,303,FALSE,FALSE
96,2011-12-23T20:47:46Z,Ethno Nationalist,67,2011-12-23T20:47:46Z,2011-12-24T16:34:41Z,a:0:{},0,9,2,323,304,FALSE,TRUE
97,2011-12-24T01:59:20Z,-,14,2011-12-24T01:59:20Z,2011-12-24T02:49:25Z,a:0:{},0,49,5,312,307,FALSE,FALSE
99,2011-12-24T12:48:27Z,Doriot,7,2011-12-24T12:48:26Z,2011-12-26T15:18:13Z,a:0:{},0,9,3,343,319,FALSE,TRUE
100,2011-12-24T20:54:30Z,Orthodox Nationalist,3,2011-12-24T20:54:30Z,2011-12-24T20:54:30Z,a:0:{},0,35,0,327,327,FALSE,FALSE
101,2011-12-25T02:19:44Z,A reminder.,11,2011-12-25T02:19:44Z,2011-12-26T12:51:34Z,a:0:{},1,9,2,341,331,FALSE,FALSE
264,2012-03-05T19:23:55Z,Conference,14,2012-03-05T19:23:55Z,2012-03-05T19:23:55Z,a:0:{},0,108,0,903,903,FALSE,TRUE
103,2011-12-25T15:53:18Z,Warns,14,2011-12-25T15:51:38Z,2011-12-26T10:17:24Z,a:0:{},1,9,1,338,337,FALSE,FALSE
707,2012-09-04T03:52:10Z,Empire,130,2012-09-04T03:52:10Z,2012-09-06T03:58:08Z,a:0:{},0,663,10,3268,3236,FALSE,TRUE
105,2011-12-26T18:11:32Z,your comments on &#39;might makes right&#39;,79,2011-12-26T18:11:31Z,2011-12-26T19:02:28Z,a:0:{},0,84,1,346,345,FALSE,TRUE
106,2011-12-26T19:10:52Z,So,14,2011-12-26T19:10:51Z,2011-12-26T19:10:51Z,a:0:{},0,0,0,347,347,FALSE,FALSE
107,2011-12-26T19:46:33Z,Well.,11,2011-12-26T19:46:32Z,2011-12-26T19:46:32Z,a:0:{},1,14,0,348,348,FALSE,FALSE
263,2012-03-05T14:34:31Z,archive,7,2012-03-05T14:34:31Z,2012-03-05T15:52:10Z,a:0:{},0,4,2,902,900,FALSE,TRUE
109,2011-12-29T21:27:16Z,"you, the NSP, and SP forum",79,2011-12-29T21:27:16Z,2011-12-31T18:01:19Z,a:0:{},1,91,4,357,350,FALSE,FALSE
1476,2013-01-21T16:44:25Z,a Quote.,2336,2013-01-21T16:44:25Z,2013-01-21T18:38:53Z,a:0:{},1,130,1,5229,5228,FALSE,FALSE
111,2012-01-01T01:18:20Z,Skype thingummy,16,2012-01-01T01:18:20Z,2012-01-01T01:23:52Z,a:0:{},0,11,1,359,358,FALSE,TRUE
112,2012-01-01T01:38:07Z,C&#39;mon c&#39;mon,11,2012-01-01T01:38:07Z,2012-01-01T01:38:07Z,a:0:{},0,16,0,360,360,FALSE,FALSE
113,2012-01-01T01:56:51Z,Party,11,2012-01-01T01:56:51Z,2012-01-01T02:26:45Z,a:0:{},1,5,2,363,361,FALSE,FALSE
114,2012-01-02T00:03:17Z,Concerning Etho Nationalist,14,2012-01-02T00:03:17Z,2012-01-02T00:03:17Z,a:0:{},0,1,0,364,364,FALSE,FALSE
115,2012-01-06T00:52:27Z,Anglo-serb. ,7,2012-01-06T00:52:26Z,2012-01-27T22:54:40Z,a:0:{},0,56,9,463,366,FALSE,TRUE
706,2012-09-02T21:46:58Z,Thread was locked,274,2012-09-02T21:46:58Z,2012-09-04T02:01:21Z,a:0:{},1,279,6,3235,3228,FALSE,FALSE
118,2012-01-11T14:14:32Z,Counter Currents,3,2012-01-11T14:14:32Z,2012-01-11T14:18:04Z,a:0:{},0,35,1,379,378,FALSE,FALSE
119,2012-01-11T15:35:52Z,article on Imperium Americana or whatever the fuck it would be,35,2012-01-11T15:35:52Z,2012-01-12T02:45:23Z,a:0:{},0,14,2,382,380,FALSE,TRUE
120,2012-01-12T12:55:01Z,So..,35,2012-01-12T12:55:01Z,2012-01-12T17:22:05Z,a:0:{},0,54,1,384,383,FALSE,TRUE
121,2012-01-16T11:47:21Z,Interested in your ideology.,65,2012-01-16T11:47:21Z,2012-01-16T15:14:31Z,a:0:{},1,101,1,386,385,FALSE,FALSE
122,2012-01-17T11:45:54Z,Propaganda ministry,13,2012-01-17T11:45:54Z,2012-01-17T11:51:46Z,a:0:{},0,49,1,388,387,FALSE,FALSE
124,2012-01-18T14:03:42Z,Greetings,14,2012-01-18T14:03:41Z,2012-01-18T14:22:38Z,a:0:{},1,108,2,395,393,FALSE,FALSE
125,2012-01-18T14:53:47Z,FC,14,2012-01-18T14:53:47Z,2012-01-18T14:53:47Z,a:0:{},0,1,0,396,396,FALSE,FALSE
126,2012-01-18T18:40:00Z,Website,13,2012-01-18T18:40:00Z,2012-01-19T04:14:19Z,a:0:{},0,7,1,398,397,FALSE,FALSE
127,2012-01-20T17:32:05Z,Hello. ,7,2012-01-20T17:32:00Z,2012-01-21T19:15:23Z,a:0:{},0,114,6,408,399,FALSE,TRUE
128,2012-01-20T17:54:51Z,Hello,7,2012-01-20T17:52:53Z,2012-01-21T14:56:59Z,a:0:{},0,40,2,405,400,FALSE,TRUE
129,2012-01-22T01:32:28Z,Reaktion,4,2012-01-22T01:32:28Z,2012-01-22T01:39:48Z,a:0:{},1,108,1,410,409,FALSE,FALSE
130,2012-01-22T12:29:30Z,Hey,35,2012-01-22T12:29:30Z,2012-01-23T22:05:12Z,a:0:{},0,108,3,419,411,FALSE,TRUE
131,2012-01-22T14:28:14Z,Dear ferret.,7,2012-01-22T14:28:14Z,2012-02-09T09:07:24Z,a:0:{},0,29,11,573,412,FALSE,TRUE
132,2012-01-24T17:04:40Z,Mussolini&#39;s Intellectuals: Fascist social and Political thought,114,2012-01-24T17:04:40Z,2012-01-25T12:16:35Z,a:0:{},1,40,2,426,420,FALSE,FALSE
133,2012-01-25T01:11:18Z,So,14,2012-01-25T01:11:18Z,2012-02-10T14:42:47Z,a:0:{},1,108,9,586,421,FALSE,FALSE
134,2012-01-25T03:34:04Z,Skype?,3,2012-01-25T03:34:03Z,2012-01-25T16:17:26Z,a:0:{},1,100,3,432,423,FALSE,FALSE
444,2012-06-20T17:22:23Z,Ho Chi Minh,267,2012-06-20T17:22:23Z,2012-09-06T22:37:23Z,a:0:{},1,72,18,3284,1737,FALSE,FALSE
136,2012-01-25T19:37:16Z,schnell,1,2012-01-25T19:37:16Z,2012-01-25T19:37:16Z,a:0:{},0,89,0,433,433,FALSE,TRUE
137,2012-01-26T05:23:26Z,I&#39;ve got an idea,65,2012-01-26T05:23:26Z,2012-01-26T17:57:44Z,a:0:{},1,64,1,454,445,FALSE,FALSE
262,2012-03-05T06:38:27Z,A quick question about &#39;Will to Power&#39;,65,2012-03-05T06:38:27Z,2012-03-05T11:15:00Z,a:0:{},0,1,1,899,898,FALSE,FALSE
936,2012-10-19T02:31:32Z,I just heard you on The Stark Truth ,1109,2012-10-19T02:31:32Z,2012-10-19T02:31:32Z,a:0:{},0,7,0,3893,3893,FALSE,FALSE
140,2012-01-26T18:12:09Z,A question,19,2012-01-26T18:12:09Z,2012-01-26T19:46:01Z,a:0:{},0,1,5,460,455,FALSE,FALSE
141,2012-01-27T22:23:11Z,Don&#39;t worry too much.,2,2012-01-27T22:23:11Z,2012-01-30T18:04:28Z,a:0:{},1,19,2,491,462,FALSE,FALSE
142,2012-01-28T01:14:19Z,Gruss,22,2012-01-28T01:14:19Z,2012-01-28T14:34:58Z,a:0:{},1,100,3,467,464,FALSE,FALSE
143,2012-01-28T18:03:20Z,I&#39;d like to say,29,2012-01-28T18:03:19Z,2012-01-29T11:57:41Z,a:0:{},1,9,1,480,469,FALSE,FALSE
144,2012-01-28T19:02:12Z,just so you know,29,2012-01-28T19:02:12Z,2012-01-28T19:59:42Z,a:0:{},1,84,3,473,470,FALSE,FALSE
145,2012-01-28T23:27:56Z,Concerning Ethno-Nationalist,65,2012-01-28T23:27:56Z,2012-01-28T23:45:52Z,a:0:{},0,1,1,479,478,FALSE,FALSE
146,2012-01-29T14:38:41Z,Apologies,14,2012-01-29T14:38:41Z,2012-01-29T17:11:32Z,a:0:{},0,49,1,482,481,FALSE,FALSE
147,2012-01-29T20:16:05Z,Christianity,40,2012-01-29T20:16:05Z,2012-01-30T05:49:57Z,a:0:{},0,0,1,489,483,FALSE,FALSE
148,2012-01-29T22:05:10Z,Hey,14,2012-01-29T22:05:09Z,2012-02-01T01:26:36Z,a:0:{},1,8,2,495,484,FALSE,FALSE
149,2012-01-30T01:02:53Z,An idea for greater forum cohesion,65,2012-01-30T01:02:53Z,2012-01-31T12:37:51Z,a:0:{},0,1,3,494,487,FALSE,FALSE
151,2012-02-02T16:37:25Z,IRC,108,2012-02-02T16:37:25Z,2012-02-02T20:49:07Z,a:0:{},1,1,1,504,503,FALSE,FALSE
260,2012-03-04T14:21:23Z,Help,19,2012-03-04T14:21:23Z,2012-03-04T14:21:23Z,a:0:{},0,16,0,890,890,FALSE,FALSE
926,2012-10-13T21:15:42Z,Race,1074,2012-10-13T21:15:42Z,2012-10-13T21:25:37Z,a:0:{},1,4,2,3853,3851,FALSE,FALSE
154,2012-02-03T18:02:01Z,Need a translation,2,2012-02-03T18:02:01Z,2012-02-03T18:07:42Z,a:0:{},0,132,3,513,510,FALSE,FALSE
402,2012-05-22T04:41:37Z,Manifest Destiny in your sig,161,2012-05-22T04:41:37Z,2012-05-22T05:27:18Z,a:0:{},0,2,1,1582,1581,FALSE,TRUE
156,2012-02-04T16:38:18Z,Zigafolk Radio,138,2012-02-04T16:38:18Z,2012-02-05T02:07:31Z,a:0:{},0,1,4,533,518,FALSE,FALSE
157,2012-02-04T16:38:45Z,Zigafolk Radio,138,2012-02-04T16:38:45Z,2012-02-04T17:12:01Z,a:0:{},1,2,4,525,519,FALSE,FALSE
443,2012-06-20T13:58:12Z,Zwart Front,91,2012-06-20T13:58:12Z,2012-06-20T15:36:15Z,a:0:{},1,13,2,1736,1734,FALSE,FALSE
159,2012-02-04T16:50:22Z,Skype,3,2012-02-04T16:50:22Z,2012-02-04T16:50:22Z,a:0:{},1,9,0,524,524,FALSE,FALSE
160,2012-02-04T20:15:31Z,Ð¡Ð¾Ñ†Ð¸Ð°Ð»-ÐœÐ¾Ð½Ð°Ñ€Ñ…Ð¸Ð·Ð¼,125,2012-02-04T20:15:31Z,2012-02-05T08:58:26Z,a:0:{},1,53,1,534,529,FALSE,FALSE
161,2012-02-05T01:38:24Z,Strasserism,7,2012-02-05T01:38:24Z,2012-02-05T02:06:10Z,a:0:{},0,140,2,532,530,FALSE,TRUE
162,2012-02-05T21:29:41Z,Hello,108,2012-02-05T21:29:39Z,2012-02-05T21:45:00Z,a:0:{},1,84,1,537,536,FALSE,FALSE
164,2012-02-06T15:00:46Z,Ð Ð°Ð´Ð¸Ð¾,138,2012-02-06T15:00:46Z,2012-02-09T17:54:25Z,a:0:{},0,1,9,577,539,FALSE,FALSE
266,2012-03-06T01:58:09Z,Pan-Europeanism over here,142,2012-03-06T01:58:08Z,2012-03-19T14:41:23Z,a:0:{},1,140,6,1013,906,FALSE,FALSE
165,2012-02-06T17:18:41Z,Time,14,2012-02-06T17:18:41Z,2012-02-06T17:51:23Z,a:0:{},1,108,3,546,542,FALSE,FALSE
167,2012-02-08T03:51:04Z,Questions about Finland,142,2012-02-08T03:51:04Z,2012-02-08T05:10:43Z,a:0:{},0,132,1,561,559,FALSE,FALSE
168,2012-02-08T05:02:28Z,Nationality,142,2012-02-08T05:02:27Z,2012-02-09T10:29:59Z,a:0:{},1,91,3,575,560,FALSE,FALSE
272,2012-03-09T05:54:06Z,Thanks&#33;,44,2012-03-09T05:54:06Z,2012-03-09T07:11:37Z,a:0:{},0,130,1,926,923,FALSE,FALSE
169,2012-02-08T15:50:43Z,Conference,14,2012-02-08T15:50:43Z,2012-02-08T15:50:43Z,a:0:{},1,140,0,563,563,FALSE,FALSE
170,2012-02-08T15:51:27Z,Conference,14,2012-02-08T15:51:27Z,2012-02-08T15:51:27Z,a:0:{},1,134,0,564,564,FALSE,FALSE
171,2012-02-08T15:51:50Z,Conference,14,2012-02-08T15:51:50Z,2012-02-08T15:51:50Z,a:0:{},1,84,0,565,565,FALSE,FALSE
172,2012-02-08T15:55:05Z,Conference,14,2012-02-08T15:55:05Z,2012-02-08T19:24:55Z,a:0:{},0,130,2,569,566,FALSE,FALSE
173,2012-02-08T15:56:37Z,Conference,14,2012-02-08T15:56:37Z,2012-02-08T15:56:37Z,a:0:{},1,3,0,567,567,FALSE,FALSE
1445,2013-01-06T07:31:21Z,Hey dude,255,2013-01-06T07:31:21Z,2013-01-06T22:23:42Z,a:0:{},1,279,4,5090,5072,FALSE,FALSE
174,2012-02-08T22:12:12Z,Morality,142,2012-02-08T22:12:12Z,2012-02-10T02:34:46Z,a:0:{},0,7,2,579,570,FALSE,FALSE
175,2012-02-09T21:36:33Z,FascistCapitalist,142,2012-02-09T21:36:32Z,2012-02-11T03:16:05Z,a:0:{},0,35,4,605,578,FALSE,FALSE
176,2012-02-10T03:13:52Z,Strasserism,142,2012-02-10T03:13:51Z,2012-02-10T21:05:20Z,a:0:{},1,140,4,598,580,FALSE,FALSE
177,2012-02-10T03:18:00Z,Your ideology,142,2012-02-10T03:18:00Z,2012-02-10T03:18:00Z,a:0:{},1,134,0,581,581,FALSE,FALSE
178,2012-02-10T03:29:25Z,Just Arrived,144,2012-02-10T03:29:25Z,2012-02-10T16:09:09Z,a:0:{},0,140,2,590,582,FALSE,TRUE
179,2012-02-10T09:16:34Z,Lost Phone Number.,17,2012-02-10T09:16:34Z,2012-02-11T01:56:49Z,a:0:{},0,35,2,603,583,FALSE,FALSE
180,2012-02-10T16:17:19Z,WTF?,144,2012-02-10T16:17:19Z,2012-02-11T18:19:35Z,a:0:{},-2,140,8,608,591,FALSE,TRUE
182,2012-02-11T18:28:18Z,Strassite greetings/youtube,140,2012-02-11T18:28:18Z,2012-02-13T22:11:14Z,a:0:{},1,134,2,615,609,FALSE,FALSE
183,2012-02-11T20:58:33Z,Your topics,1,2012-02-11T20:58:33Z,2012-02-11T22:07:53Z,a:0:{},0,40,1,611,610,FALSE,TRUE
1468,2013-01-12T15:02:06Z,Operation Igloo Installments,65,2013-01-12T15:02:06Z,2013-01-13T15:08:27Z,a:0:{},0,1,2,5200,5188,FALSE,FALSE
185,2012-02-13T23:19:10Z,Chat,14,2012-02-13T23:19:10Z,2012-02-16T03:23:43Z,a:0:{},1,8,6,635,616,FALSE,FALSE
1473,2013-01-16T17:06:46Z,American Fascist Symbols,0,2013-01-16T17:06:46Z,2013-01-16T17:38:10Z,a:0:{},0,2,1,5216,5215,FALSE,TRUE
