id,rid,comment,comment_by,comment_date,author_name,ip_address
42,96,"<p>Well, the case against blashirt for being a bona fide autist is becoming pretty strong. Though it's only really problematic when he's prodded, and people can't keep themselves from trolling him since he falls for it hard everytime.</p>
",2170,2015-11-13T01:12:58Z,Zeiger,69.70.181.10
43,99,"<p>You first tho.</p>
",1,2015-12-09T09:07:30Z,Александр Славрос,5.228.84.129
44,100,"<p>Got it.</p>
",9144,2016-01-04T14:49:57Z,Neizbezhnost,101.173.1.158
45,101,"<p>How is this against the rules?</p>
",1,2016-01-29T12:31:15Z,Александр Славрос,5.228.77.158
46,101,"<p>Calling people out on their shit is not against the rules. Deal with it.</p>
<p>&nbsp;</p>
<p><span style=""color:rgb(188,188,188);""><span style=""font-family:tahoma;""><span style=""font-size:12px;""><span style=""background-color:rgb(26,26,26);""><span style=""color:rgb(188,188,188);""><span style=""font-family:tahoma;""><span style=""font-size:12px;""><span style=""background-color:rgb(26,26,26);""><em>it is the user’s responsibility not to be trolled.</em></span></span></span></span></span></span></span></span></p>
",9144,2016-01-29T12:35:24Z,Neizbezhnost,101.173.1.158
47,101,"<p>You need to grow tougher internet skin.</p>
",2170,2016-01-29T17:56:26Z,Zeiger,69.70.181.10
48,105,"
<p>
	&gt;Implying we'd ever let a nigger be mod on IM. <img alt="":lol:"" data-emoticon="""" src=""<fileStore.core_Emoticons>/emoticons/lol.png"" title="":lol:"" /></p>

<p>
	We don't just ban people based on race or views as we don't limit potential for keks that can be had and the restrictions that we have don't allow for anything negative to actually grow out of it. Frankly, didn't believe it was an actual black, we have a history of trell accounts, like one started by one of our own moderators - ""the fascist jew"".
</p>
",1,2016-04-02T22:53:08Z,Александр Славрос,5.228.77.158
49,107,"<p>
	Your post has no dox info. If you're worried that your username is linked to other stuff, you have the power to change your own username to something else. That should be a much better fix.
</p>",2170,2016-04-20T19:27:17Z,Zeiger,69.70.181.10
50,107,"<p>
	Also, you have the power to edit your own posts and remove any info you find problematic. Just click the edit button below the post.
</p>",2170,2016-04-20T19:31:50Z,Zeiger,69.70.181.10
51,115,"<p>
	Take it easy, it's just a joke. This thread is pretty gay in general though...
</p>",2170,2016-05-31T23:39:24Z,Zeiger,107.190.45.167
52,122,"<p>
	Alright I saw it &amp; deleted it for you. :)
</p>",2220,2016-07-15T10:52:17Z,Kulturkampf,122.128.200.175
53,132,"
<p>
	We don't ""take down"" posts. I mean, you can always edit it to replace it with a period, I guess.
</p>

<p>
	Why do you even care? You're writing under a pseudonym. Nobody will know who you are. It's not like IM is going to forward your IP adress to britzog. If they ask, we're just going to laugh at them. relax.
</p>
",2170,2016-12-12T17:25:12Z,Zeiger,209.95.51.101
54,132,"<p>
	Zero reason to remove anything here, you had a meetup before the ban, no legal action is possible. And <abbr title=""National Action"">NA</abbr> getting banned isn't going to stop anything so at most this will look cowardly, and you're under a pseudonym like Zeiger said. No reason at all to be worried.
</p>",1,2016-12-12T18:47:03Z,Александр Славрос,5.228.86.255
55,133,"<p>
	You've got to be kidding me
</p>",9668,2016-12-16T02:25:41Z,Николајевић,50.66.175.191
56,132,"<p>
	It's illegal only to maintain <abbr title=""National Action"">NA</abbr> ""membership"" after the 16th, <abbr title=""National Action"">NA</abbr> is not going to be ""hunted down"", it's only illegal to say you are <abbr title=""National Action"">NA</abbr> after this friday, not before.
</p>",1,2016-12-16T02:44:52Z,Александр Славрос,5.228.86.255
57,133,"<p>
	No it isn't you fucking tard. The ban is not retroactive.
</p>",7,2016-12-16T15:10:26Z,MoonmanKKK,82.1.34.207
58,134,"<p>
	Are you serious?
</p>",1,2017-01-06T03:01:12Z,Александр Славрос,5.228.86.255
59,134,"<p>
	If you dont want people to know who you are start by not giving them your first and last name
</p>",9668,2017-01-06T04:15:18Z,Николајевић,50.66.175.191
60,139,"<p>
	So what then, you want the topic deleted or moved?
</p>",1,2017-02-05T16:22:16Z,Александр Славрос,5.228.86.255
61,142,"<p>
	That's the product of the combination of constantly cutting out internet connection and phoneposting, Ive already said quite a few times it wasn't intentional, but I will clean it up even further if it will sooth your autism
</p>",9668,2017-02-26T18:12:57Z,Николајевић,172.103.195.66
62,149,"<p>
	<img alt=""crybaby.jpg"" class=""ipsImage"" src=""https://mashbang.files.wordpress.com/2016/11/crybaby.jpg"" /><br /><br />
	report resolved, stop being so sensative 
</p>",9288,2017-03-31T12:37:15Z,Змајевит,141.0.13.214
63,153,"<p>
	low level autism like that doesnt deserve to be reported, just bully him
</p>",9668,2017-04-04T00:47:28Z,Николајевић,172.103.195.66
64,155,"<p>
	You don't have to report yourself, especially for something so trivial
</p>",9668,2017-04-07T04:53:19Z,Николајевић,172.103.195.66
65,157,"<p>
	I agree, wasn't constructive at all 
</p>",9668,2017-05-14T20:12:25Z,Николајевић,172.103.195.66
66,168,"<p>
	Your report has been noted.
</p>",9288,2017-07-27T19:06:49Z,Змајевит,107.167.108.182
67,172,<strong>Updated the status</strong> of the report to <strong>Complete</strong>,1,2017-08-08T08:21:03Z,Александр Славрос,5.228.86.255
68,173,<strong>Updated the status</strong> of the report to <strong>Complete</strong>,1,2017-09-20T21:00:44Z,Александр Славрос,5.228.78.239
69,174,<strong>Updated the status</strong> of the report to <strong>Complete</strong>,1,2017-09-25T08:35:49Z,Александр Славрос,5.228.80.36
70,177,<strong>Updated the status</strong> of the report to <strong>Complete</strong>,9668,2017-09-29T02:41:04Z,Николајевић,172.103.195.66
71,176,<strong>Updated the status</strong> of the report to <strong>Complete</strong>,9668,2017-09-29T02:41:17Z,Николајевић,172.103.195.66
72,175,<strong>Updated the status</strong> of the report to <strong>Complete</strong>,9668,2017-09-29T02:41:28Z,Николајевић,172.103.195.66
73,174,"<p>
	""He hurt my feelings"" isnt a reason to report something
</p>",9668,2017-10-01T20:14:50Z,Николајевић,172.103.195.66
74,174,<strong>Updated the status</strong> of the report to <strong>Complete</strong>,9668,2017-10-01T20:14:54Z,Николајевић,172.103.195.66
75,178,<strong>Updated the status</strong> of the report to <strong>Complete</strong>,9668,2017-10-01T20:15:47Z,Николајевић,172.103.195.66
76,179,<strong>Updated the status</strong> of the report to <strong>Complete</strong>,9668,2017-10-01T20:15:57Z,Николајевић,172.103.195.66
77,180,"<p>
	What the fuck was this reported for?
</p>",9668,2017-10-17T21:48:49Z,Николајевић,162.158.146.11
78,180,<strong>Updated the status</strong> of the report to <strong>Complete</strong>,9668,2017-10-17T21:49:03Z,Николајевић,162.158.146.11
79,181,<strong>Updated the status</strong> of the report to <strong>Complete</strong>,1,2017-10-21T17:49:18Z,Александр Славрос,162.158.91.198
