id,topics,posts,last_post,last_poster_id,last_poster_name,name,description,position,use_ibc,last_title,last_id,sort_key,sort_order,prune,topicfilter,show_rules,allow_poll,allow_pollbump,inc_postcount,skin_id,parent_id,notify_modq_emails,sub_can_post,permission_showtopic,forum_allow_rating,forum_last_deletion,newest_title,newest_id,can_view_others,name_seo,seo_last_title,seo_last_name,last_x_topic_ids,deleted_topics,viglink
19,12,133,2015-01-09T21:25:45Z,8982,Testudo,Italian Fascist Regime,"Discuss Italian Fascism, Benito Mussolini, and the history of Fascist Italy from 1922 to 1943.",1,TRUE,Mussolini&#39;s last interview. (Short extract),4666,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,37,0,TRUE,FALSE,FALSE,1415208861,Mussolini&#39;s last interview. (Short extract),4666,TRUE,italian-fascist-regime,mussolinis-last-interview-short-extract,testudo,"a:5:{i:4666;s:10:""1420775479"";i:4333;s:10:""1412122794"";i:4279;s:10:""1410634744"";i:3974;s:10:""1400376997"";i:2557;s:10:""1370874585"";}",FALSE,FALSE
20,12,76,2015-05-30T03:52:27Z,9149,Oskar Dirlewanger Fan,Spanish Falangism ,Discuss Falangism and the Spanish State under Franco from 1939 to 1975.,1,TRUE,Falangism and fascism,5009,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,76,0,TRUE,FALSE,FALSE,1401394174,Falangism and fascism,5009,TRUE,spanish-falangism,falangism-and-fascism,oskar-dirlewanger-fan,"a:5:{i:5009;s:10:""1427639913"";i:3641;s:10:""1393355436"";i:2545;s:10:""1370640356"";i:2460;s:10:""1369376636"";i:2454;s:10:""1369260597"";}",FALSE,FALSE
162,10,92,2016-03-17T03:37:36Z,9571,Captain Oakleaf,Urban Exploration Club,,162,TRUE,Summit Charter School for the Fucking Retarded.,5172,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,160,0,TRUE,FALSE,FALSE,1427405278,Summit Charter School for the Fucking Retarded.,5172,TRUE,urban-exploration-club,summit-charter-school-for-the-fucking-retarded,captain-oakleaf,"a:5:{i:5172;s:10:""1431924255"";i:5170;s:10:""1431842549"";i:5164;s:10:""1431764814"";i:5079;s:10:""1429624431"";i:5053;s:10:""1428711760"";}",FALSE,FALSE
153,3,147,2016-03-18T19:40:23Z,9304,TheWeissewolfe,Baltic States,"Forum for Estonian, Latvian and Lithuanian fascists.",2,TRUE,SKYDAS - Lithuania,6219,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,36,0,TRUE,FALSE,FALSE,1427355345,SKYDAS - Lithuania,6219,TRUE,baltic-states,skydas-lithuania,theweissewolfe,"a:3:{i:6219;s:10:""1458330023"";i:6092;s:10:""1455741372"";i:715;s:10:""1331921756"";}",FALSE,FALSE
109,24,200,2015-12-17T01:18:47Z,9780,Zeroangle,Antimony Group,Fascist Research Center.,5,TRUE,(AG) General Discussions,4830,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,31,0,TRUE,FALSE,FALSE,1431675449,[HAR] Hyperborean Anthropology Research,5729,TRUE,antimony-group,ag-general-discussions,zeroangle,"a:5:{i:5729;s:10:""1446714159"";i:5313;s:10:""1435435606"";i:5280;s:10:""1434300894"";i:5264;s:10:""1433989734"";i:5160;s:10:""1431651622"";}",FALSE,FALSE
160,16,169,2016-03-15T22:30:07Z,9950,Schmiss,IM Outdoors Club,Adventure awaits!,160,TRUE,IM Dandy Club,4276,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,104,0,TRUE,FALSE,FALSE,1434746442,Urban exploring and fascist brootherhood in Vz,6107,TRUE,im-outdoors-club,im-dandy-club,schmiss,"a:5:{i:6107;s:10:""1456106358"";i:5925;s:10:""1451569298"";i:5851;s:10:""1449276289"";i:5660;s:10:""1445045574"";i:5614;s:10:""1443708768"";}",FALSE,FALSE
24,24,558,2016-02-26T12:04:37Z,9910,BlÃ¶der Igel,Geopolitics,Discussions of geopolitics and international relations.,10,TRUE,Brexit (Britain leaving EU) Y/N?,6118,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,14,0,TRUE,FALSE,FALSE,1453103056,Brexit (Britain leaving EU) Y/N?,6118,TRUE,geopolitics,brexit-britain-leaving-eu-yn,bl%c3%b6der-igel,"a:5:{i:6118;s:10:""1456410439"";i:5892;s:10:""1450631302"";i:5802;s:10:""1448043092"";i:5736;s:10:""1446796975"";i:5699;s:10:""1445869957"";}",FALSE,FALSE
25,57,1318,2016-02-10T08:33:57Z,6269,Another American,Economics,Fascism and economic theories.,13,TRUE,Paul J. Watson on Corporatism and Capitalism. Where&#39;s the catch?,6051,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,14,0,TRUE,FALSE,FALSE,1383520148,Paul J. Watson on Corporatism and Capitalism. Where&#39;s the catch?,6051,TRUE,economics,paul-j-watson-on-corporatism-and-capitalism-wheres-the-catch,another-american,"a:5:{i:6051;s:10:""1455002059"";i:5965;s:10:""1453057956"";i:5963;s:10:""1452952588"";i:5797;s:10:""1448010261"";i:5507;s:10:""1442386169"";}",FALSE,FALSE
26,89,2868,2016-03-11T01:26:01Z,9149,Oskar Dirlewanger Fan,Social & Cultural Issues,"Sociological discussions, social policies, cultural matters.",12,TRUE,Anti-Intellectualism {V2.0},968,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,14,0,TRUE,FALSE,FALSE,1457398523,Premarital Sex,5778,TRUE,social-cultural-issues,anti-intellectualism-v20,oskar-dirlewanger-fan,"a:5:{i:5778;s:10:""1447612217"";i:5767;s:10:""1447366612"";i:5738;s:10:""1446802903"";i:5723;s:10:""1446510404"";i:5281;s:10:""1434351771"";}",FALSE,FALSE
30,75,11615,2016-03-21T06:06:28Z,9940,kreator,Against the Modern World,"Discussions and criticism of ""modern"" society, its hypocrisy and pseudo-values.",1,TRUE,Liberal Degeneration,3751,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,31,0,TRUE,FALSE,FALSE,1456076531,Modern indulgence in the self,6182,TRUE,against-the-modern-world,liberal-degeneration,kreator,"a:5:{i:6182;s:10:""1457586369"";i:6004;s:10:""1454182075"";i:5585;s:10:""1443224016"";i:5298;s:10:""1434827189"";i:5152;s:10:""1431472844"";}",FALSE,FALSE
31,0,0,,0,,Fascist Alma Mater,"Fascist research, theory, activism and criticism of the Modern World.",5,TRUE,,0,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,17,0,FALSE,FALSE,FALSE,1394558585,,0,TRUE,fascist-alma-mater,,,a:0:{},FALSE,FALSE
33,10,169,2015-02-03T12:11:47Z,1558,Noidberg,Archive Project Central,Planned operation for the mass dissemination and proliferation of material for educational purposes.,2,TRUE,The Red Pills of Zion: Archives of Truth,4761,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,169,0,TRUE,FALSE,FALSE,1379338898,The Red Pills of Zion: Archives of Truth,4761,TRUE,archive-project-central,the-red-pills-of-zion-archives-of-truth,noidberg,"a:5:{i:4761;s:10:""1422925274"";i:4097;s:10:""1403258468"";i:3596;s:10:""1392489322"";i:430;s:10:""1324764595"";i:332;s:10:""1322107550"";}",FALSE,FALSE
34,95,524,2016-02-17T05:29:29Z,6144,calvinist-fascist,External Materials Archive,Host and read primary material that is of academic interest to our community.,3,TRUE,Kai Murros - Revolution and How to Do It in a Modern Society,6084,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,169,0,TRUE,FALSE,FALSE,1445583562,The Education Of An Evil Genius - Gerhard Lauck,6086,TRUE,external-materials-archive,kai-murros-revolution-and-how-to-do-it-in-a-modern-society,calvinist-fascist,"a:5:{i:6086;s:10:""1455656837"";i:6084;s:10:""1455649752"";i:6069;s:10:""1455439882"";i:5956;s:10:""1452815419"";i:5694;s:10:""1445809190"";}",FALSE,FALSE
35,11,336,2016-03-09T02:16:47Z,9149,Oskar Dirlewanger Fan,Members Material Archive,Journals and other major projects produced by members of the Iron March community.,4,TRUE,A Squire&#39;s Trial,5492,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,169,0,TRUE,FALSE,FALSE,1445583562,A Squire&#39;s Trial,5492,TRUE,members-material-archive,a-squires-trial,oskar-dirlewanger-fan,"a:5:{i:5492;s:10:""1442148836"";i:4898;s:10:""1425260674"";i:5007;s:10:""1424368722"";i:4100;s:10:""1403429259"";i:4094;s:10:""1403086309"";}",FALSE,FALSE
36,16,362,2016-02-19T22:30:42Z,9334,Ð¡Ð²Ð¸Ð½ÑÐº,Fascism by region & country,Region and country subforums for members of all nations in our community.,3,TRUE,Based Heroic Bulgarian Man Single handedly Arrests Dozens of Rapefugees,6094,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,17,0,TRUE,FALSE,FALSE,1433002769,Based Heroic Bulgarian Man Single handedly Arrests Dozens of Rapefugees,6094,TRUE,fascism-by-region-country,based-heroic-bulgarian-man-single-handedly-arrests-dozens-of-rapefugees,%d1%81%d0%b2%d0%b8%d0%bd%d1%81%d0%ba,"a:5:{i:6094;s:10:""1455816752"";i:4983;s:10:""1427358389"";i:4977;s:10:""1427281742"";i:3934;s:10:""1399752595"";i:3700;s:10:""1393951299"";}",FALSE,FALSE
37,6,121,2016-03-09T00:12:34Z,9792,schwarzesonne666,Italia,Forum for Fascists residing in Italy.,12,TRUE,Italy: Homeless Italian man dies of cold in a cardboard box home next to 4-star hotel housing &#34;refugees&#34;,6027,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,36,0,TRUE,FALSE,FALSE,1454496619,"Palermo, Sicily: Nigerian invaders harass kids, angry mob sets their house on fire",6152,TRUE,italia,italy-homeless-italian-man-dies-of-cold-in-a-cardboard-box-home-next-to-4-star-hotel-housing-refugees,schwarzesonne666,"a:5:{i:6152;s:10:""1457189029"";i:6027;s:10:""1454495473"";i:5565;s:10:""1443059552"";i:4956;s:10:""1426777630"";i:386;s:10:""1324030965"";}",FALSE,TRUE
38,40,762,2016-03-04T07:02:36Z,6260,Haggis,United Kingdom,Forum for Fascists from the U.K.,19,TRUE,United Kingdom Event - LEGION Martial Arts Event March 18-20,6147,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,36,0,TRUE,FALSE,FALSE,1448039115,United Kingdom Event - LEGION Martial Arts Event March 18-20,6147,TRUE,united-kingdom,united-kingdom-event-legion-martial-arts-event-march-18-20,haggis,"a:5:{i:6147;s:10:""1457018283"";i:6018;s:10:""1454386543"";i:5798;s:10:""1448025182"";i:5184;s:10:""1432157811"";i:5097;s:10:""1430314691"";}",FALSE,TRUE
39,20,149,2016-02-08T11:11:08Z,9792,schwarzesonne666,Ã‰ire,Forum for Irish Fascists.,7,TRUE,Sinn Fein highest in the polls,4538,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,36,0,TRUE,FALSE,FALSE,1432394033,New Irish Nationalist Party &#39;The Celtic People&#39;s Party of Ireland&#39;,5504,TRUE,%c3%a9ire,sinn-fein-highest-in-the-polls,schwarzesonne666,"a:5:{i:5504;s:10:""1442336235"";i:5198;s:10:""1432392102"";i:4538;s:10:""1418067862"";i:4219;s:10:""1408226684"";i:2812;s:10:""1376735680"";}",FALSE,TRUE
40,12,82,2016-03-08T21:16:12Z,9916,Canadian StormTrooper,Deutschland & Austria,Forum fÃ¼r Deutsche und Ã–sterreich Faschisten.,6,TRUE,Attacks in East Germany Blamed on Far-Right Guerillas,6168,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,36,0,TRUE,FALSE,FALSE,0,Attacks in East Germany Blamed on Far-Right Guerillas,6168,TRUE,deutschland-austria,attacks-in-east-germany-blamed-on-far-right-guerillas,canadian-stormtrooper,"a:5:{i:6168;s:10:""1457452726"";i:6146;s:10:""1457006741"";i:5106;s:10:""1430607897"";i:4870;s:10:""1424483566"";i:2682;s:10:""1374599849"";}",FALSE,FALSE
125,0,0,,0,,Kalakukko Bunker,Private sub for talking shop and activism.,3,TRUE,,,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,73,0,TRUE,FALSE,FALSE,0,,0,TRUE,kalakukko-bunker,,,,FALSE,FALSE
126,0,0,,0,,Mititei Bunker,Private sub for talking shop and activism.,2,TRUE,,,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,46,0,TRUE,FALSE,FALSE,0,,0,TRUE,mititei-bunker,,,,FALSE,FALSE
122,0,0,,0,,Herring Bunker,Private sub for talking shop and activism.,3,TRUE,,,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,121,0,TRUE,FALSE,FALSE,0,,0,TRUE,herring-bunker,,,,FALSE,FALSE
123,0,0,,0,,Cabbage Bunker,Private sub for talking shop and activism.,2,TRUE,,,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,63,0,TRUE,FALSE,FALSE,0,,0,TRUE,cabbage-bunker,,,,FALSE,FALSE
124,1,1,2015-10-19T04:34:21Z,9668,ÐÐ¸ÐºÐ¾Ð»Ð°Ñ˜ÐµÐ²Ð¸Ñ›,Borsh Bunker,Private sub for talking shop and activism.,3,TRUE,Ð ÑƒÑÑÐºÐ¸Ðµ ÐœÐ°Ð³Ð°Ð·Ð¸Ð½Ñ‹,5651,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,44,0,TRUE,FALSE,FALSE,0,Ð ÑƒÑÑÐºÐ¸Ðµ ÐœÐ°Ð³Ð°Ð·Ð¸Ð½Ñ‹,5651,TRUE,borsh-bunker,%d1%80%d1%83%d1%81%d1%81%d0%ba%d0%b8%d0%b5-%d0%bc%d0%b0%d0%b3%d0%b0%d0%b7%d0%b8%d0%bd%d1%8b,%d0%bd%d0%b8%d0%ba%d0%be%d0%bb%d0%b0%d1%98%d0%b5%d0%b2%d0%b8%d1%9b,"a:1:{i:5651;s:10:""1444731478"";}",FALSE,FALSE
43,4,25,2015-05-30T00:54:03Z,9388,liebling,Nederland,Forum voor Nederlandse Fascisten.,13,TRUE,Bibliotheek van Nederlandstalige Literatuur,5156,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,36,0,TRUE,FALSE,FALSE,1457549998,Bibliotheek van Nederlandstalige Literatuur,5156,TRUE,nederland,bibliotheek-van-nederlandstalige-literatuur,liebling,"a:4:{i:5156;s:10:""1431548074"";i:681;s:10:""1331036258"";i:680;s:10:""1331032905"";i:512;s:10:""1327762965"";}",FALSE,TRUE
44,49,489,2016-02-05T20:54:32Z,6269,Another American,Ð Ð¾ÑÑÑ‹,"Ð¤Ð¾Ñ€ÑƒÐ¼ Ð´Ð»Ñ Ð¤Ð°ÑˆÐ¸ÑÑ‚Ð¾Ð² Ð’ÐµÐ»Ð¸ÐºÐ¾Ñ€Ð¾ÑÑÐ¾Ð², ÐœÐ°Ð»Ð¾Ñ€Ð¾ÑÑÐ¾Ð² Ð¸ Ð‘ÐµÐ»Ð¾Ñ€Ð¾ÑÑÐ¾Ð².",15,TRUE,"Refugees Go Clubbing In Russia, Harass Girls, Wake Up In Hospital The Next Morning",6032,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,36,0,TRUE,FALSE,FALSE,1427355140,"Refugees Go Clubbing In Russia, Harass Girls, Wake Up In Hospital The Next Morning",6032,TRUE,%d1%80%d0%be%d1%81%d1%81%d1%8b,refugees-go-clubbing-in-russia-harass-girls-wake-up-in-hospital-the-next-morning,another-american,"a:5:{i:6032;s:10:""1454649856"";i:5720;s:10:""1446410995"";i:5684;s:10:""1445540935"";i:5675;s:10:""1445405502"";i:5650;s:10:""1444696896"";}",FALSE,FALSE
45,92,2584,2016-03-11T18:47:38Z,9940,kreator,United States of America,Forum for American Fascists.,20,TRUE,American Futurism Workshop,3805,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,36,0,TRUE,FALSE,FALSE,1448387415,Misanthropic Vinland,6075,TRUE,united-states-of-america,american-futurism-workshop,kreator,"a:5:{i:6075;s:10:""1455555052"";i:6046;s:10:""1454964496"";i:6024;s:10:""1454466149"";i:5915;s:10:""1451385525"";i:5818;s:10:""1448387277"";}",FALSE,TRUE
46,5,22,2016-01-20T23:05:00Z,9606,TGV,RomÃ¢nia & Moldova,Forum pentru fasciÈ™ti RomÃ¢ni È™i Moldoveni.,16,TRUE,24 Ianuarie,5975,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,36,0,TRUE,FALSE,FALSE,1328881003,24 Ianuarie,5975,TRUE,rom%c3%a2nia-moldova,24-ianuarie,tgv,"a:5:{i:5975;s:10:""1453328448"";i:5288;s:10:""1434547782"";i:5287;s:10:""1434547559"";i:5245;s:10:""1433492367"";i:947;s:10:""1336972317"";}",FALSE,FALSE
56,0,0,,0,,Concentration Camp,,56,TRUE,,,,,0,,,FALSE,FALSE,FALSE,,-1,,FALSE,TRUE,FALSE,0,,0,TRUE,concentration-camp,,,,FALSE,FALSE
60,102,5283,2016-02-20T05:57:30Z,9679,Vinokura,The Showers,They come in but they don't come out.,6,TRUE,Curious about fascism.,6082,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,56,0,TRUE,FALSE,FALSE,1455663777,Curious about fascism.,6082,TRUE,the-showers,curious-about-fascism,vinokura,"a:5:{i:6082;s:10:""1455635401"";i:6065;s:10:""1455342728"";i:6002;s:10:""1453842175"";i:5918;s:10:""1451422486"";i:5894;s:10:""1450707430"";}",FALSE,FALSE
91,21,222,2015-12-20T15:23:21Z,9482,h8chanz,Security,Discussions of real life and web activism security.,7,TRUE,volknet,5886,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,14,0,TRUE,FALSE,FALSE,1432815634,volknet,5886,TRUE,security,volknet,h8chanz,"a:5:{i:5886;s:10:""1450366287"";i:5474;s:10:""1441299908"";i:5460;s:10:""1441033667"";i:5369;s:10:""1437452223"";i:5349;s:10:""1436853939"";}",FALSE,FALSE
61,59,541,2016-03-19T02:06:12Z,9482,h8chanz,Tech Support,Report any issues you encountered with the forum here.,5,TRUE,Suggestion: Iron March shop,5070,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,1,0,TRUE,FALSE,FALSE,1450145506,Books of 2015-2016 Anniversary,5677,TRUE,tech-support,suggestion-iron-march-shop,h8chanz,"a:5:{i:5677;s:10:""1445436612"";i:5348;s:10:""1436850589"";i:5203;s:10:""1432446321"";i:5175;s:10:""1432050734"";i:5171;s:10:""1431857786"";}",FALSE,TRUE
62,117,533,2016-03-18T02:51:45Z,9304,TheWeissewolfe,Documentaries,"Post political, historical, military documentaries here.",2,TRUE,Crime without punishment - 17.3.2004 Pogrom,6211,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,96,0,TRUE,FALSE,FALSE,1456592990,Crime without punishment - 17.3.2004 Pogrom,6211,TRUE,documentaries,crime-without-punishment-1732004-pogrom,theweissewolfe,"a:5:{i:6211;s:10:""1458241714"";i:6179;s:10:""1457548006"";i:6151;s:10:""1457142405"";i:6123;s:10:""1456498644"";i:6115;s:10:""1456265856"";}",FALSE,FALSE
63,8,54,2016-03-08T18:35:11Z,7504,Krsnik,Polska,Forum dla Polskich FaszystÃ³w,14,TRUE,"Oy Vey&#33;; Poles Around the Globe Rally Against Marxism, Jewish Media Terrified",6167,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,36,0,TRUE,FALSE,FALSE,1427521025,"Oy Vey&#33;; Poles Around the Globe Rally Against Marxism, Jewish Media Terrified",6167,TRUE,polska,oy-vey-poles-around-the-globe-rally-against-marxism-jewish-media-terrified,krsnik,"a:5:{i:6167;s:10:""1457452545"";i:6056;s:10:""1455107510"";i:5416;s:10:""1439279595"";i:4865;s:10:""1424372104"";i:2801;s:10:""1376425147"";}",FALSE,TRUE
64,32,820,2016-03-14T22:16:24Z,9916,Canadian StormTrooper,Militarism,"For discussing weapons, tactics and other such topics.",8,TRUE,The Greatest Slavic Invention?,5185,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,14,0,TRUE,FALSE,FALSE,1457764923,The Myth of National Socialist Gun Control [1928-1945],5966,TRUE,militarism,the-greatest-slavic-invention,canadian-stormtrooper,"a:5:{i:5966;s:10:""1453099734"";i:5863;s:10:""1449704610"";i:5805;s:10:""1448115526"";i:5628;s:10:""1444087239"";i:5185;s:10:""1432171668"";}",FALSE,TRUE
