mt_id,mt_date,mt_title,mt_starter_id,mt_start_time,mt_last_post_time,mt_to_count,mt_to_member_id,mt_replies,mt_first_msg_id,mt_is_draft,mt_is_deleted
45,2011-10-25T13:21:31Z,Collaboration/Skype,3,2011-10-25T13:21:31Z,2011-10-27T21:46:54Z,2,8,3,127,FALSE,FALSE
990,2012-11-17T21:49:11Z,Article for Reaktion 5,91,2012-11-17T21:49:10Z,2012-11-17T21:49:10Z,1,35,0,4099,FALSE,FALSE
47,2011-10-27T23:49:21Z,Thanks,11,2011-10-27T23:49:21Z,2011-10-28T06:21:24Z,1,7,1,142,FALSE,FALSE
48,2011-10-30T00:06:25Z,hey,35,2011-10-30T00:06:25Z,2011-10-30T11:25:58Z,1,4,1,144,FALSE,TRUE
50,2011-10-30T00:51:56Z,hi,35,2011-10-30T00:51:55Z,2011-11-01T08:56:13Z,1,54,7,146,FALSE,TRUE
51,2011-10-30T00:52:07Z,hey,35,2011-10-30T00:52:07Z,2011-11-07T03:18:03Z,1,62,4,147,FALSE,TRUE
52,2011-10-30T00:52:31Z,oi&#33;,35,2011-10-30T00:52:31Z,2011-11-02T01:52:24Z,1,61,3,148,FALSE,TRUE
448,2012-06-22T00:15:49Z,Volkstaat,0,2012-06-22T00:15:49Z,2012-08-09T18:03:01Z,2,158,7,1766,FALSE,FALSE
53,2011-10-31T17:11:58Z,Introductions are important,1,2011-10-31T17:11:58Z,2011-10-31T17:11:58Z,1,65,0,154,FALSE,TRUE
84,2011-12-17T22:17:10Z,"Flamed, and deletion of my post.",89,2011-12-17T22:17:10Z,2011-12-18T19:29:19Z,2,14,4,271,FALSE,FALSE
87,2011-12-19T15:48:05Z,Hello,89,2011-12-19T15:48:04Z,2011-12-19T19:44:17Z,2,9,5,282,FALSE,FALSE
56,2011-11-01T22:27:06Z,Pointless question,44,2011-11-01T22:27:06Z,2011-11-02T15:12:06Z,2,11,1,175,FALSE,FALSE
57,2011-11-02T06:42:01Z,Question,35,2011-11-02T06:42:01Z,2011-11-02T23:23:12Z,1,2,3,178,FALSE,TRUE
1482,2013-01-23T21:14:15Z,exif,274,2013-01-23T21:14:14Z,2013-01-25T05:31:51Z,1,288,6,5253,FALSE,FALSE
61,2011-11-06T17:43:30Z,Introduction.,9,2011-11-06T17:43:30Z,2011-11-06T17:43:30Z,1,72,0,192,FALSE,FALSE
1675,2013-05-06T07:00:17Z,response,2820,2013-05-06T07:00:17Z,2013-05-06T07:28:02Z,1,1,2,6109,FALSE,FALSE
64,2011-11-08T02:41:32Z,mushi mushi,23,2011-11-08T02:41:32Z,2011-11-09T15:43:20Z,2,11,3,196,FALSE,FALSE
65,2011-11-08T17:40:48Z,New computer?,3,2011-11-08T17:40:48Z,2011-11-10T19:42:23Z,1,1,4,198,FALSE,FALSE
66,2011-11-09T08:48:24Z,Hi,13,2011-11-09T08:48:24Z,2011-11-09T21:59:00Z,1,1,2,202,FALSE,FALSE
67,2011-11-10T01:00:48Z,Precise Location,14,2011-11-10T01:00:47Z,2011-11-10T19:36:04Z,2,3,4,206,FALSE,FALSE
68,2011-11-13T01:13:53Z,Hey,14,2011-11-13T01:13:53Z,2011-12-05T21:11:28Z,2,8,5,214,FALSE,FALSE
69,2011-11-13T16:13:29Z,Help,14,2011-11-13T16:13:28Z,2011-11-13T17:49:06Z,2,54,1,217,FALSE,FALSE
71,2011-11-14T17:43:24Z,Section Leader,9,2011-11-14T17:43:24Z,2011-11-14T21:12:59Z,1,7,1,220,FALSE,FALSE
1025,2012-11-27T05:16:37Z,Hey,130,2012-11-27T05:16:37Z,2012-11-27T06:19:24Z,1,2037,5,4211,FALSE,TRUE
72,2011-11-19T13:17:35Z,Hello,35,2011-11-19T13:17:35Z,2011-12-15T01:23:49Z,1,14,9,222,FALSE,TRUE
74,2011-11-24T13:52:02Z,Hello,35,2011-11-24T13:52:01Z,2011-11-24T13:58:22Z,1,54,1,229,FALSE,TRUE
445,2012-06-20T22:15:39Z,Hello,0,2012-06-20T22:15:39Z,2012-06-20T23:13:55Z,2,146,9,1738,FALSE,FALSE
76,2011-11-26T01:23:27Z,"Welcome, comrade&#33;",14,2011-11-26T01:23:26Z,2011-12-02T05:31:30Z,1,0,1,236,FALSE,FALSE
85,2011-12-17T22:21:51Z,Hello,89,2011-12-17T22:21:50Z,2011-12-18T19:52:53Z,1,7,1,272,FALSE,FALSE
79,2011-11-29T06:17:39Z,hello,35,2011-11-29T06:17:39Z,2011-11-29T19:08:03Z,1,4,1,241,FALSE,TRUE
896,2012-10-05T08:16:02Z,Greetings,563,2012-10-05T08:16:02Z,2012-10-05T16:48:39Z,2,1014,2,3745,FALSE,FALSE
86,2011-12-18T03:58:52Z,Regarding your Warning,14,2011-12-18T03:58:52Z,2011-12-18T16:40:16Z,1,49,3,274,FALSE,FALSE
80,2011-12-03T21:58:13Z,The Integralist Party,0,2011-12-03T21:58:13Z,2011-12-12T04:10:00Z,1,7,6,250,FALSE,FALSE
81,2011-12-08T04:48:29Z,Hello,35,2011-12-08T04:48:28Z,2011-12-08T04:48:28Z,1,84,0,256,FALSE,TRUE
265,2012-03-05T21:43:27Z,Hi,0,2012-03-05T21:43:25Z,2012-03-05T21:44:27Z,2,4,1,904,FALSE,FALSE
83,2011-12-17T13:35:00Z,greetings,7,2011-12-17T13:35:00Z,2011-12-17T14:45:38Z,1,89,1,268,FALSE,TRUE
90,2011-12-20T22:12:23Z,A proposition,89,2011-12-20T22:12:23Z,2011-12-21T02:49:09Z,1,49,1,291,FALSE,FALSE
91,2011-12-22T07:37:02Z,Reaktion,23,2011-12-22T07:37:02Z,2012-01-04T05:32:52Z,1,35,3,295,FALSE,FALSE
92,2011-12-22T11:41:50Z,Reaktion,35,2011-12-22T11:41:50Z,2011-12-25T14:24:41Z,1,14,4,297,FALSE,TRUE
93,2011-12-23T13:27:00Z,Propaganda ,89,2011-12-23T13:27:00Z,2011-12-23T13:27:00Z,2,13,0,300,FALSE,FALSE
94,2011-12-23T13:27:30Z,Propaganda,89,2011-12-23T13:27:30Z,2011-12-23T20:06:15Z,2,13,1,301,FALSE,FALSE
95,2011-12-23T20:09:49Z,PM,89,2011-12-23T20:09:49Z,2012-01-25T20:40:43Z,1,1,20,303,FALSE,FALSE
96,2011-12-23T20:47:46Z,Ethno Nationalist,67,2011-12-23T20:47:46Z,2011-12-24T16:34:41Z,1,9,2,304,FALSE,TRUE
97,2011-12-24T01:59:20Z,-,14,2011-12-24T01:59:20Z,2011-12-24T02:49:25Z,1,49,5,307,FALSE,FALSE
99,2011-12-24T12:48:27Z,Doriot,7,2011-12-24T12:48:26Z,2011-12-26T15:18:13Z,1,9,3,319,FALSE,TRUE
100,2011-12-24T20:54:30Z,Orthodox Nationalist,3,2011-12-24T20:54:30Z,2011-12-24T20:54:30Z,1,35,0,327,FALSE,FALSE
101,2011-12-25T02:19:44Z,A reminder.,11,2011-12-25T02:19:44Z,2011-12-26T12:51:34Z,2,9,2,331,FALSE,FALSE
264,2012-03-05T19:23:55Z,Conference,14,2012-03-05T19:23:55Z,2012-03-05T19:23:55Z,1,108,0,903,FALSE,TRUE
103,2011-12-25T15:53:18Z,Warns,14,2011-12-25T15:51:38Z,2011-12-26T10:17:24Z,2,9,1,337,FALSE,FALSE
707,2012-09-04T03:52:10Z,Empire,130,2012-09-04T03:52:10Z,2012-09-06T03:58:08Z,1,663,10,3236,FALSE,TRUE
105,2011-12-26T18:11:32Z,your comments on &#39;might makes right&#39;,0,2011-12-26T18:11:31Z,2011-12-26T19:02:28Z,1,84,1,345,FALSE,TRUE
106,2011-12-26T19:10:52Z,So,14,2011-12-26T19:10:51Z,2011-12-26T19:10:51Z,1,0,0,347,FALSE,FALSE
107,2011-12-26T19:46:33Z,Well.,11,2011-12-26T19:46:32Z,2011-12-26T19:46:32Z,2,14,0,348,FALSE,FALSE
263,2012-03-05T14:34:31Z,archive,7,2012-03-05T14:34:31Z,2012-03-05T15:52:10Z,1,4,2,900,FALSE,TRUE
109,2011-12-29T21:27:16Z,"you, the NSP, and SP forum",0,2011-12-29T21:27:16Z,2011-12-31T18:01:19Z,2,91,4,350,FALSE,FALSE
1476,2013-01-21T16:44:25Z,a Quote.,0,2013-01-21T16:44:25Z,2013-01-21T18:38:53Z,2,130,1,5228,FALSE,FALSE
111,2012-01-01T01:18:20Z,Skype thingummy,16,2012-01-01T01:18:20Z,2012-01-01T01:23:52Z,1,11,1,358,FALSE,TRUE
112,2012-01-01T01:38:07Z,C&#39;mon c&#39;mon,11,2012-01-01T01:38:07Z,2012-01-01T01:38:07Z,1,16,0,360,FALSE,FALSE
113,2012-01-01T01:56:51Z,Party,11,2012-01-01T01:56:51Z,2012-01-01T02:26:45Z,2,5,2,361,FALSE,FALSE
114,2012-01-02T00:03:17Z,Concerning Etho Nationalist,14,2012-01-02T00:03:17Z,2012-01-02T00:03:17Z,1,1,0,364,FALSE,FALSE
115,2012-01-06T00:52:27Z,Anglo-serb. ,7,2012-01-06T00:52:26Z,2012-01-27T22:54:40Z,1,56,9,366,FALSE,TRUE
706,2012-09-02T21:46:58Z,Thread was locked,274,2012-09-02T21:46:58Z,2012-09-04T02:01:21Z,2,279,6,3228,FALSE,FALSE
118,2012-01-11T14:14:32Z,Counter Currents,3,2012-01-11T14:14:32Z,2012-01-11T14:18:04Z,1,35,1,378,FALSE,FALSE
119,2012-01-11T15:35:52Z,article on Imperium Americana or whatever the fuck it would be,35,2012-01-11T15:35:52Z,2012-01-12T02:45:23Z,1,14,2,380,FALSE,TRUE
120,2012-01-12T12:55:01Z,So..,35,2012-01-12T12:55:01Z,2012-01-12T17:22:05Z,1,54,1,383,FALSE,TRUE
121,2012-01-16T11:47:21Z,Interested in your ideology.,65,2012-01-16T11:47:21Z,2012-01-16T15:14:31Z,2,101,1,385,FALSE,FALSE
122,2012-01-17T11:45:54Z,Propaganda ministry,13,2012-01-17T11:45:54Z,2012-01-17T11:51:46Z,1,49,1,387,FALSE,FALSE
124,2012-01-18T14:03:42Z,Greetings,14,2012-01-18T14:03:41Z,2012-01-18T14:22:38Z,2,108,2,393,FALSE,FALSE
125,2012-01-18T14:53:47Z,FC,14,2012-01-18T14:53:47Z,2012-01-18T14:53:47Z,1,1,0,396,FALSE,FALSE
126,2012-01-18T18:40:00Z,Website,13,2012-01-18T18:40:00Z,2012-01-19T04:14:19Z,1,7,1,397,FALSE,FALSE
127,2012-01-20T17:32:05Z,Hello. ,7,2012-01-20T17:32:00Z,2012-01-21T19:15:23Z,1,114,6,399,FALSE,TRUE
128,2012-01-20T17:54:51Z,Hello,7,2012-01-20T17:52:53Z,2012-01-21T14:56:59Z,1,40,2,400,FALSE,TRUE
129,2012-01-22T01:32:28Z,Reaktion,4,2012-01-22T01:32:28Z,2012-01-22T01:39:48Z,2,108,1,409,FALSE,FALSE
130,2012-01-22T12:29:30Z,Hey,35,2012-01-22T12:29:30Z,2012-01-23T22:05:12Z,1,108,3,411,FALSE,TRUE
131,2012-01-22T14:28:14Z,Dear ferret.,7,2012-01-22T14:28:14Z,2012-02-09T09:07:24Z,1,29,11,412,FALSE,TRUE
132,2012-01-24T17:04:40Z,Mussolini&#39;s Intellectuals: Fascist social and Political thought,114,2012-01-24T17:04:40Z,2012-01-25T12:16:35Z,2,40,2,420,FALSE,FALSE
133,2012-01-25T01:11:18Z,So,14,2012-01-25T01:11:18Z,2012-02-10T14:42:47Z,2,108,9,421,FALSE,FALSE
134,2012-01-25T03:34:04Z,Skype?,3,2012-01-25T03:34:03Z,2012-01-25T16:17:26Z,2,100,3,423,FALSE,FALSE
444,2012-06-20T17:22:23Z,Ho Chi Minh,0,2012-06-20T17:22:23Z,2012-09-06T22:37:23Z,2,72,18,1737,FALSE,FALSE
136,2012-01-25T19:37:16Z,schnell,1,2012-01-25T19:37:16Z,2012-01-25T19:37:16Z,1,89,0,433,FALSE,TRUE
137,2012-01-26T05:23:26Z,I&#39;ve got an idea,65,2012-01-26T05:23:26Z,2012-01-26T17:57:44Z,2,64,1,445,FALSE,FALSE
262,2012-03-05T06:38:27Z,A quick question about &#39;Will to Power&#39;,65,2012-03-05T06:38:27Z,2012-03-05T11:15:00Z,1,1,1,898,FALSE,FALSE
936,2012-10-19T02:31:32Z,I just heard you on The Stark Truth ,1109,2012-10-19T02:31:32Z,2012-10-19T02:31:32Z,1,7,0,3893,FALSE,FALSE
140,2012-01-26T18:12:09Z,A question,19,2012-01-26T18:12:09Z,2012-01-26T19:46:01Z,1,1,5,455,FALSE,FALSE
141,2012-01-27T22:23:11Z,Don&#39;t worry too much.,2,2012-01-27T22:23:11Z,2012-01-30T18:04:28Z,2,19,2,462,FALSE,FALSE
142,2012-01-28T01:14:19Z,Gruss,0,2012-01-28T01:14:19Z,2012-01-28T14:34:58Z,2,100,3,464,FALSE,FALSE
143,2012-01-28T18:03:20Z,I&#39;d like to say,29,2012-01-28T18:03:19Z,2012-01-29T11:57:41Z,2,9,1,469,FALSE,FALSE
144,2012-01-28T19:02:12Z,just so you know,29,2012-01-28T19:02:12Z,2012-01-28T19:59:42Z,2,84,3,470,FALSE,FALSE
145,2012-01-28T23:27:56Z,Concerning Ethno-Nationalist,65,2012-01-28T23:27:56Z,2012-01-28T23:45:52Z,1,1,1,478,FALSE,FALSE
146,2012-01-29T14:38:41Z,Apologies,14,2012-01-29T14:38:41Z,2012-01-29T17:11:32Z,1,49,1,481,FALSE,FALSE
147,2012-01-29T20:16:05Z,Christianity,40,2012-01-29T20:16:05Z,2012-01-30T05:49:57Z,1,0,1,483,FALSE,FALSE
148,2012-01-29T22:05:10Z,Hey,14,2012-01-29T22:05:09Z,2012-02-01T01:26:36Z,2,8,2,484,FALSE,FALSE
149,2012-01-30T01:02:53Z,An idea for greater forum cohesion,65,2012-01-30T01:02:53Z,2012-01-31T12:37:51Z,1,1,3,487,FALSE,FALSE
151,2012-02-02T16:37:25Z,IRC,108,2012-02-02T16:37:25Z,2012-02-02T20:49:07Z,2,1,1,503,FALSE,FALSE
260,2012-03-04T14:21:23Z,Help,19,2012-03-04T14:21:23Z,2012-03-04T14:21:23Z,1,16,0,890,FALSE,FALSE
926,2012-10-13T21:15:42Z,Race,0,2012-10-13T21:15:42Z,2012-10-13T21:25:38Z,2,4,2,3851,FALSE,FALSE
154,2012-02-03T18:02:01Z,Need a translation,2,2012-02-03T18:02:01Z,2012-02-03T18:07:42Z,1,132,3,510,FALSE,FALSE
402,2012-05-22T04:41:37Z,Manifest Destiny in your sig,161,2012-05-22T04:41:37Z,2012-05-22T05:27:18Z,1,2,1,1581,FALSE,TRUE
156,2012-02-04T16:38:18Z,Zigafolk Radio,0,2012-02-04T16:38:18Z,2012-02-05T02:07:31Z,1,1,4,518,FALSE,FALSE
157,2012-02-04T16:38:45Z,Zigafolk Radio,0,2012-02-04T16:38:45Z,2012-02-04T17:12:01Z,2,2,4,519,FALSE,FALSE
443,2012-06-20T13:58:12Z,Zwart Front,91,2012-06-20T13:58:12Z,2012-06-20T15:36:15Z,2,13,2,1734,FALSE,FALSE
159,2012-02-04T16:50:22Z,Skype,3,2012-02-04T16:50:22Z,2012-02-04T16:50:22Z,2,9,0,524,FALSE,FALSE
160,2012-02-04T20:15:31Z,Социал-Монархизм,125,2012-02-04T20:15:31Z,2012-02-05T08:58:26Z,2,53,1,529,FALSE,FALSE
161,2012-02-05T01:38:24Z,Strasserism,7,2012-02-05T01:38:24Z,2012-02-05T02:06:10Z,1,140,2,530,FALSE,TRUE
162,2012-02-05T21:29:41Z,Hello,108,2012-02-05T21:29:39Z,2012-02-05T21:45:00Z,2,84,1,536,FALSE,FALSE
164,2012-02-06T15:00:46Z,Радио,0,2012-02-06T15:00:46Z,2012-02-09T17:54:25Z,1,1,9,539,FALSE,FALSE
266,2012-03-06T01:58:09Z,Pan-Europeanism over here,142,2012-03-06T01:58:08Z,2012-03-19T14:41:23Z,2,140,6,906,FALSE,FALSE
165,2012-02-06T17:18:41Z,Time,14,2012-02-06T17:18:41Z,2012-02-06T17:51:23Z,2,108,3,542,FALSE,FALSE
167,2012-02-08T03:51:04Z,Questions about Finland,142,2012-02-08T03:51:04Z,2012-02-08T05:10:43Z,1,132,1,559,FALSE,FALSE
168,2012-02-08T05:02:28Z,Nationality,142,2012-02-08T05:02:27Z,2012-02-09T10:29:59Z,2,91,3,560,FALSE,FALSE
272,2012-03-09T05:54:06Z,Thanks&#33;,44,2012-03-09T05:54:06Z,2012-03-09T07:11:37Z,1,130,1,923,FALSE,FALSE
169,2012-02-08T15:50:43Z,Conference,14,2012-02-08T15:50:43Z,2012-02-08T15:50:43Z,2,140,0,563,FALSE,FALSE
170,2012-02-08T15:51:27Z,Conference,14,2012-02-08T15:51:27Z,2012-02-08T15:51:27Z,2,134,0,564,FALSE,FALSE
171,2012-02-08T15:51:50Z,Conference,14,2012-02-08T15:51:50Z,2012-02-08T15:51:50Z,2,84,0,565,FALSE,FALSE
172,2012-02-08T15:55:05Z,Conference,14,2012-02-08T15:55:05Z,2012-02-08T19:24:55Z,1,130,2,566,FALSE,FALSE
173,2012-02-08T15:56:37Z,Conference,14,2012-02-08T15:56:37Z,2012-02-08T15:56:37Z,2,3,0,567,FALSE,FALSE
1445,2013-01-06T07:31:21Z,Hey dude,255,2013-01-06T07:31:21Z,2013-01-06T22:23:42Z,2,279,4,5072,FALSE,FALSE
174,2012-02-08T22:12:12Z,Morality,142,2012-02-08T22:12:12Z,2012-02-10T02:34:46Z,1,7,2,570,FALSE,FALSE
175,2012-02-09T21:36:33Z,FascistCapitalist,142,2012-02-09T21:36:32Z,2012-02-11T03:16:05Z,1,35,4,578,FALSE,FALSE
176,2012-02-10T03:13:52Z,Strasserism,142,2012-02-10T03:13:51Z,2012-02-10T21:05:20Z,2,140,4,580,FALSE,FALSE
177,2012-02-10T03:18:00Z,Your ideology,142,2012-02-10T03:18:00Z,2012-02-10T03:18:00Z,2,134,0,581,FALSE,FALSE
178,2012-02-10T03:29:25Z,Just Arrived,0,2012-02-10T03:29:25Z,2012-02-10T16:09:14Z,1,140,2,582,FALSE,TRUE
179,2012-02-10T09:16:34Z,Lost Phone Number.,0,2012-02-10T09:16:34Z,2012-02-11T01:56:49Z,1,35,2,583,FALSE,FALSE
180,2012-02-10T16:17:19Z,WTF?,0,2012-02-10T16:17:19Z,2012-02-11T18:19:35Z,1,140,8,591,FALSE,TRUE
182,2012-02-11T18:28:18Z,Strassite greetings/youtube,140,2012-02-11T18:28:18Z,2012-02-13T22:11:14Z,2,134,2,609,FALSE,FALSE
183,2012-02-11T20:58:33Z,Your topics,1,2012-02-11T20:58:33Z,2012-02-11T22:07:53Z,1,40,1,610,FALSE,TRUE
1468,2013-01-12T15:02:06Z,Operation Igloo Installments,65,2013-01-12T15:02:06Z,2013-01-13T15:08:27Z,1,1,2,5188,FALSE,FALSE
185,2012-02-13T23:19:10Z,Chat,14,2012-02-13T23:19:10Z,2012-02-16T03:23:43Z,2,8,6,616,FALSE,FALSE
1473,2013-01-16T17:06:46Z,American Fascist Symbols,0,2013-01-16T17:06:46Z,2013-01-16T17:38:10Z,1,2,1,5215,FALSE,TRUE
187,2012-02-14T04:53:30Z,Hola,0,2012-02-14T04:53:29Z,2012-02-14T06:02:11Z,2,44,8,622,FALSE,FALSE
188,2012-02-15T20:35:04Z,Hey,14,2012-02-15T20:35:04Z,2012-02-15T20:35:04Z,1,108,0,631,FALSE,TRUE
1004,2012-11-22T01:49:06Z,Hello,1176,2012-11-22T01:49:06Z,2012-11-28T00:19:50Z,1,161,7,4143,FALSE,FALSE
190,2012-02-17T04:39:12Z,Qualified Democracy,142,2012-02-17T04:39:12Z,2012-02-23T07:46:41Z,1,49,12,636,FALSE,FALSE
191,2012-02-18T01:40:10Z,Hola,0,2012-02-18T01:40:10Z,2012-02-18T03:47:56Z,2,44,1,640,FALSE,FALSE
192,2012-02-18T08:03:49Z,Hello,7,2012-02-18T08:03:49Z,2012-02-19T21:54:17Z,1,150,3,642,FALSE,TRUE
193,2012-02-18T12:06:48Z,Eugenics,108,2012-02-18T12:06:47Z,2012-02-20T05:14:50Z,2,142,5,643,FALSE,FALSE
194,2012-02-18T17:34:41Z,Zwart Front,13,2012-02-18T17:34:40Z,2012-02-29T15:24:18Z,2,91,11,645,FALSE,FALSE
195,2012-02-19T15:57:29Z,Probably a daft question,40,2012-02-19T15:57:29Z,2012-02-19T17:20:25Z,1,7,5,656,FALSE,FALSE
196,2012-02-20T08:30:30Z,hey,35,2012-02-20T08:30:29Z,2012-02-20T08:30:29Z,1,108,0,668,FALSE,TRUE
197,2012-02-20T22:15:43Z,Hello,108,2012-02-20T22:15:41Z,2012-02-21T03:39:11Z,2,158,1,672,FALSE,FALSE
198,2012-02-20T22:40:33Z,Your quote,140,2012-02-20T22:40:32Z,2012-02-21T04:01:45Z,2,158,2,673,FALSE,FALSE
199,2012-02-20T22:49:35Z,Saw one of your comments on black people,158,2012-02-20T22:49:35Z,2012-02-20T22:49:35Z,2,40,0,674,FALSE,FALSE
200,2012-02-21T01:42:37Z,I like your ideas,8,2012-02-21T01:42:37Z,2012-02-22T22:25:35Z,2,108,5,675,FALSE,FALSE
201,2012-02-21T02:29:56Z,Welcome,142,2012-02-21T02:29:56Z,2012-02-23T22:26:52Z,2,158,6,677,FALSE,FALSE
202,2012-02-21T04:35:39Z,Regionalism,142,2012-02-21T04:35:38Z,2012-03-15T03:26:10Z,2,159,10,685,FALSE,FALSE
203,2012-02-21T19:40:21Z,Hello,160,2012-02-21T19:40:21Z,2012-02-21T19:40:21Z,1,150,0,691,FALSE,TRUE
204,2012-02-21T19:48:57Z,Hello,160,2012-02-21T19:48:57Z,2012-02-21T19:48:57Z,1,65,0,692,FALSE,TRUE
205,2012-02-21T19:50:35Z,hello,160,2012-02-21T19:50:35Z,2012-02-21T19:50:35Z,1,43,0,693,FALSE,TRUE
206,2012-02-21T19:54:47Z,hello,160,2012-02-21T19:54:47Z,2012-02-21T21:02:12Z,2,6,4,694,FALSE,FALSE
